Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-10-31,56308346,dw,front_control,BOSCH,6_series,SMU6HCS01A,ASIA,au,retail,bosch_home_au,,Positive,decide,Easy_Use,"We contemplated buying another two-drawer, but after our research, we found the features available on our new Bosch Serie 6, are really quite superior to that of its predecesscor, so in the end, the decision was easy!","[ Replacement for a well-known, good brand. ] || ---------------- || Although only owning our new dishwasher for a few days now, the Bosch Serie 6 Underbench Dishwasher is already living up to its reputation of being a quiet runner, but also and definately, a quiet winner! I have one or two more things to do to finish off the installation, but my wife and I are already very happy with the performance and looks. After weighing up all the pros and cons, we decided to replace our trusty (but almost dead), two-drawer dishwasher with the Bosch. We contemplated buying another two-drawer, but after our research, we found the features available on our new Bosch Serie 6, are really quite superior to that of its predecesscor, so in the end, the decision was easy! In conclusion, we would definately recommend the Bosch Serie 6 as your next dishwasher, and as addition to your family, too! :-)","[ Replacement for a well-known, good brand. ] || ---------------- || Although only owning our new dishwasher for a few days now, the Bosch Serie 6 Underbench Dishwasher is already living up to its reputation of being a quiet runner, but also and definately, a quiet winner!I have one or two more things to do to finish off the installation, but my wife and I are already very happy with the performance and looks. After weighing up all the pros and cons, we decided to replace our trusty (but almost dead), two-drawer dishwasher with the Bosch. We contemplated buying another two-drawer, but after our research, we found the features available on our new Bosch Serie 6, are really quite superior to that of its predecesscor, so in the end, the decision was easy!In conclusion, we would definately recommend the Bosch Serie 6 as your next dishwasher, and as addition to your family, too! :-)",,,5.0
23-10-31,56308346,dw,front_control,BOSCH,6_series,SMU6HCS01A,ASIA,au,retail,bosch_home_au,,Very Positive,use,Durability,"In conclusion, we would definately recommend the Bosch Serie 6 as your next dishwasher, and as addition to your family, too! :-)","[ Replacement for a well-known, good brand. ] || ---------------- || Although only owning our new dishwasher for a few days now, the Bosch Serie 6 Underbench Dishwasher is already living up to its reputation of being a quiet runner, but also and definately, a quiet winner! I have one or two more things to do to finish off the installation, but my wife and I are already very happy with the performance and looks. After weighing up all the pros and cons, we decided to replace our trusty (but almost dead), two-drawer dishwasher with the Bosch. We contemplated buying another two-drawer, but after our research, we found the features available on our new Bosch Serie 6, are really quite superior to that of its predecesscor, so in the end, the decision was easy! In conclusion, we would definately recommend the Bosch Serie 6 as your next dishwasher, and as addition to your family, too! :-)","[ Replacement for a well-known, good brand. ] || ---------------- || Although only owning our new dishwasher for a few days now, the Bosch Serie 6 Underbench Dishwasher is already living up to its reputation of being a quiet runner, but also and definately, a quiet winner!I have one or two more things to do to finish off the installation, but my wife and I are already very happy with the performance and looks. After weighing up all the pros and cons, we decided to replace our trusty (but almost dead), two-drawer dishwasher with the Bosch. We contemplated buying another two-drawer, but after our research, we found the features available on our new Bosch Serie 6, are really quite superior to that of its predecesscor, so in the end, the decision was easy!In conclusion, we would definately recommend the Bosch Serie 6 as your next dishwasher, and as addition to your family, too! :-)",,,5.0
23-10-31,56308346,dw,front_control,BOSCH,6_series,SMU6HCS01A,ASIA,au,retail,bosch_home_au,,Very Positive,use,Service,"In conclusion, we would definately recommend the Bosch Serie 6 as your next dishwasher, and as addition to your family, too! :-)","[ Replacement for a well-known, good brand. ] || ---------------- || Although only owning our new dishwasher for a few days now, the Bosch Serie 6 Underbench Dishwasher is already living up to its reputation of being a quiet runner, but also and definately, a quiet winner! I have one or two more things to do to finish off the installation, but my wife and I are already very happy with the performance and looks. After weighing up all the pros and cons, we decided to replace our trusty (but almost dead), two-drawer dishwasher with the Bosch. We contemplated buying another two-drawer, but after our research, we found the features available on our new Bosch Serie 6, are really quite superior to that of its predecesscor, so in the end, the decision was easy! In conclusion, we would definately recommend the Bosch Serie 6 as your next dishwasher, and as addition to your family, too! :-)","[ Replacement for a well-known, good brand. ] || ---------------- || Although only owning our new dishwasher for a few days now, the Bosch Serie 6 Underbench Dishwasher is already living up to its reputation of being a quiet runner, but also and definately, a quiet winner!I have one or two more things to do to finish off the installation, but my wife and I are already very happy with the performance and looks. After weighing up all the pros and cons, we decided to replace our trusty (but almost dead), two-drawer dishwasher with the Bosch. We contemplated buying another two-drawer, but after our research, we found the features available on our new Bosch Serie 6, are really quite superior to that of its predecesscor, so in the end, the decision was easy!In conclusion, we would definately recommend the Bosch Serie 6 as your next dishwasher, and as addition to your family, too! :-)",,,5.0
23-10-31,56308347,dw,front_control,BOSCH,6_series,SMU6HCS01A,ASIA,au,retail,bosch_home_au,,Positive,"onboard,use",Delivery_Installation,"VERY QUIET, VERY ATTRACTIVE, LOVE THE CULTERY DRAW, VERY EASILY INSTALLED.","[ BUILT UNDER DISHWASHER ] || ---------------- || VERY QUIET, VERY ATTRACTIVE, LOVE THE CULTERY DRAW, VERY EASILY INSTALLED. MADE A VERY GOOD CHOICE.","[ BUILT UNDER DISHWASHER ] || ---------------- || VERY QUIET, VERY ATTRACTIVE, LOVE THE CULTERY DRAW, VERY EASILY INSTALLED.  MADE A VERY GOOD CHOICE.",,,5.0
23-10-31,56308347,dw,front_control,BOSCH,6_series,SMU6HCS01A,ASIA,au,retail,bosch_home_au,,Positive,"onboard,use",Noise_Vibration,"VERY QUIET, VERY ATTRACTIVE, LOVE THE CULTERY DRAW, VERY EASILY INSTALLED.","[ BUILT UNDER DISHWASHER ] || ---------------- || VERY QUIET, VERY ATTRACTIVE, LOVE THE CULTERY DRAW, VERY EASILY INSTALLED. MADE A VERY GOOD CHOICE.","[ BUILT UNDER DISHWASHER ] || ---------------- || VERY QUIET, VERY ATTRACTIVE, LOVE THE CULTERY DRAW, VERY EASILY INSTALLED.  MADE A VERY GOOD CHOICE.",,,5.0
23-10-31,56308347,dw,front_control,BOSCH,6_series,SMU6HCS01A,ASIA,au,retail,bosch_home_au,,Positive,,,MADE A VERY GOOD CHOICE.,"[ BUILT UNDER DISHWASHER ] || ---------------- || VERY QUIET, VERY ATTRACTIVE, LOVE THE CULTERY DRAW, VERY EASILY INSTALLED. MADE A VERY GOOD CHOICE.","[ BUILT UNDER DISHWASHER ] || ---------------- || VERY QUIET, VERY ATTRACTIVE, LOVE THE CULTERY DRAW, VERY EASILY INSTALLED.  MADE A VERY GOOD CHOICE.",,,5.0
23-10-31,56308971,dw,front_control,BOSCH,6_series,SMI6HCS01A,ASIA,au,retail,bosch_home_au,,Positive,use,Easy_Use,Love that there is a separate drawer for cutlery.,[ Not bad ] || ---------------- || Love that there is a separate drawer for cutlery. It is a bit louder than I expected but does the job. It is still leaving water marks on my plastics but I'm sure there's a setting I can change to fix that,[ Not bad ] || ---------------- || Love that there is a separate drawer for cutlery. It is a bit louder than I expected but does the job. It is still leaving water marks on my plastics but I'm sure there's a setting I can change to fix that,,,4.0
23-10-31,56308971,dw,front_control,BOSCH,6_series,SMI6HCS01A,ASIA,au,retail,bosch_home_au,,Positive,use,Noise_Vibration,It is a bit louder than I expected but does the job.,[ Not bad ] || ---------------- || Love that there is a separate drawer for cutlery. It is a bit louder than I expected but does the job. It is still leaving water marks on my plastics but I'm sure there's a setting I can change to fix that,[ Not bad ] || ---------------- || Love that there is a separate drawer for cutlery. It is a bit louder than I expected but does the job. It is still leaving water marks on my plastics but I'm sure there's a setting I can change to fix that,,,4.0
23-10-31,56308971,dw,front_control,BOSCH,6_series,SMI6HCS01A,ASIA,au,retail,bosch_home_au,,Negative,use,Performance_Washing,It is still leaving water marks on my plastics but I'm sure there's a setting I can change to fix that,[ Not bad ] || ---------------- || Love that there is a separate drawer for cutlery. It is a bit louder than I expected but does the job. It is still leaving water marks on my plastics but I'm sure there's a setting I can change to fix that,[ Not bad ] || ---------------- || Love that there is a separate drawer for cutlery. It is a bit louder than I expected but does the job. It is still leaving water marks on my plastics but I'm sure there's a setting I can change to fix that,,,4.0
23-10-31,56308991,dw,front_control,BOSCH,SMS6HCW01A,SMS6HCW01A,ASIA,au,retail,bosch_home_au,,Positive,use,Easy_Use,All features are excellent to use.,"[ Almost perfect ] || ---------------- || All features are excellent to use. Easy to install as well. However, the touchscreen is a bit unresponsive.","[ Almost perfect ] || ---------------- || All features are excellent to use. Easy to install as well. However, the touchscreen is a bit unresponsive.",,,5.0
23-10-31,56308991,dw,front_control,BOSCH,SMS6HCW01A,SMS6HCW01A,ASIA,au,retail,bosch_home_au,,Positive,onboard,Delivery_Installation,Easy to install as well.,"[ Almost perfect ] || ---------------- || All features are excellent to use. Easy to install as well. However, the touchscreen is a bit unresponsive.","[ Almost perfect ] || ---------------- || All features are excellent to use. Easy to install as well. However, the touchscreen is a bit unresponsive.",,,5.0
