Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-10-26,56154728,dw,top_control,KITCHENAID,KDPM604KPS_KDPM604KBS,KDPM604KPS_KDPM604KBS,,us,retail,costco,,Positive,use,Performance_Washing,"Cleans, dries and is quiet.","[ Product is great, installation not ] || ---------------- || Works great. Cleans, dries and is quiet. Delivery and installation on the other hand were not great. Had to pay $125 to get it installed by the people Costco sent.","[ Product is great, installation not ] || ---------------- || Works great.  Cleans, dries and is quiet.  Delivery and installation on the other hand were not great.  Had to pay $125 to get it installed by the people Costco sent.",,,5.0
23-10-26,56154728,dw,top_control,KITCHENAID,KDPM604KPS_KDPM604KBS,KDPM604KPS_KDPM604KBS,,us,retail,costco,,Negative,"deliver,onboard",Delivery_Installation,Delivery and installation on the other hand were not great.,"[ Product is great, installation not ] || ---------------- || Works great. Cleans, dries and is quiet. Delivery and installation on the other hand were not great. Had to pay $125 to get it installed by the people Costco sent.","[ Product is great, installation not ] || ---------------- || Works great.  Cleans, dries and is quiet.  Delivery and installation on the other hand were not great.  Had to pay $125 to get it installed by the people Costco sent.",,,5.0
23-10-26,56154728,dw,top_control,KITCHENAID,KDPM604KPS_KDPM604KBS,KDPM604KPS_KDPM604KBS,,us,retail,costco,,Neutral,onboard,Delivery_Installation,Had to pay $125 to get it installed by the people Costco sent.,"[ Product is great, installation not ] || ---------------- || Works great. Cleans, dries and is quiet. Delivery and installation on the other hand were not great. Had to pay $125 to get it installed by the people Costco sent.","[ Product is great, installation not ] || ---------------- || Works great.  Cleans, dries and is quiet.  Delivery and installation on the other hand were not great.  Had to pay $125 to get it installed by the people Costco sent.",,,5.0
23-10-26,56154865,dw,front_control,BOSCH,4_series,SMS4HVI02E,EU,es,retail,bosch_home_es,,Very Positive,use,Easy_Use,"Another dishwasher from this company, I highly recommend it, a good quality dishwasher, easy to use.","[ Dishwasher ] || ---------------- || Another dishwasher from this company, I highly recommend it, a good quality dishwasher, easy to use.","[ Zmywarka ] || ---------------- || Kolejna zmywarka tej firmy, jak najbardziej polecam , zmywarka dobrej jakości prosta w obsłudze .",,,5.0
23-10-26,56154854,dw,front_control,BOSCH,4_series,SMS4HVI02E,EU,es,retail,bosch_home_es,,Very Positive,use,Durability,"Another dishwasher from this company, as always reliable, I highly recommend it.","[ Dishwasher ] || ---------------- || Another dishwasher from this company, as always reliable, I highly recommend it.","[ Zmywarka ] || ---------------- || Kolejna zmywarka tej firmy , jak zawsze niezawodna ,jak najbardziej polecam  .",,,5.0
23-10-26,56154911,dw,front_control,BOSCH,4_series,SMS4HVI02E,EU,es,retail,bosch_home_es,,Positive,use,Delivery_Installation,"So far, everything is going as I thought.","[ My first dishwasher in Spain ] || ---------------- || So far, everything is going as I thought.","[ Mi primer lavavajillas en España ] || ---------------- || Hasta ahora, todo va como pensaba",,,5.0
23-10-26,56154911,dw,front_control,BOSCH,4_series,SMS4HVI02E,EU,es,retail,bosch_home_es,,Positive,use,Durability,"So far, everything is going as I thought.","[ My first dishwasher in Spain ] || ---------------- || So far, everything is going as I thought.","[ Mi primer lavavajillas en España ] || ---------------- || Hasta ahora, todo va como pensaba",,,5.0
23-10-26,56154916,dw,front_control,BOSCH,4_series,SMS4HVI02E,EU,es,retail,bosch_home_es,,Positive,use,Design,"It is a wonderful dishwasher, it cleans very well, very quiet and has a very beautiful aesthetic.","[ Genial ] || ---------------- || It is a wonderful dishwasher, it cleans very well, very quiet and has a very beautiful aesthetic.","[ Genial ] || ---------------- || Es una maravilla de lavavajillas, limpia muy bien, muy silencioso y de estética muy bonito.",,,5.0
23-10-26,56154916,dw,front_control,BOSCH,4_series,SMS4HVI02E,EU,es,retail,bosch_home_es,,Positive,use,Noise_Vibration,"It is a wonderful dishwasher, it cleans very well, very quiet and has a very beautiful aesthetic.","[ Genial ] || ---------------- || It is a wonderful dishwasher, it cleans very well, very quiet and has a very beautiful aesthetic.","[ Genial ] || ---------------- || Es una maravilla de lavavajillas, limpia muy bien, muy silencioso y de estética muy bonito.",,,5.0
23-10-26,56154916,dw,front_control,BOSCH,4_series,SMS4HVI02E,EU,es,retail,bosch_home_es,,Positive,use,Performance_Washing,"It is a wonderful dishwasher, it cleans very well, very quiet and has a very beautiful aesthetic.","[ Genial ] || ---------------- || It is a wonderful dishwasher, it cleans very well, very quiet and has a very beautiful aesthetic.","[ Genial ] || ---------------- || Es una maravilla de lavavajillas, limpia muy bien, muy silencioso y de estética muy bonito.",,,5.0
23-10-26,56154926,dw,front_control,BOSCH,4_series,SMS4HVI02E,EU,es,retail,bosch_home_es,,Very Positive,use,,This dishwasher was the best possible choice!,"[ Practical design, great product ] || ---------------- || This dishwasher was the best possible choice! Its design is very practical, our previous dishwasher didn't fit half as many things, the upper cutlery holder is fantastic. So far we are very satisfied.","[ Praktikus kialakítás, szuper termék ] || ---------------- || A lehető legjobb választás volt ez a mosogatógép! Nagyon praktikus a kialakitása, az előző mosogatógépünkbe feleennyi dolog sem fért, a felső evőeszköztartó fantasztikus. Eddig nagyon elégedettek vagyunk.",,,5.0
23-10-26,56154926,dw,front_control,BOSCH,4_series,SMS4HVI02E,EU,es,retail,bosch_home_es,,Very Positive,use,Design,"Its design is very practical, our previous dishwasher didn't fit half as many things, the upper cutlery holder is fantastic.","[ Practical design, great product ] || ---------------- || This dishwasher was the best possible choice! Its design is very practical, our previous dishwasher didn't fit half as many things, the upper cutlery holder is fantastic. So far we are very satisfied.","[ Praktikus kialakítás, szuper termék ] || ---------------- || A lehető legjobb választás volt ez a mosogatógép! Nagyon praktikus a kialakitása, az előző mosogatógépünkbe feleennyi dolog sem fért, a felső evőeszköztartó fantasztikus. Eddig nagyon elégedettek vagyunk.",,,5.0
23-10-26,56154926,dw,front_control,BOSCH,4_series,SMS4HVI02E,EU,es,retail,bosch_home_es,,Very Positive,use,Easy_Use,"Its design is very practical, our previous dishwasher didn't fit half as many things, the upper cutlery holder is fantastic.","[ Practical design, great product ] || ---------------- || This dishwasher was the best possible choice! Its design is very practical, our previous dishwasher didn't fit half as many things, the upper cutlery holder is fantastic. So far we are very satisfied.","[ Praktikus kialakítás, szuper termék ] || ---------------- || A lehető legjobb választás volt ez a mosogatógép! Nagyon praktikus a kialakitása, az előző mosogatógépünkbe feleennyi dolog sem fért, a felső evőeszköztartó fantasztikus. Eddig nagyon elégedettek vagyunk.",,,5.0
23-10-26,56154926,dw,front_control,BOSCH,4_series,SMS4HVI02E,EU,es,retail,bosch_home_es,,Positive,use,,So far we are very satisfied.,"[ Practical design, great product ] || ---------------- || This dishwasher was the best possible choice! Its design is very practical, our previous dishwasher didn't fit half as many things, the upper cutlery holder is fantastic. So far we are very satisfied.","[ Praktikus kialakítás, szuper termék ] || ---------------- || A lehető legjobb választás volt ez a mosogatógép! Nagyon praktikus a kialakitása, az előző mosogatógépünkbe feleennyi dolog sem fért, a felső evőeszköztartó fantasztikus. Eddig nagyon elégedettek vagyunk.",,,5.0
23-10-26,56157424,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,use,Noise_Vibration,"The dishwasher runs very quietly, drying the dishes is great.","[ Great dishwasher ] || ---------------- || The dishwasher runs very quietly, drying the dishes is great. The baskets in the appliance are sturdy, compared to other manufacturers. No comments so far. I recommend.","[ Страхотна съдомиялна ] || ---------------- || Съдомиялната работи много тихо, изсушаването на съдовете е страхотно. Кошниците в уреда са здрави, в сравнение с други производители. Без забележки до момента. Препоръчвам.",,,5.0
23-10-26,56157424,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,use,Performance_Drying,"The dishwasher runs very quietly, drying the dishes is great.","[ Great dishwasher ] || ---------------- || The dishwasher runs very quietly, drying the dishes is great. The baskets in the appliance are sturdy, compared to other manufacturers. No comments so far. I recommend.","[ Страхотна съдомиялна ] || ---------------- || Съдомиялната работи много тихо, изсушаването на съдовете е страхотно. Кошниците в уреда са здрави, в сравнение с други производители. Без забележки до момента. Препоръчвам.",,,5.0
23-10-26,56157424,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,use,Easy_Use,"The baskets in the appliance are sturdy, compared to other manufacturers.","[ Great dishwasher ] || ---------------- || The dishwasher runs very quietly, drying the dishes is great. The baskets in the appliance are sturdy, compared to other manufacturers. No comments so far. I recommend.","[ Страхотна съдомиялна ] || ---------------- || Съдомиялната работи много тихо, изсушаването на съдовете е страхотно. Кошниците в уреда са здрави, в сравнение с други производители. Без забележки до момента. Препоръчвам.",,,5.0
23-10-26,56157424,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Neutral,,Service,No comments so far.,"[ Great dishwasher ] || ---------------- || The dishwasher runs very quietly, drying the dishes is great. The baskets in the appliance are sturdy, compared to other manufacturers. No comments so far. I recommend.","[ Страхотна съдомиялна ] || ---------------- || Съдомиялната работи много тихо, изсушаването на съдовете е страхотно. Кошниците в уреда са здрави, в сравнение с други производители. Без забележки до момента. Препоръчвам.",,,5.0
23-10-26,56157424,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Very Positive,use,,I recommend.,"[ Great dishwasher ] || ---------------- || The dishwasher runs very quietly, drying the dishes is great. The baskets in the appliance are sturdy, compared to other manufacturers. No comments so far. I recommend.","[ Страхотна съдомиялна ] || ---------------- || Съдомиялната работи много тихо, изсушаването на съдовете е страхотно. Кошниците в уреда са здрави, в сравнение с други производители. Без забележки до момента. Препоръчвам.",,,5.0
23-10-26,56157437,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Very Positive,use,,The product is excellent and I would recommend it to anyone.,[ The best brand and product ] || ---------------- || The product is excellent and I would recommend it to anyone. I'm glad I made the choice.,"[ Най-добрата марка и продукт ] || ---------------- || Продуктът е отличен и бих го препоръчал на всеки.Радвам се, на избора, който направих.",,,5.0
23-10-26,56157437,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,,,I'm glad I made the choice.,[ The best brand and product ] || ---------------- || The product is excellent and I would recommend it to anyone. I'm glad I made the choice.,"[ Най-добрата марка и продукт ] || ---------------- || Продуктът е отличен и бих го препоръчал на всеки.Радвам се, на избора, който направих.",,,5.0
23-10-26,56157439,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,"purchase,use",Design,A great choice for our kitchen.,"[ Great product at a good price ] || ---------------- || A great choice for our kitchen. The product is a good balance between the competitor's price, set of functions and very important for me, namely 5 years. warranty. The advantages of the model are: - economical liquid consumption - a wide variety of programs - large internal space. The presence of a third basket makes sorting even faster and more convenient.","[ Страхотен продукт на добра цена ] || ---------------- || Страхотен избор за нашата кухня. Продуктът е добър баланс между конкурента цена, набор от функции и много важно за мен, а именно 5г. гаранция. Предимствата на модела са:- икономична консумация на течности- голямо разнообразие от програми- голямо вътрешно пространство.Наличието на трета кошница прави подреждането още по-бързо и удобно.",,,5.0
23-10-26,56157439,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,,Easy_Use,"The product is a good balance between the competitor's price, set of functions and very important for me, namely 5 years.","[ Great product at a good price ] || ---------------- || A great choice for our kitchen. The product is a good balance between the competitor's price, set of functions and very important for me, namely 5 years. warranty. The advantages of the model are: - economical liquid consumption - a wide variety of programs - large internal space. The presence of a third basket makes sorting even faster and more convenient.","[ Страхотен продукт на добра цена ] || ---------------- || Страхотен избор за нашата кухня. Продуктът е добър баланс между конкурента цена, набор от функции и много важно за мен, а именно 5г. гаранция. Предимствата на модела са:- икономична консумация на течности- голямо разнообразие от програми- голямо вътрешно пространство.Наличието на трета кошница прави подреждането още по-бързо и удобно.",,,5.0
23-10-26,56157439,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,,Price,"The product is a good balance between the competitor's price, set of functions and very important for me, namely 5 years.","[ Great product at a good price ] || ---------------- || A great choice for our kitchen. The product is a good balance between the competitor's price, set of functions and very important for me, namely 5 years. warranty. The advantages of the model are: - economical liquid consumption - a wide variety of programs - large internal space. The presence of a third basket makes sorting even faster and more convenient.","[ Страхотен продукт на добра цена ] || ---------------- || Страхотен избор за нашата кухня. Продуктът е добър баланс между конкурента цена, набор от функции и много важно за мен, а именно 5г. гаранция. Предимствата на модела са:- икономична консумация на течности- голямо разнообразие от програми- голямо вътрешно пространство.Наличието на трета кошница прави подреждането още по-бързо и удобно.",,,5.0
23-10-26,56157439,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Neutral,,Service,warranty.,"[ Great product at a good price ] || ---------------- || A great choice for our kitchen. The product is a good balance between the competitor's price, set of functions and very important for me, namely 5 years. warranty. The advantages of the model are: - economical liquid consumption - a wide variety of programs - large internal space. The presence of a third basket makes sorting even faster and more convenient.","[ Страхотен продукт на добра цена ] || ---------------- || Страхотен избор за нашата кухня. Продуктът е добър баланс между конкурента цена, набор от функции и много важно за мен, а именно 5г. гаранция. Предимствата на модела са:- икономична консумация на течности- голямо разнообразие от програми- голямо вътрешно пространство.Наличието на трета кошница прави подреждането още по-бързо и удобно.",,,5.0
23-10-26,56157439,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,,Design,The advantages of the model are: - economical liquid consumption - a wide variety of programs - large internal space.,"[ Great product at a good price ] || ---------------- || A great choice for our kitchen. The product is a good balance between the competitor's price, set of functions and very important for me, namely 5 years. warranty. The advantages of the model are: - economical liquid consumption - a wide variety of programs - large internal space. The presence of a third basket makes sorting even faster and more convenient.","[ Страхотен продукт на добра цена ] || ---------------- || Страхотен избор за нашата кухня. Продуктът е добър баланс между конкурента цена, набор от функции и много важно за мен, а именно 5г. гаранция. Предимствата на модела са:- икономична консумация на течности- голямо разнообразие от програми- голямо вътрешно пространство.Наличието на трета кошница прави подреждането още по-бързо и удобно.",,,5.0
23-10-26,56157439,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,,Product_Satisfaction,The advantages of the model are: - economical liquid consumption - a wide variety of programs - large internal space.,"[ Great product at a good price ] || ---------------- || A great choice for our kitchen. The product is a good balance between the competitor's price, set of functions and very important for me, namely 5 years. warranty. The advantages of the model are: - economical liquid consumption - a wide variety of programs - large internal space. The presence of a third basket makes sorting even faster and more convenient.","[ Страхотен продукт на добра цена ] || ---------------- || Страхотен избор за нашата кухня. Продуктът е добър баланс между конкурента цена, набор от функции и много важно за мен, а именно 5г. гаранция. Предимствата на модела са:- икономична консумация на течности- голямо разнообразие от програми- голямо вътрешно пространство.Наличието на трета кошница прави подреждането още по-бързо и удобно.",,,5.0
23-10-26,56157439,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,use,Easy_Use,The presence of a third basket makes sorting even faster and more convenient.,"[ Great product at a good price ] || ---------------- || A great choice for our kitchen. The product is a good balance between the competitor's price, set of functions and very important for me, namely 5 years. warranty. The advantages of the model are: - economical liquid consumption - a wide variety of programs - large internal space. The presence of a third basket makes sorting even faster and more convenient.","[ Страхотен продукт на добра цена ] || ---------------- || Страхотен избор за нашата кухня. Продуктът е добър баланс между конкурента цена, набор от функции и много важно за мен, а именно 5г. гаранция. Предимствата на модела са:- икономична консумация на течности- голямо разнообразие от програми- голямо вътрешно пространство.Наличието на трета кошница прави подреждането още по-бързо и удобно.",,,5.0
23-10-26,56157441,dw,top_control,BOSCH,4_series,SMV4ECX21E,EU,es,retail,bosch_home_es,,Positive,use,,I am very satisfied with the machine.,[ Dishwasher ] || ---------------- || I am very satisfied with the machine.,[ Миялна машина ] || ---------------- || Много съм доволна от машината.,,,5.0
