Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-12-27,57739034,dw,top_control,BOSCH,SHSM63W56N,SHSM63W56N,,us,retail,bosch_home_us,,Positive,use,Design,Ours is black and love it so much more than stainless steel!,[ Dishwasher ] || ---------------- || Love the third rack and small utensil holder! Also love the slanted plate dividers in the bottom. Ours is black and love it so much more than stainless steel! Operates very quietly and everything fits with no rattling when pulling racks out and in.,[ Dishwasher ] || ---------------- || Love the third rack and small utensil holder! Also love the slanted plate dividers in the bottom. Ours is black and love it so much more than stainless steel!!! Operates very quietly and everything fits with no rattling when pulling racks out and in.,,,5.0
23-12-27,57739034,dw,top_control,BOSCH,SHSM63W56N,SHSM63W56N,,us,retail,bosch_home_us,,Positive,use,Easy_Use,Operates very quietly and everything fits with no rattling when pulling racks out and in.,[ Dishwasher ] || ---------------- || Love the third rack and small utensil holder! Also love the slanted plate dividers in the bottom. Ours is black and love it so much more than stainless steel! Operates very quietly and everything fits with no rattling when pulling racks out and in.,[ Dishwasher ] || ---------------- || Love the third rack and small utensil holder! Also love the slanted plate dividers in the bottom. Ours is black and love it so much more than stainless steel!!! Operates very quietly and everything fits with no rattling when pulling racks out and in.,,,5.0
23-12-27,57739034,dw,top_control,BOSCH,SHSM63W56N,SHSM63W56N,,us,retail,bosch_home_us,,Positive,use,Noise_Vibration,Operates very quietly and everything fits with no rattling when pulling racks out and in.,[ Dishwasher ] || ---------------- || Love the third rack and small utensil holder! Also love the slanted plate dividers in the bottom. Ours is black and love it so much more than stainless steel! Operates very quietly and everything fits with no rattling when pulling racks out and in.,[ Dishwasher ] || ---------------- || Love the third rack and small utensil holder! Also love the slanted plate dividers in the bottom. Ours is black and love it so much more than stainless steel!!! Operates very quietly and everything fits with no rattling when pulling racks out and in.,,,5.0
23-12-27,57739043,dw,top_control,BOSCH,SHSM63W56N,SHSM63W56N,,us,retail,bosch_home_us,,Very Positive,use,Delivery_Installation,The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership.,"[ The Best ] || ---------------- || The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership. Solid, user-friendly construction, spotless cleaning, quiet. I will now always look first to Bosch when I replace kitchen appliances.","[ The Best ] || ---------------- || The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership. Solid, user-friendly construction, spotless cleaning, quiet. I will now always look first to Bosch when I replace kitchen appliances.",,,5.0
23-12-27,57739043,dw,top_control,BOSCH,SHSM63W56N,SHSM63W56N,,us,retail,bosch_home_us,,Very Positive,use,Service,The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership.,"[ The Best ] || ---------------- || The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership. Solid, user-friendly construction, spotless cleaning, quiet. I will now always look first to Bosch when I replace kitchen appliances.","[ The Best ] || ---------------- || The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership. Solid, user-friendly construction, spotless cleaning, quiet. I will now always look first to Bosch when I replace kitchen appliances.",,,5.0
23-12-27,57739043,dw,top_control,BOSCH,SHSM63W56N,SHSM63W56N,,us,retail,bosch_home_us,,Positive,use,Easy_Use,"Solid, user-friendly construction, spotless cleaning, quiet.","[ The Best ] || ---------------- || The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership. Solid, user-friendly construction, spotless cleaning, quiet. I will now always look first to Bosch when I replace kitchen appliances.","[ The Best ] || ---------------- || The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership. Solid, user-friendly construction, spotless cleaning, quiet. I will now always look first to Bosch when I replace kitchen appliances.",,,5.0
23-12-27,57739043,dw,top_control,BOSCH,SHSM63W56N,SHSM63W56N,,us,retail,bosch_home_us,,Positive,use,Performance_Washing,"Solid, user-friendly construction, spotless cleaning, quiet.","[ The Best ] || ---------------- || The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership. Solid, user-friendly construction, spotless cleaning, quiet. I will now always look first to Bosch when I replace kitchen appliances.","[ The Best ] || ---------------- || The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership. Solid, user-friendly construction, spotless cleaning, quiet. I will now always look first to Bosch when I replace kitchen appliances.",,,5.0
23-12-27,57739043,dw,top_control,BOSCH,SHSM63W56N,SHSM63W56N,,us,retail,bosch_home_us,,Neutral,,Service,I will now always look first to Bosch when I replace kitchen appliances.,"[ The Best ] || ---------------- || The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership. Solid, user-friendly construction, spotless cleaning, quiet. I will now always look first to Bosch when I replace kitchen appliances.","[ The Best ] || ---------------- || The Bosch 300 is the best dishwasher I've ever had in 45 years of home ownership. Solid, user-friendly construction, spotless cleaning, quiet. I will now always look first to Bosch when I replace kitchen appliances.",,,5.0
23-12-27,57739064,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Very Positive,use,,Fantastic dishwasher.,[ Best Darn Dishwasher ] || ---------------- || Fantastic dishwasher. The quietest diswasher I have ever owned; I have to put my ear up to it to tell if is running. It also does a superior job cleaning the dishes.,[ Best Darn Dishwasher ] || ---------------- || Fantastic dishwasher. The quietest diswasher I have ever owned; I have to put my ear up to it to tell if is running. It also does a superior job cleaning the dishes.,,,5.0
23-12-27,57739064,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Positive,use,Noise_Vibration,The quietest diswasher I have ever owned; I have to put my ear up to it to tell if is running.,[ Best Darn Dishwasher ] || ---------------- || Fantastic dishwasher. The quietest diswasher I have ever owned; I have to put my ear up to it to tell if is running. It also does a superior job cleaning the dishes.,[ Best Darn Dishwasher ] || ---------------- || Fantastic dishwasher. The quietest diswasher I have ever owned; I have to put my ear up to it to tell if is running. It also does a superior job cleaning the dishes.,,,5.0
23-12-27,57739064,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Very Positive,use,Performance_Washing,It also does a superior job cleaning the dishes.,[ Best Darn Dishwasher ] || ---------------- || Fantastic dishwasher. The quietest diswasher I have ever owned; I have to put my ear up to it to tell if is running. It also does a superior job cleaning the dishes.,[ Best Darn Dishwasher ] || ---------------- || Fantastic dishwasher. The quietest diswasher I have ever owned; I have to put my ear up to it to tell if is running. It also does a superior job cleaning the dishes.,,,5.0
