Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-08-08,54321524,dw,front_control,GE,GDF550PGRBB_GDF550PGRWW_GDF550PMRES_GDF550PSRSS,GDF550PGRBB_GDF550PGRWW_GDF550PMRES_GDF550PSRSS,,us,retail,geappliances,,Neutral,,,I wish I would have gotten this one sooner.,"[ Quiet and Efficient ] || ---------------- || Dishwasher is quiet and efficient. I wish I would have gotten this one sooner. Easy to use, limited settings. I like simple and this is simple.","[ Quiet and Efficient ] || ---------------- || Dishwasher is quiet and efficient. I wish I would have gotten this one sooner. Easy to use, limited settings. I like simple and this is simple.",,,5.0
23-08-08,54321524,dw,front_control,GE,GDF550PGRBB_GDF550PGRWW_GDF550PMRES_GDF550PSRSS,GDF550PGRBB_GDF550PGRWW_GDF550PMRES_GDF550PSRSS,,us,retail,geappliances,,Positive,use,Easy_Use,"Easy to use, limited settings.","[ Quiet and Efficient ] || ---------------- || Dishwasher is quiet and efficient. I wish I would have gotten this one sooner. Easy to use, limited settings. I like simple and this is simple.","[ Quiet and Efficient ] || ---------------- || Dishwasher is quiet and efficient. I wish I would have gotten this one sooner. Easy to use, limited settings. I like simple and this is simple.",,,5.0
23-08-08,54321524,dw,front_control,GE,GDF550PGRBB_GDF550PGRWW_GDF550PMRES_GDF550PSRSS,GDF550PGRBB_GDF550PGRWW_GDF550PMRES_GDF550PSRSS,,us,retail,geappliances,,Positive,use,Easy_Use,I like simple and this is simple.,"[ Quiet and Efficient ] || ---------------- || Dishwasher is quiet and efficient. I wish I would have gotten this one sooner. Easy to use, limited settings. I like simple and this is simple.","[ Quiet and Efficient ] || ---------------- || Dishwasher is quiet and efficient. I wish I would have gotten this one sooner. Easy to use, limited settings. I like simple and this is simple.",,,5.0
23-08-08,54321825,dw,top_control,BOSCH,SHP878ZD5N,SHP878ZD5N,,us,retail,bosch_home_us,,Negative,use,Performance_Washing,Our prior dishwasher didn't do a great job with anything.,"[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything. So the bar was pretty low for this machine. It exceeded it with flying colors. It cleans just about everything really well. Pans sometimes don't clean as well as I would like. Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers. The racks are designed to be extremely flexible. Sometimes that makes too many options for loading. The third shelf for flatware is great too. So overall, very good but not perfect.","[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything.  So the bar was pretty low for this machine.  It exceeded it with flying colors.  It cleans just about everything really well.  Pans sometimes don't clean as well as I would like.  Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers.  The racks are designed to be extremely flexible.  Sometimes that makes too many options for loading.  The third shelf for flatware is great too.  So overall, very good but not perfect.",,,5.0
23-08-08,54321825,dw,top_control,BOSCH,SHP878ZD5N,SHP878ZD5N,,us,retail,bosch_home_us,,Neutral,use,,So the bar was pretty low for this machine.,"[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything. So the bar was pretty low for this machine. It exceeded it with flying colors. It cleans just about everything really well. Pans sometimes don't clean as well as I would like. Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers. The racks are designed to be extremely flexible. Sometimes that makes too many options for loading. The third shelf for flatware is great too. So overall, very good but not perfect.","[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything.  So the bar was pretty low for this machine.  It exceeded it with flying colors.  It cleans just about everything really well.  Pans sometimes don't clean as well as I would like.  Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers.  The racks are designed to be extremely flexible.  Sometimes that makes too many options for loading.  The third shelf for flatware is great too.  So overall, very good but not perfect.",,,5.0
23-08-08,54321825,dw,top_control,BOSCH,SHP878ZD5N,SHP878ZD5N,,us,retail,bosch_home_us,,Positive,,,It exceeded it with flying colors.,"[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything. So the bar was pretty low for this machine. It exceeded it with flying colors. It cleans just about everything really well. Pans sometimes don't clean as well as I would like. Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers. The racks are designed to be extremely flexible. Sometimes that makes too many options for loading. The third shelf for flatware is great too. So overall, very good but not perfect.","[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything.  So the bar was pretty low for this machine.  It exceeded it with flying colors.  It cleans just about everything really well.  Pans sometimes don't clean as well as I would like.  Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers.  The racks are designed to be extremely flexible.  Sometimes that makes too many options for loading.  The third shelf for flatware is great too.  So overall, very good but not perfect.",,,5.0
23-08-08,54321825,dw,top_control,BOSCH,SHP878ZD5N,SHP878ZD5N,,us,retail,bosch_home_us,,Positive,use,Performance_Washing,It cleans just about everything really well.,"[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything. So the bar was pretty low for this machine. It exceeded it with flying colors. It cleans just about everything really well. Pans sometimes don't clean as well as I would like. Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers. The racks are designed to be extremely flexible. Sometimes that makes too many options for loading. The third shelf for flatware is great too. So overall, very good but not perfect.","[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything.  So the bar was pretty low for this machine.  It exceeded it with flying colors.  It cleans just about everything really well.  Pans sometimes don't clean as well as I would like.  Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers.  The racks are designed to be extremely flexible.  Sometimes that makes too many options for loading.  The third shelf for flatware is great too.  So overall, very good but not perfect.",,,5.0
23-08-08,54321825,dw,top_control,BOSCH,SHP878ZD5N,SHP878ZD5N,,us,retail,bosch_home_us,,Negative,use,Performance_Washing,Pans sometimes don't clean as well as I would like.,"[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything. So the bar was pretty low for this machine. It exceeded it with flying colors. It cleans just about everything really well. Pans sometimes don't clean as well as I would like. Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers. The racks are designed to be extremely flexible. Sometimes that makes too many options for loading. The third shelf for flatware is great too. So overall, very good but not perfect.","[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything.  So the bar was pretty low for this machine.  It exceeded it with flying colors.  It cleans just about everything really well.  Pans sometimes don't clean as well as I would like.  Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers.  The racks are designed to be extremely flexible.  Sometimes that makes too many options for loading.  The third shelf for flatware is great too.  So overall, very good but not perfect.",,,5.0
23-08-08,54321825,dw,top_control,BOSCH,SHP878ZD5N,SHP878ZD5N,,us,retail,bosch_home_us,,Negative,use,Performance_Drying,Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers.,"[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything. So the bar was pretty low for this machine. It exceeded it with flying colors. It cleans just about everything really well. Pans sometimes don't clean as well as I would like. Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers. The racks are designed to be extremely flexible. Sometimes that makes too many options for loading. The third shelf for flatware is great too. So overall, very good but not perfect.","[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything.  So the bar was pretty low for this machine.  It exceeded it with flying colors.  It cleans just about everything really well.  Pans sometimes don't clean as well as I would like.  Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers.  The racks are designed to be extremely flexible.  Sometimes that makes too many options for loading.  The third shelf for flatware is great too.  So overall, very good but not perfect.",,,5.0
23-08-08,54321825,dw,top_control,BOSCH,SHP878ZD5N,SHP878ZD5N,,us,retail,bosch_home_us,,Positive,use,Design,The racks are designed to be extremely flexible.,"[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything. So the bar was pretty low for this machine. It exceeded it with flying colors. It cleans just about everything really well. Pans sometimes don't clean as well as I would like. Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers. The racks are designed to be extremely flexible. Sometimes that makes too many options for loading. The third shelf for flatware is great too. So overall, very good but not perfect.","[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything.  So the bar was pretty low for this machine.  It exceeded it with flying colors.  It cleans just about everything really well.  Pans sometimes don't clean as well as I would like.  Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers.  The racks are designed to be extremely flexible.  Sometimes that makes too many options for loading.  The third shelf for flatware is great too.  So overall, very good but not perfect.",,,5.0
23-08-08,54321825,dw,top_control,BOSCH,SHP878ZD5N,SHP878ZD5N,,us,retail,bosch_home_us,,Positive,use,Easy_Use,The racks are designed to be extremely flexible.,"[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything. So the bar was pretty low for this machine. It exceeded it with flying colors. It cleans just about everything really well. Pans sometimes don't clean as well as I would like. Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers. The racks are designed to be extremely flexible. Sometimes that makes too many options for loading. The third shelf for flatware is great too. So overall, very good but not perfect.","[ It Cleans and Dries! ] || ---------------- || Our prior dishwasher didn't do a great job with anything.  So the bar was pretty low for this machine.  It exceeded it with flying colors.  It cleans just about everything really well.  Pans sometimes don't clean as well as I would like.  Just about everything comes out dry except water sitting on the bottom side of bowls and grooves in plastic containers.  The racks are designed to be extremely flexible.  Sometimes that makes too many options for loading.  The third shelf for flatware is great too.  So overall, very good but not perfect.",,,5.0
