Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-08-03,54472546,dw,top_control,BOSCH,800_series,SHX78B75UC,,ci,retail,thebrick,,Positive,use,Noise_Vibration,This is the quietest DW I've ever heard.,"[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard. The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too! My only complaint is that the lower shelf must be all the way in before you close the door. Otherwise, it jams rollers.","[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard.  The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too!My only complaint is that the lower shelf must be all the way in before you close the door.  Otherwise, it jams rollers.",,,5.0
23-08-03,54472546,dw,top_control,BOSCH,800_series,SHX78B75UC,,ci,retail,thebrick,,Negative,use,Noise_Vibration,The loudest noise from this dishwasher is when it drains into the sink drain.,"[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard. The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too! My only complaint is that the lower shelf must be all the way in before you close the door. Otherwise, it jams rollers.","[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard.  The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too!My only complaint is that the lower shelf must be all the way in before you close the door.  Otherwise, it jams rollers.",,,5.0
23-08-03,54472546,dw,top_control,BOSCH,800_series,SHX78B75UC,,ci,retail,thebrick,,Positive,use,Performance_Washing,"Dishes come out clean, too!","[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard. The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too! My only complaint is that the lower shelf must be all the way in before you close the door. Otherwise, it jams rollers.","[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard.  The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too!My only complaint is that the lower shelf must be all the way in before you close the door.  Otherwise, it jams rollers.",,,5.0
23-08-03,54472546,dw,top_control,BOSCH,800_series,SHX78B75UC,,ci,retail,thebrick,,Negative,use,Easy_Use,My only complaint is that the lower shelf must be all the way in before you close the door.,"[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard. The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too! My only complaint is that the lower shelf must be all the way in before you close the door. Otherwise, it jams rollers.","[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard.  The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too!My only complaint is that the lower shelf must be all the way in before you close the door.  Otherwise, it jams rollers.",,,5.0
23-08-03,54472546,dw,top_control,BOSCH,800_series,SHX78B75UC,,ci,retail,thebrick,,Negative,use,,"Otherwise, it jams rollers.","[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard. The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too! My only complaint is that the lower shelf must be all the way in before you close the door. Otherwise, it jams rollers.","[ Super quiet! ] || ---------------- || This is the quietest DW I've ever heard.  The loudest noise from this dishwasher is when it drains into the sink drain.Dishes come out clean, too!My only complaint is that the lower shelf must be all the way in before you close the door.  Otherwise, it jams rollers.",,,5.0
23-08-03,54480169,dw,top_control,BOSCH,300_series,SHSM63W55N,,ci,retail,thebrick,,Positive,,,Yep you got it !,[ Love - what ? There's no noise ] || ---------------- || Yep you got it ! It's like not having a dishwasher sooooo quite ! ,[ Love - what ? There's no noise ] || ---------------- || Yep you got it ! It's like not having a dishwasher sooooo quite !!!,,,5.0
23-08-03,54480169,dw,top_control,BOSCH,300_series,SHSM63W55N,,ci,retail,thebrick,,Positive,use,Noise_Vibration,It's like not having a dishwasher sooooo quite !,[ Love - what ? There's no noise ] || ---------------- || Yep you got it ! It's like not having a dishwasher sooooo quite ! ,[ Love - what ? There's no noise ] || ---------------- || Yep you got it ! It's like not having a dishwasher sooooo quite !!!,,,5.0
23-08-03,54485041,dw,top_control,BOSCH,800_series,SHSM53B55N,,ci,retail,thebrick,,Positive,use,Performance_Washing,Gets things cleaned up real well.,[ Not about longevity ] || ---------------- || Gets things cleaned up real well.,[ Not about longevity ] || ---------------- || Gets things cleaned up real well.,,,5.0
23-08-03,54490571,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,sears,,Very Positive,use,,This is the best dishwasher.,"[ I'm in love with my dishwasher ] || ---------------- || This is the best dishwasher. It is SO quiet and does a great job cleaning dishes. I love the connected feature to let me know when it is done and the display on the front says ""clean.""",[ I'm in love with my dishwasher ] || ---------------- || This is the best dishwasher. It is SO quiet and does a great job cleaning dishes. I love the connected feature to let me know when it is done and the display on the front says 'clean.',,,5.0
23-08-03,54490571,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,sears,,Positive,use,Noise_Vibration,It is SO quiet and does a great job cleaning dishes.,"[ I'm in love with my dishwasher ] || ---------------- || This is the best dishwasher. It is SO quiet and does a great job cleaning dishes. I love the connected feature to let me know when it is done and the display on the front says ""clean.""",[ I'm in love with my dishwasher ] || ---------------- || This is the best dishwasher. It is SO quiet and does a great job cleaning dishes. I love the connected feature to let me know when it is done and the display on the front says 'clean.',,,5.0
23-08-03,54490571,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,sears,,Positive,use,Performance_Washing,It is SO quiet and does a great job cleaning dishes.,"[ I'm in love with my dishwasher ] || ---------------- || This is the best dishwasher. It is SO quiet and does a great job cleaning dishes. I love the connected feature to let me know when it is done and the display on the front says ""clean.""",[ I'm in love with my dishwasher ] || ---------------- || This is the best dishwasher. It is SO quiet and does a great job cleaning dishes. I love the connected feature to let me know when it is done and the display on the front says 'clean.',,,5.0
