Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-07-23,54222228,dw,front_control,LG,quadwash,DF365FPS,EU,es,retail,elcorteingles,,Neutral,use,Noise_Vibration,"You can only hear the noise of the water caused by the sprinklers, but outside the kitchen you can no longer hear it.","[ Satisfied with the purchase ] || ---------------- || (This review was received through a promotion.) I've had the dishwasher for a short time, but so far what I've liked the most is that the dishes stay dry. The one I had before left it wet and I don't like that at all. I also really like the cutlery tray. They all come clean with no leftover food, as I sometimes did when I put them in the basket. The trays slide up and down easily and the plate holders can be folded down independently, giving you a little more flexibility. Although I find them somewhat bulky and when they are completely lying down, the dishes are not very stable. It is relatively quiet. You can only hear the noise of the water caused by the sprinklers, but outside the kitchen you can no longer hear it. At the level of size it is a little deeper than usual perhaps. In my case, it protrudes a couple of centimeters from the kitchen cabinet. Configuring the application is a pain. When it works it's simple, the problem is that it doesn't work at first. Instead of searching the web, it is best to follow the instructions that come with the device, but if it does not work the first time (it will not work), start from scratch but wait more time at each step. It will eventually work. The truth is that I don't know if I will use it much, but now at first it has been more practical for me to configure the dishwasher (adjust the water hardness level for example) using the app than with the buttons on the dishwasher.","[ Satisfecho con la compra ] || ---------------- || (Esta reseña se ha recibido a través de una promoción.) Tengo el lavavajillas hace poco tiempo, pero de momento lo que más me ha gustado es que la vajilla queda seca. El que tenía antes la dejaba húmeda y no me gusta nada eso.También me gusta mucho la bandeja para los cubiertos. Todos quedan limpios sin restos de comida, como me pasaba a veces cuando los colocaba en el cesto.Las bandejas se suben y bajan fácilmente y los soportes para los platos se pueden abatir de forma independiente, lo que te da algo más de flexibilidad. Aunque me resultan algo voluminosos y cuando están completamente tumbados la vajilla como que no queda muy estable.Es relativamente silencioso. Solo se escucha el ruido del agua provocado por los aspersores, pero fuera de la cocina ya no se escucha.A nivel de tamaño es un poco más profundo de lo habitual quizá. En mi caso se me sobresale un par de centímetros del mueble de la cocina.Configurar la aplicación es un rollo. Cuando funciona es sencillo, el problema es que de primeras no funciona. En lugar de buscar en la web lo mejor es seguir las instrucciones que vienen con el aparato pero caso no funcione a la primera (que no va funcionar) , empezad de cero pero esperad más tiempo en cada paso. Eventualmente funcionará. La verdad es que no sé si le daré mucho uso, pero ahora al principio me ha resultado más práctico configurar el lavavajillas (ajustar el nivel de dureza del agua por ejemplo) usando la app que con los botones del lavavajillas.",,,4.0
23-07-23,54222228,dw,front_control,LG,quadwash,DF365FPS,EU,es,retail,elcorteingles,,Neutral,use,Design,At the level of size it is a little deeper than usual perhaps.,"[ Satisfied with the purchase ] || ---------------- || (This review was received through a promotion.) I've had the dishwasher for a short time, but so far what I've liked the most is that the dishes stay dry. The one I had before left it wet and I don't like that at all. I also really like the cutlery tray. They all come clean with no leftover food, as I sometimes did when I put them in the basket. The trays slide up and down easily and the plate holders can be folded down independently, giving you a little more flexibility. Although I find them somewhat bulky and when they are completely lying down, the dishes are not very stable. It is relatively quiet. You can only hear the noise of the water caused by the sprinklers, but outside the kitchen you can no longer hear it. At the level of size it is a little deeper than usual perhaps. In my case, it protrudes a couple of centimeters from the kitchen cabinet. Configuring the application is a pain. When it works it's simple, the problem is that it doesn't work at first. Instead of searching the web, it is best to follow the instructions that come with the device, but if it does not work the first time (it will not work), start from scratch but wait more time at each step. It will eventually work. The truth is that I don't know if I will use it much, but now at first it has been more practical for me to configure the dishwasher (adjust the water hardness level for example) using the app than with the buttons on the dishwasher.","[ Satisfecho con la compra ] || ---------------- || (Esta reseña se ha recibido a través de una promoción.) Tengo el lavavajillas hace poco tiempo, pero de momento lo que más me ha gustado es que la vajilla queda seca. El que tenía antes la dejaba húmeda y no me gusta nada eso.También me gusta mucho la bandeja para los cubiertos. Todos quedan limpios sin restos de comida, como me pasaba a veces cuando los colocaba en el cesto.Las bandejas se suben y bajan fácilmente y los soportes para los platos se pueden abatir de forma independiente, lo que te da algo más de flexibilidad. Aunque me resultan algo voluminosos y cuando están completamente tumbados la vajilla como que no queda muy estable.Es relativamente silencioso. Solo se escucha el ruido del agua provocado por los aspersores, pero fuera de la cocina ya no se escucha.A nivel de tamaño es un poco más profundo de lo habitual quizá. En mi caso se me sobresale un par de centímetros del mueble de la cocina.Configurar la aplicación es un rollo. Cuando funciona es sencillo, el problema es que de primeras no funciona. En lugar de buscar en la web lo mejor es seguir las instrucciones que vienen con el aparato pero caso no funcione a la primera (que no va funcionar) , empezad de cero pero esperad más tiempo en cada paso. Eventualmente funcionará. La verdad es que no sé si le daré mucho uso, pero ahora al principio me ha resultado más práctico configurar el lavavajillas (ajustar el nivel de dureza del agua por ejemplo) usando la app que con los botones del lavavajillas.",,,4.0
23-07-23,54222228,dw,front_control,LG,quadwash,DF365FPS,EU,es,retail,elcorteingles,,Neutral,use,Design,"In my case, it protrudes a couple of centimeters from the kitchen cabinet.","[ Satisfied with the purchase ] || ---------------- || (This review was received through a promotion.) I've had the dishwasher for a short time, but so far what I've liked the most is that the dishes stay dry. The one I had before left it wet and I don't like that at all. I also really like the cutlery tray. They all come clean with no leftover food, as I sometimes did when I put them in the basket. The trays slide up and down easily and the plate holders can be folded down independently, giving you a little more flexibility. Although I find them somewhat bulky and when they are completely lying down, the dishes are not very stable. It is relatively quiet. You can only hear the noise of the water caused by the sprinklers, but outside the kitchen you can no longer hear it. At the level of size it is a little deeper than usual perhaps. In my case, it protrudes a couple of centimeters from the kitchen cabinet. Configuring the application is a pain. When it works it's simple, the problem is that it doesn't work at first. Instead of searching the web, it is best to follow the instructions that come with the device, but if it does not work the first time (it will not work), start from scratch but wait more time at each step. It will eventually work. The truth is that I don't know if I will use it much, but now at first it has been more practical for me to configure the dishwasher (adjust the water hardness level for example) using the app than with the buttons on the dishwasher.","[ Satisfecho con la compra ] || ---------------- || (Esta reseña se ha recibido a través de una promoción.) Tengo el lavavajillas hace poco tiempo, pero de momento lo que más me ha gustado es que la vajilla queda seca. El que tenía antes la dejaba húmeda y no me gusta nada eso.También me gusta mucho la bandeja para los cubiertos. Todos quedan limpios sin restos de comida, como me pasaba a veces cuando los colocaba en el cesto.Las bandejas se suben y bajan fácilmente y los soportes para los platos se pueden abatir de forma independiente, lo que te da algo más de flexibilidad. Aunque me resultan algo voluminosos y cuando están completamente tumbados la vajilla como que no queda muy estable.Es relativamente silencioso. Solo se escucha el ruido del agua provocado por los aspersores, pero fuera de la cocina ya no se escucha.A nivel de tamaño es un poco más profundo de lo habitual quizá. En mi caso se me sobresale un par de centímetros del mueble de la cocina.Configurar la aplicación es un rollo. Cuando funciona es sencillo, el problema es que de primeras no funciona. En lugar de buscar en la web lo mejor es seguir las instrucciones que vienen con el aparato pero caso no funcione a la primera (que no va funcionar) , empezad de cero pero esperad más tiempo en cada paso. Eventualmente funcionará. La verdad es que no sé si le daré mucho uso, pero ahora al principio me ha resultado más práctico configurar el lavavajillas (ajustar el nivel de dureza del agua por ejemplo) usando la app que con los botones del lavavajillas.",,,4.0
23-07-23,54222228,dw,front_control,LG,quadwash,DF365FPS,EU,es,retail,elcorteingles,,Negative,use,Easy_Use,Configuring the application is a pain.,"[ Satisfied with the purchase ] || ---------------- || (This review was received through a promotion.) I've had the dishwasher for a short time, but so far what I've liked the most is that the dishes stay dry. The one I had before left it wet and I don't like that at all. I also really like the cutlery tray. They all come clean with no leftover food, as I sometimes did when I put them in the basket. The trays slide up and down easily and the plate holders can be folded down independently, giving you a little more flexibility. Although I find them somewhat bulky and when they are completely lying down, the dishes are not very stable. It is relatively quiet. You can only hear the noise of the water caused by the sprinklers, but outside the kitchen you can no longer hear it. At the level of size it is a little deeper than usual perhaps. In my case, it protrudes a couple of centimeters from the kitchen cabinet. Configuring the application is a pain. When it works it's simple, the problem is that it doesn't work at first. Instead of searching the web, it is best to follow the instructions that come with the device, but if it does not work the first time (it will not work), start from scratch but wait more time at each step. It will eventually work. The truth is that I don't know if I will use it much, but now at first it has been more practical for me to configure the dishwasher (adjust the water hardness level for example) using the app than with the buttons on the dishwasher.","[ Satisfecho con la compra ] || ---------------- || (Esta reseña se ha recibido a través de una promoción.) Tengo el lavavajillas hace poco tiempo, pero de momento lo que más me ha gustado es que la vajilla queda seca. El que tenía antes la dejaba húmeda y no me gusta nada eso.También me gusta mucho la bandeja para los cubiertos. Todos quedan limpios sin restos de comida, como me pasaba a veces cuando los colocaba en el cesto.Las bandejas se suben y bajan fácilmente y los soportes para los platos se pueden abatir de forma independiente, lo que te da algo más de flexibilidad. Aunque me resultan algo voluminosos y cuando están completamente tumbados la vajilla como que no queda muy estable.Es relativamente silencioso. Solo se escucha el ruido del agua provocado por los aspersores, pero fuera de la cocina ya no se escucha.A nivel de tamaño es un poco más profundo de lo habitual quizá. En mi caso se me sobresale un par de centímetros del mueble de la cocina.Configurar la aplicación es un rollo. Cuando funciona es sencillo, el problema es que de primeras no funciona. En lugar de buscar en la web lo mejor es seguir las instrucciones que vienen con el aparato pero caso no funcione a la primera (que no va funcionar) , empezad de cero pero esperad más tiempo en cada paso. Eventualmente funcionará. La verdad es que no sé si le daré mucho uso, pero ahora al principio me ha resultado más práctico configurar el lavavajillas (ajustar el nivel de dureza del agua por ejemplo) usando la app que con los botones del lavavajillas.",,,4.0
23-07-23,54222228,dw,front_control,LG,quadwash,DF365FPS,EU,es,retail,elcorteingles,,Negative,use,Durability,"When it works it's simple, the problem is that it doesn't work at first.","[ Satisfied with the purchase ] || ---------------- || (This review was received through a promotion.) I've had the dishwasher for a short time, but so far what I've liked the most is that the dishes stay dry. The one I had before left it wet and I don't like that at all. I also really like the cutlery tray. They all come clean with no leftover food, as I sometimes did when I put them in the basket. The trays slide up and down easily and the plate holders can be folded down independently, giving you a little more flexibility. Although I find them somewhat bulky and when they are completely lying down, the dishes are not very stable. It is relatively quiet. You can only hear the noise of the water caused by the sprinklers, but outside the kitchen you can no longer hear it. At the level of size it is a little deeper than usual perhaps. In my case, it protrudes a couple of centimeters from the kitchen cabinet. Configuring the application is a pain. When it works it's simple, the problem is that it doesn't work at first. Instead of searching the web, it is best to follow the instructions that come with the device, but if it does not work the first time (it will not work), start from scratch but wait more time at each step. It will eventually work. The truth is that I don't know if I will use it much, but now at first it has been more practical for me to configure the dishwasher (adjust the water hardness level for example) using the app than with the buttons on the dishwasher.","[ Satisfecho con la compra ] || ---------------- || (Esta reseña se ha recibido a través de una promoción.) Tengo el lavavajillas hace poco tiempo, pero de momento lo que más me ha gustado es que la vajilla queda seca. El que tenía antes la dejaba húmeda y no me gusta nada eso.También me gusta mucho la bandeja para los cubiertos. Todos quedan limpios sin restos de comida, como me pasaba a veces cuando los colocaba en el cesto.Las bandejas se suben y bajan fácilmente y los soportes para los platos se pueden abatir de forma independiente, lo que te da algo más de flexibilidad. Aunque me resultan algo voluminosos y cuando están completamente tumbados la vajilla como que no queda muy estable.Es relativamente silencioso. Solo se escucha el ruido del agua provocado por los aspersores, pero fuera de la cocina ya no se escucha.A nivel de tamaño es un poco más profundo de lo habitual quizá. En mi caso se me sobresale un par de centímetros del mueble de la cocina.Configurar la aplicación es un rollo. Cuando funciona es sencillo, el problema es que de primeras no funciona. En lugar de buscar en la web lo mejor es seguir las instrucciones que vienen con el aparato pero caso no funcione a la primera (que no va funcionar) , empezad de cero pero esperad más tiempo en cada paso. Eventualmente funcionará. La verdad es que no sé si le daré mucho uso, pero ahora al principio me ha resultado más práctico configurar el lavavajillas (ajustar el nivel de dureza del agua por ejemplo) usando la app que con los botones del lavavajillas.",,,4.0
23-07-23,54222228,dw,front_control,LG,quadwash,DF365FPS,EU,es,retail,elcorteingles,,Negative,use,Easy_Use,"When it works it's simple, the problem is that it doesn't work at first.","[ Satisfied with the purchase ] || ---------------- || (This review was received through a promotion.) I've had the dishwasher for a short time, but so far what I've liked the most is that the dishes stay dry. The one I had before left it wet and I don't like that at all. I also really like the cutlery tray. They all come clean with no leftover food, as I sometimes did when I put them in the basket. The trays slide up and down easily and the plate holders can be folded down independently, giving you a little more flexibility. Although I find them somewhat bulky and when they are completely lying down, the dishes are not very stable. It is relatively quiet. You can only hear the noise of the water caused by the sprinklers, but outside the kitchen you can no longer hear it. At the level of size it is a little deeper than usual perhaps. In my case, it protrudes a couple of centimeters from the kitchen cabinet. Configuring the application is a pain. When it works it's simple, the problem is that it doesn't work at first. Instead of searching the web, it is best to follow the instructions that come with the device, but if it does not work the first time (it will not work), start from scratch but wait more time at each step. It will eventually work. The truth is that I don't know if I will use it much, but now at first it has been more practical for me to configure the dishwasher (adjust the water hardness level for example) using the app than with the buttons on the dishwasher.","[ Satisfecho con la compra ] || ---------------- || (Esta reseña se ha recibido a través de una promoción.) Tengo el lavavajillas hace poco tiempo, pero de momento lo que más me ha gustado es que la vajilla queda seca. El que tenía antes la dejaba húmeda y no me gusta nada eso.También me gusta mucho la bandeja para los cubiertos. Todos quedan limpios sin restos de comida, como me pasaba a veces cuando los colocaba en el cesto.Las bandejas se suben y bajan fácilmente y los soportes para los platos se pueden abatir de forma independiente, lo que te da algo más de flexibilidad. Aunque me resultan algo voluminosos y cuando están completamente tumbados la vajilla como que no queda muy estable.Es relativamente silencioso. Solo se escucha el ruido del agua provocado por los aspersores, pero fuera de la cocina ya no se escucha.A nivel de tamaño es un poco más profundo de lo habitual quizá. En mi caso se me sobresale un par de centímetros del mueble de la cocina.Configurar la aplicación es un rollo. Cuando funciona es sencillo, el problema es que de primeras no funciona. En lugar de buscar en la web lo mejor es seguir las instrucciones que vienen con el aparato pero caso no funcione a la primera (que no va funcionar) , empezad de cero pero esperad más tiempo en cada paso. Eventualmente funcionará. La verdad es que no sé si le daré mucho uso, pero ahora al principio me ha resultado más práctico configurar el lavavajillas (ajustar el nivel de dureza del agua por ejemplo) usando la app que con los botones del lavavajillas.",,,4.0
23-07-23,54222228,dw,front_control,LG,quadwash,DF365FPS,EU,es,retail,elcorteingles,,Negative,,,"Instead of searching the web, it is best to follow the instructions that come with the device, but if it does not work the first time (it will not work), start from scratch but wait more time at each step.","[ Satisfied with the purchase ] || ---------------- || (This review was received through a promotion.) I've had the dishwasher for a short time, but so far what I've liked the most is that the dishes stay dry. The one I had before left it wet and I don't like that at all. I also really like the cutlery tray. They all come clean with no leftover food, as I sometimes did when I put them in the basket. The trays slide up and down easily and the plate holders can be folded down independently, giving you a little more flexibility. Although I find them somewhat bulky and when they are completely lying down, the dishes are not very stable. It is relatively quiet. You can only hear the noise of the water caused by the sprinklers, but outside the kitchen you can no longer hear it. At the level of size it is a little deeper than usual perhaps. In my case, it protrudes a couple of centimeters from the kitchen cabinet. Configuring the application is a pain. When it works it's simple, the problem is that it doesn't work at first. Instead of searching the web, it is best to follow the instructions that come with the device, but if it does not work the first time (it will not work), start from scratch but wait more time at each step. It will eventually work. The truth is that I don't know if I will use it much, but now at first it has been more practical for me to configure the dishwasher (adjust the water hardness level for example) using the app than with the buttons on the dishwasher.","[ Satisfecho con la compra ] || ---------------- || (Esta reseña se ha recibido a través de una promoción.) Tengo el lavavajillas hace poco tiempo, pero de momento lo que más me ha gustado es que la vajilla queda seca. El que tenía antes la dejaba húmeda y no me gusta nada eso.También me gusta mucho la bandeja para los cubiertos. Todos quedan limpios sin restos de comida, como me pasaba a veces cuando los colocaba en el cesto.Las bandejas se suben y bajan fácilmente y los soportes para los platos se pueden abatir de forma independiente, lo que te da algo más de flexibilidad. Aunque me resultan algo voluminosos y cuando están completamente tumbados la vajilla como que no queda muy estable.Es relativamente silencioso. Solo se escucha el ruido del agua provocado por los aspersores, pero fuera de la cocina ya no se escucha.A nivel de tamaño es un poco más profundo de lo habitual quizá. En mi caso se me sobresale un par de centímetros del mueble de la cocina.Configurar la aplicación es un rollo. Cuando funciona es sencillo, el problema es que de primeras no funciona. En lugar de buscar en la web lo mejor es seguir las instrucciones que vienen con el aparato pero caso no funcione a la primera (que no va funcionar) , empezad de cero pero esperad más tiempo en cada paso. Eventualmente funcionará. La verdad es que no sé si le daré mucho uso, pero ahora al principio me ha resultado más práctico configurar el lavavajillas (ajustar el nivel de dureza del agua por ejemplo) usando la app que con los botones del lavavajillas.",,,4.0
23-07-23,54222228,dw,front_control,LG,quadwash,DF365FPS,EU,es,retail,elcorteingles,,Neutral,,Durability,It will eventually work.,"[ Satisfied with the purchase ] || ---------------- || (This review was received through a promotion.) I've had the dishwasher for a short time, but so far what I've liked the most is that the dishes stay dry. The one I had before left it wet and I don't like that at all. I also really like the cutlery tray. They all come clean with no leftover food, as I sometimes did when I put them in the basket. The trays slide up and down easily and the plate holders can be folded down independently, giving you a little more flexibility. Although I find them somewhat bulky and when they are completely lying down, the dishes are not very stable. It is relatively quiet. You can only hear the noise of the water caused by the sprinklers, but outside the kitchen you can no longer hear it. At the level of size it is a little deeper than usual perhaps. In my case, it protrudes a couple of centimeters from the kitchen cabinet. Configuring the application is a pain. When it works it's simple, the problem is that it doesn't work at first. Instead of searching the web, it is best to follow the instructions that come with the device, but if it does not work the first time (it will not work), start from scratch but wait more time at each step. It will eventually work. The truth is that I don't know if I will use it much, but now at first it has been more practical for me to configure the dishwasher (adjust the water hardness level for example) using the app than with the buttons on the dishwasher.","[ Satisfecho con la compra ] || ---------------- || (Esta reseña se ha recibido a través de una promoción.) Tengo el lavavajillas hace poco tiempo, pero de momento lo que más me ha gustado es que la vajilla queda seca. El que tenía antes la dejaba húmeda y no me gusta nada eso.También me gusta mucho la bandeja para los cubiertos. Todos quedan limpios sin restos de comida, como me pasaba a veces cuando los colocaba en el cesto.Las bandejas se suben y bajan fácilmente y los soportes para los platos se pueden abatir de forma independiente, lo que te da algo más de flexibilidad. Aunque me resultan algo voluminosos y cuando están completamente tumbados la vajilla como que no queda muy estable.Es relativamente silencioso. Solo se escucha el ruido del agua provocado por los aspersores, pero fuera de la cocina ya no se escucha.A nivel de tamaño es un poco más profundo de lo habitual quizá. En mi caso se me sobresale un par de centímetros del mueble de la cocina.Configurar la aplicación es un rollo. Cuando funciona es sencillo, el problema es que de primeras no funciona. En lugar de buscar en la web lo mejor es seguir las instrucciones que vienen con el aparato pero caso no funcione a la primera (que no va funcionar) , empezad de cero pero esperad más tiempo en cada paso. Eventualmente funcionará. La verdad es que no sé si le daré mucho uso, pero ahora al principio me ha resultado más práctico configurar el lavavajillas (ajustar el nivel de dureza del agua por ejemplo) usando la app que con los botones del lavavajillas.",,,4.0
23-07-23,54222228,dw,front_control,LG,quadwash,DF365FPS,EU,es,retail,elcorteingles,,Neutral,use,Easy_Use,"The truth is that I don't know if I will use it much, but now at first it has been more practical for me to configure the dishwasher (adjust the water hardness level for example) using the app than with the buttons on the dishwasher.","[ Satisfied with the purchase ] || ---------------- || (This review was received through a promotion.) I've had the dishwasher for a short time, but so far what I've liked the most is that the dishes stay dry. The one I had before left it wet and I don't like that at all. I also really like the cutlery tray. They all come clean with no leftover food, as I sometimes did when I put them in the basket. The trays slide up and down easily and the plate holders can be folded down independently, giving you a little more flexibility. Although I find them somewhat bulky and when they are completely lying down, the dishes are not very stable. It is relatively quiet. You can only hear the noise of the water caused by the sprinklers, but outside the kitchen you can no longer hear it. At the level of size it is a little deeper than usual perhaps. In my case, it protrudes a couple of centimeters from the kitchen cabinet. Configuring the application is a pain. When it works it's simple, the problem is that it doesn't work at first. Instead of searching the web, it is best to follow the instructions that come with the device, but if it does not work the first time (it will not work), start from scratch but wait more time at each step. It will eventually work. The truth is that I don't know if I will use it much, but now at first it has been more practical for me to configure the dishwasher (adjust the water hardness level for example) using the app than with the buttons on the dishwasher.","[ Satisfecho con la compra ] || ---------------- || (Esta reseña se ha recibido a través de una promoción.) Tengo el lavavajillas hace poco tiempo, pero de momento lo que más me ha gustado es que la vajilla queda seca. El que tenía antes la dejaba húmeda y no me gusta nada eso.También me gusta mucho la bandeja para los cubiertos. Todos quedan limpios sin restos de comida, como me pasaba a veces cuando los colocaba en el cesto.Las bandejas se suben y bajan fácilmente y los soportes para los platos se pueden abatir de forma independiente, lo que te da algo más de flexibilidad. Aunque me resultan algo voluminosos y cuando están completamente tumbados la vajilla como que no queda muy estable.Es relativamente silencioso. Solo se escucha el ruido del agua provocado por los aspersores, pero fuera de la cocina ya no se escucha.A nivel de tamaño es un poco más profundo de lo habitual quizá. En mi caso se me sobresale un par de centímetros del mueble de la cocina.Configurar la aplicación es un rollo. Cuando funciona es sencillo, el problema es que de primeras no funciona. En lugar de buscar en la web lo mejor es seguir las instrucciones que vienen con el aparato pero caso no funcione a la primera (que no va funcionar) , empezad de cero pero esperad más tiempo en cada paso. Eventualmente funcionará. La verdad es que no sé si le daré mucho uso, pero ahora al principio me ha resultado más práctico configurar el lavavajillas (ajustar el nivel de dureza del agua por ejemplo) usando la app que con los botones del lavavajillas.",,,4.0
23-07-23,54288649,dw,top_control,LG,quadwash,LDTH7972D,,us,retail,sears,,Positive,purchase,Delivery_Installation,Bought complete package.,[ Been working great other then water pump bearing ] || ---------------- || Bought complete package.Dishwasher Stove Refrigerator Microwave,[ Been working great other then water pump bearing ] || ---------------- || Bought complete package.Dishwasher Stove Refrigerator Microwave,,,5.0
23-07-23,54288649,dw,top_control,LG,quadwash,LDTH7972D,,us,retail,sears,,Neutral,,,Dishwasher Stove refrigerator microwave,[ Been working great other then water pump bearing ] || ---------------- || Bought complete package.Dishwasher Stove Refrigerator Microwave,[ Been working great other then water pump bearing ] || ---------------- || Bought complete package.Dishwasher Stove Refrigerator Microwave,,,5.0
