Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-07-11,53675856,dw,front_control,GE,GDF450PGRBB_GDF450PGRWW_GDF450PSRSS,GDF450PGRBB_GDF450PGRWW_GDF450PSRSS,,us,retail,geappliances,,Neutral,use,Easy_Use,Open the door and slide the top rack out 6 inches to prop the door open or the dishes will be covered in spots.,"[ Priced accordingly ] || ---------------- || Inexpensive, washes dishes, latch and all moving parts are cheap, which fits the price. Doesn't dry the dishes, leaves tons of moisture in the machine. Open the door and slide the top rack out 6 inches to prop the door open or the dishes will be covered in spots. Inexpensive… got what we paid for and not disappointed.","[ Priced accordingly ] || ---------------- || Inexpensive, washes dishes, latch and all moving parts are  cheap, which fits the price. Doesn’t dry the dishes, leaves tons of moisture in the machine. Open the door and slide the top rack out 6 inches  to prop the door open or the dishes will be covered in spots. Inexpensive… got what we paid for and not disappointed.",,,3.0
23-07-11,53675856,dw,front_control,GE,GDF450PGRBB_GDF450PGRWW_GDF450PSRSS,GDF450PGRBB_GDF450PGRWW_GDF450PSRSS,,us,retail,geappliances,,Positive,purchase,Price,expensive… got what we paid for and not disappointed.,"[ Priced accordingly ] || ---------------- || Inexpensive, washes dishes, latch and all moving parts are cheap, which fits the price. Doesn't dry the dishes, leaves tons of moisture in the machine. Open the door and slide the top rack out 6 inches to prop the door open or the dishes will be covered in spots. Inexpensive… got what we paid for and not disappointed.","[ Priced accordingly ] || ---------------- || Inexpensive, washes dishes, latch and all moving parts are  cheap, which fits the price. Doesn’t dry the dishes, leaves tons of moisture in the machine. Open the door and slide the top rack out 6 inches  to prop the door open or the dishes will be covered in spots. Inexpensive… got what we paid for and not disappointed.",,,3.0
23-07-11,53680943,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,geappliances,,Positive,use,Noise_Vibration,The dishwasher is so quite you don't even no it's on!,[ Quite dishwasher ] || ---------------- || The dishwasher is so quite you don't even no it's on! It does a great job of getting the dishes clean.,[ Quite dishwasher ] || ---------------- || The dishwasher is so quite you don’t even no it’s on!  It does a great job of getting the dishes clean.,,,5.0
23-07-11,53680943,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,geappliances,,Positive,use,Performance_Washing,It does a great job of getting the dishes clean.,[ Quite dishwasher ] || ---------------- || The dishwasher is so quite you don't even no it's on! It does a great job of getting the dishes clean.,[ Quite dishwasher ] || ---------------- || The dishwasher is so quite you don’t even no it’s on!  It does a great job of getting the dishes clean.,,,5.0
23-07-11,53680964,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,geappliances,,Positive,use,Design,"Our new dishwasher is much quieter than our old one and it has three racks, which is a great use of space.","[ Great features! ] || ---------------- || Our new dishwasher is much quieter than our old one and it has three racks, which is a great use of space.","[ Great features! ] || ---------------- || Our new dishwasher is much quieter than our old one and it has three racks, which is a great use of space.",,,5.0
23-07-11,53680964,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,geappliances,,Positive,use,Easy_Use,"Our new dishwasher is much quieter than our old one and it has three racks, which is a great use of space.","[ Great features! ] || ---------------- || Our new dishwasher is much quieter than our old one and it has three racks, which is a great use of space.","[ Great features! ] || ---------------- || Our new dishwasher is much quieter than our old one and it has three racks, which is a great use of space.",,,5.0
23-07-11,53680996,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,geappliances,,Negative,use,Easy_Use,Sleek but the wash cycles are so long takes a lot of time.,[ Nice ] || ---------------- || Sleek but the wash cycles are so long takes a lot of time.,[ Nice ] || ---------------- || Sleek but the wash cycles are so long takes a lot of time.,,,4.0
23-07-11,53680996,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,geappliances,,Negative,use,Performance_Washing,Sleek but the wash cycles are so long takes a lot of time.,[ Nice ] || ---------------- || Sleek but the wash cycles are so long takes a lot of time.,[ Nice ] || ---------------- || Sleek but the wash cycles are so long takes a lot of time.,,,4.0
23-07-11,53681931,dw,top_control,GE,GDP665SYNFS,GDP665SYNFS,,us,retail,geappliances,,Positive,use,,I have enjoyed not having to wash up everyday.,"[ Quiet and time saving ] || ---------------- || I have enjoyed not having to wash up everyday. I will see how the energy savings part goes, but I am happy with it so far. Quiet, cleans very well and the bottle jets are awesome.","[ Quiet and time saving ] || ---------------- || I have enjoyed not having to wash up everyday.  I will see how the energy savings part goes, but I am happy with it so far.  Quiet, cleans very well and the bottle jets are awesome.",,,5.0
23-07-11,53681931,dw,top_control,GE,GDP665SYNFS,GDP665SYNFS,,us,retail,geappliances,,Positive,use,Product_Satisfaction,"I will see how the energy savings part goes, but I am happy with it so far.","[ Quiet and time saving ] || ---------------- || I have enjoyed not having to wash up everyday. I will see how the energy savings part goes, but I am happy with it so far. Quiet, cleans very well and the bottle jets are awesome.","[ Quiet and time saving ] || ---------------- || I have enjoyed not having to wash up everyday.  I will see how the energy savings part goes, but I am happy with it so far.  Quiet, cleans very well and the bottle jets are awesome.",,,5.0
23-07-11,53681931,dw,top_control,GE,GDP665SYNFS,GDP665SYNFS,,us,retail,geappliances,,Very Positive,use,Noise_Vibration,"Quiet, cleans very well and the bottle jets are awesome.","[ Quiet and time saving ] || ---------------- || I have enjoyed not having to wash up everyday. I will see how the energy savings part goes, but I am happy with it so far. Quiet, cleans very well and the bottle jets are awesome.","[ Quiet and time saving ] || ---------------- || I have enjoyed not having to wash up everyday.  I will see how the energy savings part goes, but I am happy with it so far.  Quiet, cleans very well and the bottle jets are awesome.",,,5.0
