Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-06-22,53108328,dw,front_control,LG,LDFN454HT,LDFN454HT,,us,retail,homedepot,,Positive,use,Product_Satisfaction,"Quiet, uses less water, the third row is really nice and does a great job!","[ Very nice machine. Quiet, cleans well and a great price! ] || ---------------- || Does exactly as stated! Quiet, uses less water, the third row is really nice and does a great job!","[ Very nice machine.  Quiet, cleans well and a great price! ] || ---------------- || Does exactly as stated! Quiet, uses less water, the third row is really nice and does a great job!",,,5.0
23-06-22,53108337,dw,front_control,LG,LDFN454HT,LDFN454HT,,us,retail,homedepot,,Very Negative,use,,Do not buy this dishwasher!,"[ SCRATCHES GLASSES/doesn't dry! ] || ---------------- || Do not buy this dishwasher! It SCRATCHES glasses, China and pottery. AND it doesn't dry. Home Depot doesn't care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE","[ SCRATCHES GLASSES/doesn’t dry! ] || ---------------- || Do not buy this dishwasher!!! It SCRATCHES glasses, China and pottery. AND it doesn’t dry. Home Depot doesn’t care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE",,,1.0
23-06-22,53108337,dw,front_control,LG,LDFN454HT,LDFN454HT,,us,retail,homedepot,,Neutral,use,Durability,"It SCRATCHES glasses, China and pottery.","[ SCRATCHES GLASSES/doesn't dry! ] || ---------------- || Do not buy this dishwasher! It SCRATCHES glasses, China and pottery. AND it doesn't dry. Home Depot doesn't care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE","[ SCRATCHES GLASSES/doesn’t dry! ] || ---------------- || Do not buy this dishwasher!!! It SCRATCHES glasses, China and pottery. AND it doesn’t dry. Home Depot doesn’t care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE",,,1.0
23-06-22,53108337,dw,front_control,LG,LDFN454HT,LDFN454HT,,us,retail,homedepot,,Negative,use,Performance_Drying,AND it doesn't dry.,"[ SCRATCHES GLASSES/doesn't dry! ] || ---------------- || Do not buy this dishwasher! It SCRATCHES glasses, China and pottery. AND it doesn't dry. Home Depot doesn't care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE","[ SCRATCHES GLASSES/doesn’t dry! ] || ---------------- || Do not buy this dishwasher!!! It SCRATCHES glasses, China and pottery. AND it doesn’t dry. Home Depot doesn’t care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE",,,1.0
23-06-22,53108337,dw,front_control,LG,LDFN454HT,LDFN454HT,,us,retail,homedepot,,Very Negative,maintain,Service,Home Depot doesn't care and having to deal with LG is a NIGHTMARE.,"[ SCRATCHES GLASSES/doesn't dry! ] || ---------------- || Do not buy this dishwasher! It SCRATCHES glasses, China and pottery. AND it doesn't dry. Home Depot doesn't care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE","[ SCRATCHES GLASSES/doesn’t dry! ] || ---------------- || Do not buy this dishwasher!!! It SCRATCHES glasses, China and pottery. AND it doesn’t dry. Home Depot doesn’t care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE",,,1.0
23-06-22,53108337,dw,front_control,LG,LDFN454HT,LDFN454HT,,us,retail,homedepot,,Negative,use,,WE have tried every mode to no available.,"[ SCRATCHES GLASSES/doesn't dry! ] || ---------------- || Do not buy this dishwasher! It SCRATCHES glasses, China and pottery. AND it doesn't dry. Home Depot doesn't care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE","[ SCRATCHES GLASSES/doesn’t dry! ] || ---------------- || Do not buy this dishwasher!!! It SCRATCHES glasses, China and pottery. AND it doesn’t dry. Home Depot doesn’t care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE",,,1.0
23-06-22,53108337,dw,front_control,LG,LDFN454HT,LDFN454HT,,us,retail,homedepot,,Very Negative,,,SAVE YOURSELF THE HEADACHE,"[ SCRATCHES GLASSES/doesn't dry! ] || ---------------- || Do not buy this dishwasher! It SCRATCHES glasses, China and pottery. AND it doesn't dry. Home Depot doesn't care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE","[ SCRATCHES GLASSES/doesn’t dry! ] || ---------------- || Do not buy this dishwasher!!! It SCRATCHES glasses, China and pottery. AND it doesn’t dry. Home Depot doesn’t care and having to deal with LG is a NIGHTMARE. WE have tried every mode to no available. SAVE YOURSELF THE HEADACHE",,,1.0
23-06-22,53109947,dw,top_control,KITCHENAID,KDTM604KBS,KDTM604KBS,,us,retail,kitchenaid,,Positive,use,Design,"Of all the things that I love most about my kitchen remodel, my dishwasher may be my favorite!","[ Perfect for large families! ] || ---------------- || Of all the things that I love most about my kitchen remodel, my dishwasher may be my favorite! The three racks are spacious and the quiet operation and easy controls are terrific!","[ Perfect for large families! ] || ---------------- || Of all the things that I love most about my kitchen remodel, my dishwasher may be my favorite! The three racks are spacious and the quiet operation and easy controls are terrific!",,,5.0
23-06-22,53109947,dw,top_control,KITCHENAID,KDTM604KBS,KDTM604KBS,,us,retail,kitchenaid,,Positive,use,Design,The three racks are spacious and the quiet operation and easy controls are terrific!,"[ Perfect for large families! ] || ---------------- || Of all the things that I love most about my kitchen remodel, my dishwasher may be my favorite! The three racks are spacious and the quiet operation and easy controls are terrific!","[ Perfect for large families! ] || ---------------- || Of all the things that I love most about my kitchen remodel, my dishwasher may be my favorite! The three racks are spacious and the quiet operation and easy controls are terrific!",,,5.0
23-06-22,53109947,dw,top_control,KITCHENAID,KDTM604KBS,KDTM604KBS,,us,retail,kitchenaid,,Positive,use,Easy_Use,The three racks are spacious and the quiet operation and easy controls are terrific!,"[ Perfect for large families! ] || ---------------- || Of all the things that I love most about my kitchen remodel, my dishwasher may be my favorite! The three racks are spacious and the quiet operation and easy controls are terrific!","[ Perfect for large families! ] || ---------------- || Of all the things that I love most about my kitchen remodel, my dishwasher may be my favorite! The three racks are spacious and the quiet operation and easy controls are terrific!",,,5.0
23-06-22,53111252,dw,top_control,BOSCH,SHXM88Z75N,SHXM88Z75N,,us,retail,bosch_home_us,,Very Positive,use,,Absolutely love this !,[ Best dishwasher! ] || ---------------- || Absolutely love this ! We wanted an upgrade from the unit in our home. We decided that Bosch was the best choice for us. Amazing interior design for almost anything you can put in it. We are very pleased.,[ Best dishwasher! ] || ---------------- || Absolutely love this ! We wanted an upgrade from the unit in our home. We decided that Bosch was the best choice for us.  Amazing interior design for almost anything you can put in it. We are very pleased.,,,5.0
