Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-05-31,52615206,dw,top_control,SAMSUNG,BESPOKE,BNDL_1646780514359_DW80B7070UG_AA_DW80B7070US_AA,,us,retail,samsung_com_us,,Very Positive,use,Performance_Washing,"This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness.","[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.","[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.",,,5.0
23-05-31,52615206,dw,top_control,SAMSUNG,BESPOKE,BNDL_1646780514359_DW80B7070UG_AA_DW80B7070US_AA,,us,retail,samsung_com_us,,Negative,,,The only problem is it is supposed to come with a white glass door front.,"[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.","[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.",,,5.0
23-05-31,52615206,dw,top_control,SAMSUNG,BESPOKE,BNDL_1646780514359_DW80B7070UG_AA_DW80B7070US_AA,,us,retail,samsung_com_us,,Negative,"deliver,onboard",Delivery_Installation,"The delivery and installation did have an issue, Costco & Samsung got that resolved.","[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.","[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.",,,5.0
23-05-31,52615206,dw,top_control,SAMSUNG,BESPOKE,BNDL_1646780514359_DW80B7070UG_AA_DW80B7070US_AA,,us,retail,samsung_com_us,,Neutral,,Design,Our white glass door front was not white but a light grey.,"[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.","[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.",,,5.0
23-05-31,52615206,dw,top_control,SAMSUNG,BESPOKE,BNDL_1646780514359_DW80B7070UG_AA_DW80B7070US_AA,,us,retail,samsung_com_us,,Neutral,,Delivery_Installation,Since we were leaving for our Florida home There was nothing that could be done about it.,"[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.","[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.",,,5.0
23-05-31,52615206,dw,top_control,SAMSUNG,BESPOKE,BNDL_1646780514359_DW80B7070UG_AA_DW80B7070US_AA,,us,retail,samsung_com_us,,Neutral,,Service,Since we were leaving for our Florida home There was nothing that could be done about it.,"[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.","[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.",,,5.0
23-05-31,52615206,dw,top_control,SAMSUNG,BESPOKE,BNDL_1646780514359_DW80B7070UG_AA_DW80B7070US_AA,,us,retail,samsung_com_us,,Neutral,maintain,Service,"Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front.","[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.","[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.",,,5.0
23-05-31,52615206,dw,top_control,SAMSUNG,BESPOKE,BNDL_1646780514359_DW80B7070UG_AA_DW80B7070US_AA,,us,retail,samsung_com_us,,Negative,maintain,,I feel this is totally wrong as the error lies with them.,"[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.","[ Great Dishwasher but be careful for door front! ] || ---------------- || This dishwasher does a fantastic job cleaning and drying the dishes, and also in quietness. The only problem is it is supposed to come with a white glass door front. The delivery and installation did have an issue, Costco & Samsung got that resolved. Our white glass door front was not white but a light grey. Since we were leaving for our Florida home There was nothing that could be done about it. Upon returning back to our Ohio house, I contacted Costco and they took my report and then transferred me to Samsung and was pretty quickly told that I would need to pay for a service call and also for the correct door front. I feel this is totally wrong as the error lies with them.",,,5.0
23-05-31,52615488,dw,top_control,SAMSUNG,DW80R9950UG_AA_DW80R9950US_AA,DW80R9950UG_AA_DW80R9950US_AA,,us,retail,samsung_com_us,,Neutral,"onboard,purchase",Delivery_Installation,We bought this dishwasher and installed it on the 1st of January 2023.,"[ Quiet but quit 5 months in. ] || ---------------- || We bought this dishwasher and installed it on the 1st of January 2023. Theres only 2 of us so we run it about 2-3 times per week. I loved it. It ran quiet and dishes came out clean! Not even 5 months later, at the end of April, it stopped working and gave an error code. A tech came out and said it was some part they didnt have. He ordered the part to be delivered to our home. It seriously looks like a plastic housing case of some sort. Not sure how that will fix the PC code, because here we are at the 1st of June and we're still washing our dishes by hand. Super disappointed. In the future, Samsung might opt to just replace a nearly new machine.","[ Quiet but quit 5 months in. ] || ---------------- || We bought this dishwasher and installed it on the 1st of January 2023. Theres only 2 of us so we run it about 2-3 times per week. I loved it. It ran quiet and dishes came out clean! . Not even 5 months later,  at the end of April, it stopped working and gave an error code.  A tech came out and said it was some part they didnt have. He ordered the part to be delivered to our home. It seriously looks like a plastic housing case of some sort. Not sure how that will fix the PC code, because here we are at the 1st of June and we're still washing our dishes by hand.  Super disappointed.  In the future,  Samsung might opt to just replace a nearly new machine.",,,2.0
23-05-31,52615488,dw,top_control,SAMSUNG,DW80R9950UG_AA_DW80R9950US_AA,DW80R9950UG_AA_DW80R9950US_AA,,us,retail,samsung_com_us,,Neutral,use,Design,Theres only 2 of us so we run it about 2-3 times per week.,"[ Quiet but quit 5 months in. ] || ---------------- || We bought this dishwasher and installed it on the 1st of January 2023. Theres only 2 of us so we run it about 2-3 times per week. I loved it. It ran quiet and dishes came out clean! Not even 5 months later, at the end of April, it stopped working and gave an error code. A tech came out and said it was some part they didnt have. He ordered the part to be delivered to our home. It seriously looks like a plastic housing case of some sort. Not sure how that will fix the PC code, because here we are at the 1st of June and we're still washing our dishes by hand. Super disappointed. In the future, Samsung might opt to just replace a nearly new machine.","[ Quiet but quit 5 months in. ] || ---------------- || We bought this dishwasher and installed it on the 1st of January 2023. Theres only 2 of us so we run it about 2-3 times per week. I loved it. It ran quiet and dishes came out clean! . Not even 5 months later,  at the end of April, it stopped working and gave an error code.  A tech came out and said it was some part they didnt have. He ordered the part to be delivered to our home. It seriously looks like a plastic housing case of some sort. Not sure how that will fix the PC code, because here we are at the 1st of June and we're still washing our dishes by hand.  Super disappointed.  In the future,  Samsung might opt to just replace a nearly new machine.",,,2.0
23-05-31,52615488,dw,top_control,SAMSUNG,DW80R9950UG_AA_DW80R9950US_AA,DW80R9950UG_AA_DW80R9950US_AA,,us,retail,samsung_com_us,,Positive,use,,I loved it.,"[ Quiet but quit 5 months in. ] || ---------------- || We bought this dishwasher and installed it on the 1st of January 2023. Theres only 2 of us so we run it about 2-3 times per week. I loved it. It ran quiet and dishes came out clean! Not even 5 months later, at the end of April, it stopped working and gave an error code. A tech came out and said it was some part they didnt have. He ordered the part to be delivered to our home. It seriously looks like a plastic housing case of some sort. Not sure how that will fix the PC code, because here we are at the 1st of June and we're still washing our dishes by hand. Super disappointed. In the future, Samsung might opt to just replace a nearly new machine.","[ Quiet but quit 5 months in. ] || ---------------- || We bought this dishwasher and installed it on the 1st of January 2023. Theres only 2 of us so we run it about 2-3 times per week. I loved it. It ran quiet and dishes came out clean! . Not even 5 months later,  at the end of April, it stopped working and gave an error code.  A tech came out and said it was some part they didnt have. He ordered the part to be delivered to our home. It seriously looks like a plastic housing case of some sort. Not sure how that will fix the PC code, because here we are at the 1st of June and we're still washing our dishes by hand.  Super disappointed.  In the future,  Samsung might opt to just replace a nearly new machine.",,,2.0
