Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-05-10,51345826,dw,top_control,WHIRLPOOL,WDT970SAKZ,WDT970SAKZ,,us,retail,whirlpool_com_us,,Neutral,use,Durability,"I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine.","[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine. The dishwasher leaked badly from day one. I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle. 4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes. SERIOUSLY? There were 10 cups and a few bowls in the unit at the time. But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it. With no dishes, a few dishes or completely loaded. There are numerous write ups for this issue with this model on Whirlpool's own website. The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter. Meanwhile Whirlpool stands fast that it is a user error. The contracted technician is scheduled to come out one more time and bring a ""clear"" door with them to observe the water jet flow. I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine. Imagine that? BOTTOM LINE Whirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue. I would not recommend this dishwasher to anyone. The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up! ","[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine.  The dishwasher leaked badly from day one.  I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle.  4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes.  SERIOUSLY????  There were 10 cups and a few bowls in the unit at the time.  But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it.  With no dishes, a few dishes or completely loaded.  There are numerous write ups for this issue with this model on Whirlpool's own website.  The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter.  Meanwhile Whirlpool stands fast that it is a user error.  The contracted technician is scheduled to come out one more time and bring a 'clear' door with them to observe the water jet flow.  I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine.  Imagine that??? BOTTOM LINEWhirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue.  I would not recommend this dishwasher to anyone.  The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up!!",,,1.0
23-05-10,51345826,dw,top_control,WHIRLPOOL,WDT970SAKZ,WDT970SAKZ,,us,retail,whirlpool_com_us,,Neutral,,Design,Imagine that?,"[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine. The dishwasher leaked badly from day one. I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle. 4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes. SERIOUSLY? There were 10 cups and a few bowls in the unit at the time. But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it. With no dishes, a few dishes or completely loaded. There are numerous write ups for this issue with this model on Whirlpool's own website. The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter. Meanwhile Whirlpool stands fast that it is a user error. The contracted technician is scheduled to come out one more time and bring a ""clear"" door with them to observe the water jet flow. I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine. Imagine that? BOTTOM LINE Whirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue. I would not recommend this dishwasher to anyone. The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up! ","[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine.  The dishwasher leaked badly from day one.  I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle.  4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes.  SERIOUSLY????  There were 10 cups and a few bowls in the unit at the time.  But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it.  With no dishes, a few dishes or completely loaded.  There are numerous write ups for this issue with this model on Whirlpool's own website.  The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter.  Meanwhile Whirlpool stands fast that it is a user error.  The contracted technician is scheduled to come out one more time and bring a 'clear' door with them to observe the water jet flow.  I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine.  Imagine that??? BOTTOM LINEWhirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue.  I would not recommend this dishwasher to anyone.  The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up!!",,,1.0
23-05-10,51345826,dw,top_control,WHIRLPOOL,WDT970SAKZ,WDT970SAKZ,,us,retail,whirlpool_com_us,,Negative,maintain,Durability,"BOTTOM LINE Whirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue.","[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine. The dishwasher leaked badly from day one. I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle. 4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes. SERIOUSLY? There were 10 cups and a few bowls in the unit at the time. But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it. With no dishes, a few dishes or completely loaded. There are numerous write ups for this issue with this model on Whirlpool's own website. The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter. Meanwhile Whirlpool stands fast that it is a user error. The contracted technician is scheduled to come out one more time and bring a ""clear"" door with them to observe the water jet flow. I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine. Imagine that? BOTTOM LINE Whirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue. I would not recommend this dishwasher to anyone. The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up! ","[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine.  The dishwasher leaked badly from day one.  I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle.  4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes.  SERIOUSLY????  There were 10 cups and a few bowls in the unit at the time.  But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it.  With no dishes, a few dishes or completely loaded.  There are numerous write ups for this issue with this model on Whirlpool's own website.  The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter.  Meanwhile Whirlpool stands fast that it is a user error.  The contracted technician is scheduled to come out one more time and bring a 'clear' door with them to observe the water jet flow.  I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine.  Imagine that??? BOTTOM LINEWhirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue.  I would not recommend this dishwasher to anyone.  The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up!!",,,1.0
23-05-10,51345826,dw,top_control,WHIRLPOOL,WDT970SAKZ,WDT970SAKZ,,us,retail,whirlpool_com_us,,Very Negative,use,,I would not recommend this dishwasher to anyone.,"[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine. The dishwasher leaked badly from day one. I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle. 4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes. SERIOUSLY? There were 10 cups and a few bowls in the unit at the time. But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it. With no dishes, a few dishes or completely loaded. There are numerous write ups for this issue with this model on Whirlpool's own website. The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter. Meanwhile Whirlpool stands fast that it is a user error. The contracted technician is scheduled to come out one more time and bring a ""clear"" door with them to observe the water jet flow. I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine. Imagine that? BOTTOM LINE Whirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue. I would not recommend this dishwasher to anyone. The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up! ","[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine.  The dishwasher leaked badly from day one.  I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle.  4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes.  SERIOUSLY????  There were 10 cups and a few bowls in the unit at the time.  But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it.  With no dishes, a few dishes or completely loaded.  There are numerous write ups for this issue with this model on Whirlpool's own website.  The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter.  Meanwhile Whirlpool stands fast that it is a user error.  The contracted technician is scheduled to come out one more time and bring a 'clear' door with them to observe the water jet flow.  I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine.  Imagine that??? BOTTOM LINEWhirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue.  I would not recommend this dishwasher to anyone.  The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up!!",,,1.0
23-05-10,51345826,dw,top_control,WHIRLPOOL,WDT970SAKZ,WDT970SAKZ,,us,retail,whirlpool_com_us,,Very Negative,maintain,Service,"The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away.","[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine. The dishwasher leaked badly from day one. I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle. 4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes. SERIOUSLY? There were 10 cups and a few bowls in the unit at the time. But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it. With no dishes, a few dishes or completely loaded. There are numerous write ups for this issue with this model on Whirlpool's own website. The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter. Meanwhile Whirlpool stands fast that it is a user error. The contracted technician is scheduled to come out one more time and bring a ""clear"" door with them to observe the water jet flow. I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine. Imagine that? BOTTOM LINE Whirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue. I would not recommend this dishwasher to anyone. The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up! ","[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine.  The dishwasher leaked badly from day one.  I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle.  4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes.  SERIOUSLY????  There were 10 cups and a few bowls in the unit at the time.  But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it.  With no dishes, a few dishes or completely loaded.  There are numerous write ups for this issue with this model on Whirlpool's own website.  The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter.  Meanwhile Whirlpool stands fast that it is a user error.  The contracted technician is scheduled to come out one more time and bring a 'clear' door with them to observe the water jet flow.  I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine.  Imagine that??? BOTTOM LINEWhirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue.  I would not recommend this dishwasher to anyone.  The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up!!",,,1.0
23-05-10,51345826,dw,top_control,WHIRLPOOL,WDT970SAKZ,WDT970SAKZ,,us,retail,whirlpool_com_us,,Neutral,maintain,Service,I will provide an update when this gets resolved to my satisfaction.,"[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine. The dishwasher leaked badly from day one. I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle. 4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes. SERIOUSLY? There were 10 cups and a few bowls in the unit at the time. But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it. With no dishes, a few dishes or completely loaded. There are numerous write ups for this issue with this model on Whirlpool's own website. The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter. Meanwhile Whirlpool stands fast that it is a user error. The contracted technician is scheduled to come out one more time and bring a ""clear"" door with them to observe the water jet flow. I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine. Imagine that? BOTTOM LINE Whirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue. I would not recommend this dishwasher to anyone. The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up! ","[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine.  The dishwasher leaked badly from day one.  I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle.  4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes.  SERIOUSLY????  There were 10 cups and a few bowls in the unit at the time.  But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it.  With no dishes, a few dishes or completely loaded.  There are numerous write ups for this issue with this model on Whirlpool's own website.  The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter.  Meanwhile Whirlpool stands fast that it is a user error.  The contracted technician is scheduled to come out one more time and bring a 'clear' door with them to observe the water jet flow.  I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine.  Imagine that??? BOTTOM LINEWhirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue.  I would not recommend this dishwasher to anyone.  The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up!!",,,1.0
23-05-10,51345826,dw,top_control,WHIRLPOOL,WDT970SAKZ,WDT970SAKZ,,us,retail,whirlpool_com_us,,Negative,,,Frustrated but unwilling to give up!,"[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine. The dishwasher leaked badly from day one. I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle. 4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes. SERIOUSLY? There were 10 cups and a few bowls in the unit at the time. But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it. With no dishes, a few dishes or completely loaded. There are numerous write ups for this issue with this model on Whirlpool's own website. The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter. Meanwhile Whirlpool stands fast that it is a user error. The contracted technician is scheduled to come out one more time and bring a ""clear"" door with them to observe the water jet flow. I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine. Imagine that? BOTTOM LINE Whirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue. I would not recommend this dishwasher to anyone. The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up! ","[ My Expensive New Kitchen Water Feature ] || ---------------- || I purchased the unit a month ago, from Lowes home improvement at a great price compared to Home Depot, only to find out that the ratings posted certainly did not apply to my machine.  The dishwasher leaked badly from day one.  I checked the installation several times and removed the kick plate to find that the water was leaking from the front of the door near the hinges during the wash cycle.  4 service calls, a new inner door seal, escalation to Whirlpool's Customer Care dept., and 2 calls between the technician and Whirlpool technical support ended up with the contracted technician verifying my installation and confirming that the unit is leaking from around the door hinges, while the Whirlpool Technical Support specialist and their Escalation Representative logged the problem as incorrectly loaded dishes.  SERIOUSLY????  There were 10 cups and a few bowls in the unit at the time.  But the 2 people who were not there, made the diagnosis! The unit leaks EVERY time I use it.  With no dishes, a few dishes or completely loaded.  There are numerous write ups for this issue with this model on Whirlpool's own website.  The surrounding cabinets are now damaged due to the water leaks and I have submitted a consumer protection claim to my state's Attorney General's office to help me handle the matter.  Meanwhile Whirlpool stands fast that it is a user error.  The contracted technician is scheduled to come out one more time and bring a 'clear' door with them to observe the water jet flow.  I am not a mechanical engineer, but I assume that we will discover that water is indeed spraying around inside of the machine.  Imagine that??? BOTTOM LINEWhirlpool wants to take a hard line stance that their product has passed rigorous testing and quality control, but then will not stand behind the customer when there is an obvious issue.  I would not recommend this dishwasher to anyone.  The product is awful, Whirlpool Customer Service is professional and nice but ineffective, and Whirlpool technical support is completely useless and simply reading from a script to make the customer go away. I will provide an update when this gets resolved to my satisfaction. Frustrated but unwilling to give up!!",,,1.0
23-05-10,51345829,dw,top_control,WHIRLPOOL,WDT970SAKZ,WDT970SAKZ,,us,retail,whirlpool_com_us,,Neutral,decide,Design,Remodeled kitchen 2 months ago and decided we needed a new dishwasher.,[ Whirlpool Dishwasher - well designed! ] || ---------------- || Remodeled kitchen 2 months ago and decided we needed a new dishwasher. This new Whirlpool has so many more features than our previous model and is super quiet.,[ Whirlpool Dishwasher - well designed! ] || ---------------- || Remodeled kitchen 2 months ago and decided we needed a new dishwasher. This new Whirlpool has so many more features than our previous model and is super quiet.,,,5.0
23-05-10,51345829,dw,top_control,WHIRLPOOL,WDT970SAKZ,WDT970SAKZ,,us,retail,whirlpool_com_us,,Positive,use,Noise_Vibration,This new Whirlpool has so many more features than our previous model and is super quiet.,[ Whirlpool Dishwasher - well designed! ] || ---------------- || Remodeled kitchen 2 months ago and decided we needed a new dishwasher. This new Whirlpool has so many more features than our previous model and is super quiet.,[ Whirlpool Dishwasher - well designed! ] || ---------------- || Remodeled kitchen 2 months ago and decided we needed a new dishwasher. This new Whirlpool has so many more features than our previous model and is super quiet.,,,5.0
23-05-10,51345836,dw,top_control,WHIRLPOOL,WDT970SAKZ,WDT970SAKZ,,us,retail,whirlpool_com_us,,Positive,use,Easy_Use,I LOVE THE THIRD RACK.,[ WHIRLPOOL DISHWASHER ] || ---------------- || I LOVE THE THIRD RACK. I DO A LOT OF BAKING AND I PUT MY UTENSILS IN THE THIRD RACK. I DON'T WORRY ABOUT THEM FALLING TO THE BOTTOM OF THE DISHWASHER.,[ WHIRLPOOL DISHWASHER ] || ---------------- || I LOVE THE THIRD RACK. I DO A LOT OF BAKING AND I PUT MY UTENSILS IN THE THIRD RACK. I DON'T WORRY ABOUT THEM FALLING TO THE BOTTOM OF THE DISHWASHER.,,,5.0
23-05-10,51345836,dw,top_control,WHIRLPOOL,WDT970SAKZ,WDT970SAKZ,,us,retail,whirlpool_com_us,,Negative,use,Easy_Use,I DO A LOT OF BAKING AND I PUT MY UTENSILS IN THE THIRD RACK.,[ WHIRLPOOL DISHWASHER ] || ---------------- || I LOVE THE THIRD RACK. I DO A LOT OF BAKING AND I PUT MY UTENSILS IN THE THIRD RACK. I DON'T WORRY ABOUT THEM FALLING TO THE BOTTOM OF THE DISHWASHER.,[ WHIRLPOOL DISHWASHER ] || ---------------- || I LOVE THE THIRD RACK. I DO A LOT OF BAKING AND I PUT MY UTENSILS IN THE THIRD RACK. I DON'T WORRY ABOUT THEM FALLING TO THE BOTTOM OF THE DISHWASHER.,,,5.0
