Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-05-03,51163709,dw,top_control,GE,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,,us,retail,geappliances,,Very Positive,use,Design,"Is quiet, it's looks fabulous in my kitchen.","[ Love how quiet it is. ] || ---------------- || Is quiet, it's looks fabulous in my kitchen. It does a great job cleaning","[ Love how quiet it is. ] || ---------------- || Is quiet, it’s looks fabulous in my kitchen.  It does a great job cleaning",,,5.0
23-05-03,51163709,dw,top_control,GE,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,,us,retail,geappliances,,Very Positive,use,Noise_Vibration,"Is quiet, it's looks fabulous in my kitchen.","[ Love how quiet it is. ] || ---------------- || Is quiet, it's looks fabulous in my kitchen. It does a great job cleaning","[ Love how quiet it is. ] || ---------------- || Is quiet, it’s looks fabulous in my kitchen.  It does a great job cleaning",,,5.0
23-05-03,51163709,dw,top_control,GE,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,,us,retail,geappliances,,Positive,use,Performance_Washing,It does a great job cleaning,"[ Love how quiet it is. ] || ---------------- || Is quiet, it's looks fabulous in my kitchen. It does a great job cleaning","[ Love how quiet it is. ] || ---------------- || Is quiet, it’s looks fabulous in my kitchen.  It does a great job cleaning",,,5.0
23-05-03,51163704,dw,top_control,GE,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,,us,retail,geappliances,,Positive,use,Design,Love this compact footprint in my kitchen.,[ Great size ] || ---------------- || Love this compact footprint in my kitchen. So far works well.,[ Great size ] || ---------------- || Love this compact footprint in my kitchen. So far works well.,,,5.0
23-05-03,51163704,dw,top_control,GE,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,PDT145SGLBB_PDT145SGLWW_PDT145SSLSS,,us,retail,geappliances,,Positive,use,Durability,So far works well.,[ Great size ] || ---------------- || Love this compact footprint in my kitchen. So far works well.,[ Great size ] || ---------------- || Love this compact footprint in my kitchen. So far works well.,,,5.0
23-05-03,78617947,dw,top_control,GE,PDT715SYVFS,PDT715SYVFS,,us,retail,geappliances,,Positive,use,Design,"I love the looks, performance and quietness!","[ Quietest dishwasher I've ever had! ] || ---------------- || I love the looks, performance and quietness! Our house layout is open so we can be watching television and not know it is running.","[ Quietest dishwasher I’ve ever had! ] || ---------------- || I love the looks, performance and quietness! Our house layout is open so we can be watching television and not know it is running.",Not verified,,5.0
23-05-03,78617947,dw,top_control,GE,PDT715SYVFS,PDT715SYVFS,,us,retail,geappliances,,Positive,use,Noise_Vibration,"I love the looks, performance and quietness!","[ Quietest dishwasher I've ever had! ] || ---------------- || I love the looks, performance and quietness! Our house layout is open so we can be watching television and not know it is running.","[ Quietest dishwasher I’ve ever had! ] || ---------------- || I love the looks, performance and quietness! Our house layout is open so we can be watching television and not know it is running.",Not verified,,5.0
23-05-03,78617947,dw,top_control,GE,PDT715SYVFS,PDT715SYVFS,,us,retail,geappliances,,Neutral,use,Noise_Vibration,Our house layout is open so we can be watching television and not know it is running.,"[ Quietest dishwasher I've ever had! ] || ---------------- || I love the looks, performance and quietness! Our house layout is open so we can be watching television and not know it is running.","[ Quietest dishwasher I’ve ever had! ] || ---------------- || I love the looks, performance and quietness! Our house layout is open so we can be watching television and not know it is running.",Not verified,,5.0
23-05-03,78617943,dw,top_control,GE,PDT715SYVFS,PDT715SYVFS,,us,retail,geappliances,,Positive,,,Wow!,"[ Quiet, smooth Dishwasher ] || ---------------- || Wow! What an upgrade. It runs so quietly. Love the bottle jet feature and the 3rd tray.","[ Quiet, smooth Dishwasher ] || ---------------- || Wow! What an upgrade. It runs so quietly. Love the bottle jet feature and the 3rd tray.",Not verified,,5.0
23-05-03,78617943,dw,top_control,GE,PDT715SYVFS,PDT715SYVFS,,us,retail,geappliances,,Neutral,,,What an upgrade.,"[ Quiet, smooth Dishwasher ] || ---------------- || Wow! What an upgrade. It runs so quietly. Love the bottle jet feature and the 3rd tray.","[ Quiet, smooth Dishwasher ] || ---------------- || Wow! What an upgrade. It runs so quietly. Love the bottle jet feature and the 3rd tray.",Not verified,,5.0
23-05-03,78617943,dw,top_control,GE,PDT715SYVFS,PDT715SYVFS,,us,retail,geappliances,,Positive,use,Noise_Vibration,It runs so quietly.,"[ Quiet, smooth Dishwasher ] || ---------------- || Wow! What an upgrade. It runs so quietly. Love the bottle jet feature and the 3rd tray.","[ Quiet, smooth Dishwasher ] || ---------------- || Wow! What an upgrade. It runs so quietly. Love the bottle jet feature and the 3rd tray.",Not verified,,5.0
23-05-03,78617943,dw,top_control,GE,PDT715SYVFS,PDT715SYVFS,,us,retail,geappliances,,Positive,use,Easy_Use,Love the bottle jet feature and the 3rd tray.,"[ Quiet, smooth Dishwasher ] || ---------------- || Wow! What an upgrade. It runs so quietly. Love the bottle jet feature and the 3rd tray.","[ Quiet, smooth Dishwasher ] || ---------------- || Wow! What an upgrade. It runs so quietly. Love the bottle jet feature and the 3rd tray.",Not verified,,5.0
23-05-03,78617945,dw,top_control,GE,PDT715SYVFS,PDT715SYVFS,,us,retail,geappliances,,Positive,use,Easy_Use,I like the hight inside and the top pull out shelf,[ Inside is user friendly ] || ---------------- || I like the hight inside and the top pull out shelf,[ Inside is user friendly ] || ---------------- || I like the hight inside and the top pull out shelf,Not verified,,5.0
