Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-03-31,49963560,dw,front_control,BOSCH,4_series,SMS4HVB01A,ASIA,au,retail,binglee,,Very Positive,use,Noise_Vibration,amazing great dishwasher so quiet amazing quality,[ bosch series 4 ] || ---------------- || amazing great dishwasher so quiet amazing quality,[ bosch series 4 ] || ---------------- || amazing great dishwasher so quiet amazing quality,,,5.0
23-03-31,49963631,dw,front_control,KITCHENAID,KDFE104KBL,KDFE104KBL,,ci,retail,lowes_ca,,Neutral,"purchase,replace",Durability,I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working.,[ Good but not great ] || ---------------- || I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working. I wanted to get a similar model knowing that there would be changes. I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder. The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess. Also there is no longer a drop down on the top rack to put additional cups. Instead there is a drop down for four wine glasses to hold the stems. I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example. Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,[ Good but not great ] || ---------------- || [This review was collected as part of a promotion.] I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working.  I wanted to get a similar model knowing that there would be changes.  I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder.  The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess.  Also there is no longer a drop down on the top rack to put additional cups.  Instead there is a drop down for four wine glasses to hold the stems.  I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example.  Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,,,4.0
23-03-31,49963631,dw,front_control,KITCHENAID,KDFE104KBL,KDFE104KBL,,ci,retail,lowes_ca,,Neutral,decide,Easy_Use,I wanted to get a similar model knowing that there would be changes.,[ Good but not great ] || ---------------- || I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working. I wanted to get a similar model knowing that there would be changes. I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder. The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess. Also there is no longer a drop down on the top rack to put additional cups. Instead there is a drop down for four wine glasses to hold the stems. I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example. Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,[ Good but not great ] || ---------------- || [This review was collected as part of a promotion.] I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working.  I wanted to get a similar model knowing that there would be changes.  I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder.  The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess.  Also there is no longer a drop down on the top rack to put additional cups.  Instead there is a drop down for four wine glasses to hold the stems.  I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example.  Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,,,4.0
23-03-31,49963631,dw,front_control,KITCHENAID,KDFE104KBL,KDFE104KBL,,ci,retail,lowes_ca,,Negative,use,Easy_Use,I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder.,[ Good but not great ] || ---------------- || I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working. I wanted to get a similar model knowing that there would be changes. I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder. The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess. Also there is no longer a drop down on the top rack to put additional cups. Instead there is a drop down for four wine glasses to hold the stems. I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example. Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,[ Good but not great ] || ---------------- || [This review was collected as part of a promotion.] I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working.  I wanted to get a similar model knowing that there would be changes.  I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder.  The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess.  Also there is no longer a drop down on the top rack to put additional cups.  Instead there is a drop down for four wine glasses to hold the stems.  I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example.  Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,,,4.0
23-03-31,49963631,dw,front_control,KITCHENAID,KDFE104KBL,KDFE104KBL,,ci,retail,lowes_ca,,Negative,use,Easy_Use,The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess.,[ Good but not great ] || ---------------- || I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working. I wanted to get a similar model knowing that there would be changes. I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder. The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess. Also there is no longer a drop down on the top rack to put additional cups. Instead there is a drop down for four wine glasses to hold the stems. I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example. Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,[ Good but not great ] || ---------------- || [This review was collected as part of a promotion.] I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working.  I wanted to get a similar model knowing that there would be changes.  I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder.  The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess.  Also there is no longer a drop down on the top rack to put additional cups.  Instead there is a drop down for four wine glasses to hold the stems.  I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example.  Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,,,4.0
23-03-31,49963631,dw,front_control,KITCHENAID,KDFE104KBL,KDFE104KBL,,ci,retail,lowes_ca,,Neutral,use,Easy_Use,Also there is no longer a drop down on the top rack to put additional cups.,[ Good but not great ] || ---------------- || I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working. I wanted to get a similar model knowing that there would be changes. I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder. The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess. Also there is no longer a drop down on the top rack to put additional cups. Instead there is a drop down for four wine glasses to hold the stems. I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example. Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,[ Good but not great ] || ---------------- || [This review was collected as part of a promotion.] I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working.  I wanted to get a similar model knowing that there would be changes.  I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder.  The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess.  Also there is no longer a drop down on the top rack to put additional cups.  Instead there is a drop down for four wine glasses to hold the stems.  I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example.  Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,,,4.0
23-03-31,49963631,dw,front_control,KITCHENAID,KDFE104KBL,KDFE104KBL,,ci,retail,lowes_ca,,Neutral,use,Easy_Use,Instead there is a drop down for four wine glasses to hold the stems.,[ Good but not great ] || ---------------- || I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working. I wanted to get a similar model knowing that there would be changes. I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder. The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess. Also there is no longer a drop down on the top rack to put additional cups. Instead there is a drop down for four wine glasses to hold the stems. I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example. Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,[ Good but not great ] || ---------------- || [This review was collected as part of a promotion.] I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working.  I wanted to get a similar model knowing that there would be changes.  I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder.  The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess.  Also there is no longer a drop down on the top rack to put additional cups.  Instead there is a drop down for four wine glasses to hold the stems.  I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example.  Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,,,4.0
23-03-31,49963631,dw,front_control,KITCHENAID,KDFE104KBL,KDFE104KBL,,ci,retail,lowes_ca,,Neutral,,,I guess for people who drink wine every day.,[ Good but not great ] || ---------------- || I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working. I wanted to get a similar model knowing that there would be changes. I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder. The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess. Also there is no longer a drop down on the top rack to put additional cups. Instead there is a drop down for four wine glasses to hold the stems. I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example. Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,[ Good but not great ] || ---------------- || [This review was collected as part of a promotion.] I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working.  I wanted to get a similar model knowing that there would be changes.  I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder.  The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess.  Also there is no longer a drop down on the top rack to put additional cups.  Instead there is a drop down for four wine glasses to hold the stems.  I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example.  Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,,,4.0
23-03-31,49963631,dw,front_control,KITCHENAID,KDFE104KBL,KDFE104KBL,,ci,retail,lowes_ca,,Negative,use,Design,The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in.,[ Good but not great ] || ---------------- || I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working. I wanted to get a similar model knowing that there would be changes. I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder. The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess. Also there is no longer a drop down on the top rack to put additional cups. Instead there is a drop down for four wine glasses to hold the stems. I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example. Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,[ Good but not great ] || ---------------- || [This review was collected as part of a promotion.] I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working.  I wanted to get a similar model knowing that there would be changes.  I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder.  The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess.  Also there is no longer a drop down on the top rack to put additional cups.  Instead there is a drop down for four wine glasses to hold the stems.  I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example.  Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,,,4.0
23-03-31,49963631,dw,front_control,KITCHENAID,KDFE104KBL,KDFE104KBL,,ci,retail,lowes_ca,,Negative,use,Easy_Use,The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in.,[ Good but not great ] || ---------------- || I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working. I wanted to get a similar model knowing that there would be changes. I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder. The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess. Also there is no longer a drop down on the top rack to put additional cups. Instead there is a drop down for four wine glasses to hold the stems. I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example. Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,[ Good but not great ] || ---------------- || [This review was collected as part of a promotion.] I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working.  I wanted to get a similar model knowing that there would be changes.  I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder.  The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess.  Also there is no longer a drop down on the top rack to put additional cups.  Instead there is a drop down for four wine glasses to hold the stems.  I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example.  Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,,,4.0
23-03-31,49963631,dw,front_control,KITCHENAID,KDFE104KBL,KDFE104KBL,,ci,retail,lowes_ca,,Neutral,use,Design,Also there isn't a large open area to put larger items like a pizza cutter for example.,[ Good but not great ] || ---------------- || I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working. I wanted to get a similar model knowing that there would be changes. I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder. The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess. Also there is no longer a drop down on the top rack to put additional cups. Instead there is a drop down for four wine glasses to hold the stems. I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example. Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,[ Good but not great ] || ---------------- || [This review was collected as part of a promotion.] I recently purchased this dishwasher to replace a KitchenAid one that I have owned for more than 15 years that stopped working.  I wanted to get a similar model knowing that there would be changes.  I didn't mind the change in the controls but I am unhappy with the changes to the inside racks and utensil holder.  The inside top rack doesn't hold glasses and cups on enough of a slant to prevent water from staying on the cup or glass with the slightest recess.  Also there is no longer a drop down on the top rack to put additional cups.  Instead there is a drop down for four wine glasses to hold the stems.  I guess for people who drink wine every day. The utensil holder is heavier than my old one which hopefully will not crack BUT the holes for the utensils vary in size and I now have to look to see which slot I am putting silverware in. Also there isn't a large open area to put larger items like a pizza cutter for example.  Sometimes I think that designers change things for change sake and don't think about the actual use of the product they are redesigning.,,,4.0
