Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-03-25,49878101,dw,countertop,SAMSUNG,BESPOKE,DW30A3030CE,ASIA,kr,retail,naver_shop,,Positive,use,,It's so nice.,"[ I left it at my mother-in-law's house. I should have bought it a long time ago, too. ] || ---------------- || I left it at my parents' house. I should have bought it earlier. It's so nice. Delivery and installation were quick.",[ 친정부모님 집에 놔드렸어요 진작 사드릴걸 그랬어요 너무... ] || ---------------- || 친정부모님 집에 놔드렸어요 진작 사드릴걸 그랬어요 너무 좋네요  배송과 설치도 신속했습니다,,,5.0
23-03-25,49878101,dw,countertop,SAMSUNG,BESPOKE,DW30A3030CE,ASIA,kr,retail,naver_shop,,Positive,"deliver,onboard",Delivery_Installation,Delivery and installation were quick.,"[ I left it at my mother-in-law's house. I should have bought it a long time ago, too. ] || ---------------- || I left it at my parents' house. I should have bought it earlier. It's so nice. Delivery and installation were quick.",[ 친정부모님 집에 놔드렸어요 진작 사드릴걸 그랬어요 너무... ] || ---------------- || 친정부모님 집에 놔드렸어요 진작 사드릴걸 그랬어요 너무 좋네요  배송과 설치도 신속했습니다,,,5.0
23-03-25,49878784,dw,builtin,SAMSUNG,BESPOKE,DW60BB815UTES,ASIA,kr,retail,naver_shop,,Neutral,use,,This is a one-month use review.,"[ This is a month-long review. It's the first dishwasher I've used since I got married, so it's actually different. ] || ---------------- || This is a one-month use review. It's the first dishwasher I've used since I got married, so I couldn't actually compare it with other products. However, when I heard from people around me, I knew that it was for 14 people, so it took a lot of tableware. I don't use it, but I bought it as an option because it's better to have it than not have it. Sometimes the block detergent didn't melt and fell to the floor, but I'm wondering why. Compared to before installation, it went up. But for my work-life balance, I wonder if that's a problem with the electricity bill. Anyway, I'm still satisfied and using it, and the home appliances are definitely good",[ 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 ... ] || ---------------- || 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 제품과 비교는 할 수 없었습니다 그러나 주변 사람들의 얘기를 들었을 땐 14인용이어서 식기가 상대적으로 많이 들어가는 건 알겠더라구요 많이 들어간다고 세척성능이 떨어지는 것도 아닙니다 저희는 열풍건조를 굳이 사용하지 않지만 없는 것보단 있는 것이 낫다기에 옵션 추가로 구매했습니다 가끔 블럭세제가 다 녹지않아서 바닥에 떨어져있는 경우가 있던데 그건 왜 그런건지 궁금하네요 분명 세제뚜껑을 꼭 닫았는데도 말이죠 그 밖엔 한달지난 시점에 관리비에서 수도세를 비교하였을 때 크게 오르진 않았습니다 그러나 전기세는 식세기 설치전과 비교했을 때 올랐습니다 하지만 저의 워라밸을 위해서라면 그깟 전기세가 문제일까 싶습니다ㅎ 여튼 지금도 만족하고 사용하고 있으며 가전제품은 확실히 거거익선입니다,,,5.0
23-03-25,49878784,dw,builtin,SAMSUNG,BESPOKE,DW60BB815UTES,ASIA,kr,retail,naver_shop,,Neutral,use,,"It's the first dishwasher I've used since I got married, so I couldn't actually compare it with other products.","[ This is a month-long review. It's the first dishwasher I've used since I got married, so it's actually different. ] || ---------------- || This is a one-month use review. It's the first dishwasher I've used since I got married, so I couldn't actually compare it with other products. However, when I heard from people around me, I knew that it was for 14 people, so it took a lot of tableware. I don't use it, but I bought it as an option because it's better to have it than not have it. Sometimes the block detergent didn't melt and fell to the floor, but I'm wondering why. Compared to before installation, it went up. But for my work-life balance, I wonder if that's a problem with the electricity bill. Anyway, I'm still satisfied and using it, and the home appliances are definitely good",[ 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 ... ] || ---------------- || 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 제품과 비교는 할 수 없었습니다 그러나 주변 사람들의 얘기를 들었을 땐 14인용이어서 식기가 상대적으로 많이 들어가는 건 알겠더라구요 많이 들어간다고 세척성능이 떨어지는 것도 아닙니다 저희는 열풍건조를 굳이 사용하지 않지만 없는 것보단 있는 것이 낫다기에 옵션 추가로 구매했습니다 가끔 블럭세제가 다 녹지않아서 바닥에 떨어져있는 경우가 있던데 그건 왜 그런건지 궁금하네요 분명 세제뚜껑을 꼭 닫았는데도 말이죠 그 밖엔 한달지난 시점에 관리비에서 수도세를 비교하였을 때 크게 오르진 않았습니다 그러나 전기세는 식세기 설치전과 비교했을 때 올랐습니다 하지만 저의 워라밸을 위해서라면 그깟 전기세가 문제일까 싶습니다ㅎ 여튼 지금도 만족하고 사용하고 있으며 가전제품은 확실히 거거익선입니다,,,5.0
23-03-25,49878784,dw,builtin,SAMSUNG,BESPOKE,DW60BB815UTES,ASIA,kr,retail,naver_shop,,Neutral,,Design,"However, when I heard from people around me, I knew that it was for 14 people, so it took a lot of tableware.","[ This is a month-long review. It's the first dishwasher I've used since I got married, so it's actually different. ] || ---------------- || This is a one-month use review. It's the first dishwasher I've used since I got married, so I couldn't actually compare it with other products. However, when I heard from people around me, I knew that it was for 14 people, so it took a lot of tableware. I don't use it, but I bought it as an option because it's better to have it than not have it. Sometimes the block detergent didn't melt and fell to the floor, but I'm wondering why. Compared to before installation, it went up. But for my work-life balance, I wonder if that's a problem with the electricity bill. Anyway, I'm still satisfied and using it, and the home appliances are definitely good",[ 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 ... ] || ---------------- || 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 제품과 비교는 할 수 없었습니다 그러나 주변 사람들의 얘기를 들었을 땐 14인용이어서 식기가 상대적으로 많이 들어가는 건 알겠더라구요 많이 들어간다고 세척성능이 떨어지는 것도 아닙니다 저희는 열풍건조를 굳이 사용하지 않지만 없는 것보단 있는 것이 낫다기에 옵션 추가로 구매했습니다 가끔 블럭세제가 다 녹지않아서 바닥에 떨어져있는 경우가 있던데 그건 왜 그런건지 궁금하네요 분명 세제뚜껑을 꼭 닫았는데도 말이죠 그 밖엔 한달지난 시점에 관리비에서 수도세를 비교하였을 때 크게 오르진 않았습니다 그러나 전기세는 식세기 설치전과 비교했을 때 올랐습니다 하지만 저의 워라밸을 위해서라면 그깟 전기세가 문제일까 싶습니다ㅎ 여튼 지금도 만족하고 사용하고 있으며 가전제품은 확실히 거거익선입니다,,,5.0
23-03-25,49878784,dw,builtin,SAMSUNG,BESPOKE,DW60BB815UTES,ASIA,kr,retail,naver_shop,,Neutral,use,,"I don't use it, but I bought it as an option because it's better to have it than not have it.","[ This is a month-long review. It's the first dishwasher I've used since I got married, so it's actually different. ] || ---------------- || This is a one-month use review. It's the first dishwasher I've used since I got married, so I couldn't actually compare it with other products. However, when I heard from people around me, I knew that it was for 14 people, so it took a lot of tableware. I don't use it, but I bought it as an option because it's better to have it than not have it. Sometimes the block detergent didn't melt and fell to the floor, but I'm wondering why. Compared to before installation, it went up. But for my work-life balance, I wonder if that's a problem with the electricity bill. Anyway, I'm still satisfied and using it, and the home appliances are definitely good",[ 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 ... ] || ---------------- || 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 제품과 비교는 할 수 없었습니다 그러나 주변 사람들의 얘기를 들었을 땐 14인용이어서 식기가 상대적으로 많이 들어가는 건 알겠더라구요 많이 들어간다고 세척성능이 떨어지는 것도 아닙니다 저희는 열풍건조를 굳이 사용하지 않지만 없는 것보단 있는 것이 낫다기에 옵션 추가로 구매했습니다 가끔 블럭세제가 다 녹지않아서 바닥에 떨어져있는 경우가 있던데 그건 왜 그런건지 궁금하네요 분명 세제뚜껑을 꼭 닫았는데도 말이죠 그 밖엔 한달지난 시점에 관리비에서 수도세를 비교하였을 때 크게 오르진 않았습니다 그러나 전기세는 식세기 설치전과 비교했을 때 올랐습니다 하지만 저의 워라밸을 위해서라면 그깟 전기세가 문제일까 싶습니다ㅎ 여튼 지금도 만족하고 사용하고 있으며 가전제품은 확실히 거거익선입니다,,,5.0
23-03-25,49878784,dw,builtin,SAMSUNG,BESPOKE,DW60BB815UTES,ASIA,kr,retail,naver_shop,,Negative,,Durability,"Sometimes the block detergent didn't melt and fell to the floor, but I'm wondering why.","[ This is a month-long review. It's the first dishwasher I've used since I got married, so it's actually different. ] || ---------------- || This is a one-month use review. It's the first dishwasher I've used since I got married, so I couldn't actually compare it with other products. However, when I heard from people around me, I knew that it was for 14 people, so it took a lot of tableware. I don't use it, but I bought it as an option because it's better to have it than not have it. Sometimes the block detergent didn't melt and fell to the floor, but I'm wondering why. Compared to before installation, it went up. But for my work-life balance, I wonder if that's a problem with the electricity bill. Anyway, I'm still satisfied and using it, and the home appliances are definitely good",[ 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 ... ] || ---------------- || 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 제품과 비교는 할 수 없었습니다 그러나 주변 사람들의 얘기를 들었을 땐 14인용이어서 식기가 상대적으로 많이 들어가는 건 알겠더라구요 많이 들어간다고 세척성능이 떨어지는 것도 아닙니다 저희는 열풍건조를 굳이 사용하지 않지만 없는 것보단 있는 것이 낫다기에 옵션 추가로 구매했습니다 가끔 블럭세제가 다 녹지않아서 바닥에 떨어져있는 경우가 있던데 그건 왜 그런건지 궁금하네요 분명 세제뚜껑을 꼭 닫았는데도 말이죠 그 밖엔 한달지난 시점에 관리비에서 수도세를 비교하였을 때 크게 오르진 않았습니다 그러나 전기세는 식세기 설치전과 비교했을 때 올랐습니다 하지만 저의 워라밸을 위해서라면 그깟 전기세가 문제일까 싶습니다ㅎ 여튼 지금도 만족하고 사용하고 있으며 가전제품은 확실히 거거익선입니다,,,5.0
23-03-25,49878784,dw,builtin,SAMSUNG,BESPOKE,DW60BB815UTES,ASIA,kr,retail,naver_shop,,Neutral,onboard,Delivery_Installation,"Compared to before installation, it went up.","[ This is a month-long review. It's the first dishwasher I've used since I got married, so it's actually different. ] || ---------------- || This is a one-month use review. It's the first dishwasher I've used since I got married, so I couldn't actually compare it with other products. However, when I heard from people around me, I knew that it was for 14 people, so it took a lot of tableware. I don't use it, but I bought it as an option because it's better to have it than not have it. Sometimes the block detergent didn't melt and fell to the floor, but I'm wondering why. Compared to before installation, it went up. But for my work-life balance, I wonder if that's a problem with the electricity bill. Anyway, I'm still satisfied and using it, and the home appliances are definitely good",[ 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 ... ] || ---------------- || 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 제품과 비교는 할 수 없었습니다 그러나 주변 사람들의 얘기를 들었을 땐 14인용이어서 식기가 상대적으로 많이 들어가는 건 알겠더라구요 많이 들어간다고 세척성능이 떨어지는 것도 아닙니다 저희는 열풍건조를 굳이 사용하지 않지만 없는 것보단 있는 것이 낫다기에 옵션 추가로 구매했습니다 가끔 블럭세제가 다 녹지않아서 바닥에 떨어져있는 경우가 있던데 그건 왜 그런건지 궁금하네요 분명 세제뚜껑을 꼭 닫았는데도 말이죠 그 밖엔 한달지난 시점에 관리비에서 수도세를 비교하였을 때 크게 오르진 않았습니다 그러나 전기세는 식세기 설치전과 비교했을 때 올랐습니다 하지만 저의 워라밸을 위해서라면 그깟 전기세가 문제일까 싶습니다ㅎ 여튼 지금도 만족하고 사용하고 있으며 가전제품은 확실히 거거익선입니다,,,5.0
23-03-25,49878784,dw,builtin,SAMSUNG,BESPOKE,DW60BB815UTES,ASIA,kr,retail,naver_shop,,Neutral,,Product_Satisfaction,"But for my work-life balance, I wonder if that's a problem with the electricity bill.","[ This is a month-long review. It's the first dishwasher I've used since I got married, so it's actually different. ] || ---------------- || This is a one-month use review. It's the first dishwasher I've used since I got married, so I couldn't actually compare it with other products. However, when I heard from people around me, I knew that it was for 14 people, so it took a lot of tableware. I don't use it, but I bought it as an option because it's better to have it than not have it. Sometimes the block detergent didn't melt and fell to the floor, but I'm wondering why. Compared to before installation, it went up. But for my work-life balance, I wonder if that's a problem with the electricity bill. Anyway, I'm still satisfied and using it, and the home appliances are definitely good",[ 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 ... ] || ---------------- || 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 제품과 비교는 할 수 없었습니다 그러나 주변 사람들의 얘기를 들었을 땐 14인용이어서 식기가 상대적으로 많이 들어가는 건 알겠더라구요 많이 들어간다고 세척성능이 떨어지는 것도 아닙니다 저희는 열풍건조를 굳이 사용하지 않지만 없는 것보단 있는 것이 낫다기에 옵션 추가로 구매했습니다 가끔 블럭세제가 다 녹지않아서 바닥에 떨어져있는 경우가 있던데 그건 왜 그런건지 궁금하네요 분명 세제뚜껑을 꼭 닫았는데도 말이죠 그 밖엔 한달지난 시점에 관리비에서 수도세를 비교하였을 때 크게 오르진 않았습니다 그러나 전기세는 식세기 설치전과 비교했을 때 올랐습니다 하지만 저의 워라밸을 위해서라면 그깟 전기세가 문제일까 싶습니다ㅎ 여튼 지금도 만족하고 사용하고 있으며 가전제품은 확실히 거거익선입니다,,,5.0
23-03-25,49878784,dw,builtin,SAMSUNG,BESPOKE,DW60BB815UTES,ASIA,kr,retail,naver_shop,,Positive,use,,"Anyway, I'm still satisfied and using it, and the home appliances are definitely good","[ This is a month-long review. It's the first dishwasher I've used since I got married, so it's actually different. ] || ---------------- || This is a one-month use review. It's the first dishwasher I've used since I got married, so I couldn't actually compare it with other products. However, when I heard from people around me, I knew that it was for 14 people, so it took a lot of tableware. I don't use it, but I bought it as an option because it's better to have it than not have it. Sometimes the block detergent didn't melt and fell to the floor, but I'm wondering why. Compared to before installation, it went up. But for my work-life balance, I wonder if that's a problem with the electricity bill. Anyway, I'm still satisfied and using it, and the home appliances are definitely good",[ 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 ... ] || ---------------- || 한달사용후기입니다 결혼하고 처음 써 본 식세기여서 사실 다른 제품과 비교는 할 수 없었습니다 그러나 주변 사람들의 얘기를 들었을 땐 14인용이어서 식기가 상대적으로 많이 들어가는 건 알겠더라구요 많이 들어간다고 세척성능이 떨어지는 것도 아닙니다 저희는 열풍건조를 굳이 사용하지 않지만 없는 것보단 있는 것이 낫다기에 옵션 추가로 구매했습니다 가끔 블럭세제가 다 녹지않아서 바닥에 떨어져있는 경우가 있던데 그건 왜 그런건지 궁금하네요 분명 세제뚜껑을 꼭 닫았는데도 말이죠 그 밖엔 한달지난 시점에 관리비에서 수도세를 비교하였을 때 크게 오르진 않았습니다 그러나 전기세는 식세기 설치전과 비교했을 때 올랐습니다 하지만 저의 워라밸을 위해서라면 그깟 전기세가 문제일까 싶습니다ㅎ 여튼 지금도 만족하고 사용하고 있으며 가전제품은 확실히 거거익선입니다,,,5.0
23-03-25,49880118,dw,top_control,KITCHENAID,KDPM604KBS,KDPM604KBS,,ci,retail,lowes_ca,,Neutral,,,Our (21 year) old KitchenAid Architect Series I finally needed retiring.,"[ GREAT Dishwasher! ] || ---------------- || Our (21 year) old KitchenAid Architect Series I finally needed retiring. As the current towel-bar handle look wasn't our first choice, we went with this recessed look instead. With controls on the top of the door and cycle operating indicators illuminated in the black front panel, the finished look matched our KitchenAid ovens. Runs great and looks great!","[ GREAT Dishwasher! ] || ---------------- || [This review was collected as part of a promotion.] Our (21 year) old KitchenAid Architect Series I finally needed retiring.  As the current towel-bar handle look wasn't our first choice, we went with this recessed look instead.  With controls on the top of the door and cycle operating indicators illuminated in the black front panel, the finished look matched our KitchenAid ovens.  Runs great and looks great!",,,5.0
