Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-03-13,49492288,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Neutral,maintain,Service,Repair scheduled for 3-14-23.,"[ Installed February 8, 23 on-line registration 2-23 ] || ---------------- || Broke down 2-26-23. Repair scheduled for 3-14-23. Not pleased with length of cycles. Happier with function of previous dishwasher when working.","[ Installed February 8, 23 on-line registration 2-23 ] || ---------------- || Broke down 2-26-23. Repair scheduled for 3-14-23. Not pleased with length of cycles.  Happier with function of previous dishwasher when working.",,,3.0
23-03-13,49492288,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Negative,use,Easy_Use,Not pleased with length of cycles.,"[ Installed February 8, 23 on-line registration 2-23 ] || ---------------- || Broke down 2-26-23. Repair scheduled for 3-14-23. Not pleased with length of cycles. Happier with function of previous dishwasher when working.","[ Installed February 8, 23 on-line registration 2-23 ] || ---------------- || Broke down 2-26-23. Repair scheduled for 3-14-23. Not pleased with length of cycles.  Happier with function of previous dishwasher when working.",,,3.0
23-03-13,49492288,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,use,,Happier with function of previous dishwasher when working.,"[ Installed February 8, 23 on-line registration 2-23 ] || ---------------- || Broke down 2-26-23. Repair scheduled for 3-14-23. Not pleased with length of cycles. Happier with function of previous dishwasher when working.","[ Installed February 8, 23 on-line registration 2-23 ] || ---------------- || Broke down 2-26-23. Repair scheduled for 3-14-23. Not pleased with length of cycles.  Happier with function of previous dishwasher when working.",,,3.0
23-03-13,49492287,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Negative,use,,I am somewhat disappointed in the dishwasher.,"[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.","[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.",,,3.0
23-03-13,49492287,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Negative,use,Performance_Drying,"After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware.","[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.","[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.",,,3.0
23-03-13,49492287,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Neutral,use,Performance_Drying,I have to manually dry the silverware before putting them away.,"[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.","[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.",,,3.0
23-03-13,49492287,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Negative,use,Performance_Drying,Even the dishes are a little wet when I remove them.,"[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.","[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.",,,3.0
23-03-13,49492287,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Negative,maintain,Service,I have checked with customer support and I am doing everything they suggest but I still have the problem.,"[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.","[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.",,,3.0
23-03-13,49492287,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,use,Durability,I have owned GE dishwashers in the past and never had this problem.,"[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.","[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.",,,3.0
23-03-13,49492287,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,use,Service,I have owned GE dishwashers in the past and never had this problem.,"[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.","[ Somewhat disappointed ] || ---------------- || I am somewhat disappointed in the dishwasher. After going through the wash/dry cycle, when I go to remove the dishes and various cups, everything is still a little wet, especially the silverware. I have to manually dry the silverware before putting them away. Even the dishes are a little wet when I remove them. I have checked with customer support and I am doing everything they suggest but I still have the problem. I have owned GE dishwashers in the past and never had this problem.",,,3.0
23-03-13,49492301,dw,top_control,GE,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,GDT645SGNBB_GDT645SGNWW_GDT645SMNES_GDT645SSNSS,,us,retail,geappliances,,Positive,,Design,The unit was priced right and had the qualities we wanted and appearance we were looking for.,[ The unit is very quiet and efficient. ] || ---------------- || The unit was priced right and had the qualities we wanted and appearance we were looking for.,[ The unit is very quiet and efficient. ] || ---------------- || The unit was priced right and had the qualities we wanted and appearance we were looking for.,,,5.0
