Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-03-09,76577060,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Very Positive,use,Easy_Use,Amazing to find something that does what it is supposed to these days.,"[ Great and actually cleans! ] || ---------------- || This dishwasher is quiet, cleans and actually dries dishes. Amazing to find something that does what it is supposed to these days.","[ Great and actually cleans! ] || ---------------- || [This review was collected as part of a promotion.] This dishwasher is quiet, cleans and actually dries dishes. Amazing to find something that does what it is supposed to these days.",Not verified,Originally posted on maytag.com,5.0
23-03-09,76577058,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,,Pleased to see a well-built dishwasher.,"[ Well-built and very silent ] || ---------------- || Pleased to see a well-built dishwasher. Which is also very silent. Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry. Cannot speak for long term reliability since is new, but it seems solidly built and we hope for the best.","[ Well-built and very silent ] || ---------------- || [This review was collected as part of a promotion.] Pleased to see a well-built dishwasher. Which is also very silent. Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry. Cannot speak for long term reliability since is new, but it seems solidly built and we hope for the best.",Not verified,Originally posted on maytag.com,5.0
23-03-09,76577058,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Noise_Vibration,Which is also very silent.,"[ Well-built and very silent ] || ---------------- || Pleased to see a well-built dishwasher. Which is also very silent. Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry. Cannot speak for long term reliability since is new, but it seems solidly built and we hope for the best.","[ Well-built and very silent ] || ---------------- || [This review was collected as part of a promotion.] Pleased to see a well-built dishwasher. Which is also very silent. Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry. Cannot speak for long term reliability since is new, but it seems solidly built and we hope for the best.",Not verified,Originally posted on maytag.com,5.0
23-03-09,76577058,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Performance_Drying,"Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry.","[ Well-built and very silent ] || ---------------- || Pleased to see a well-built dishwasher. Which is also very silent. Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry. Cannot speak for long term reliability since is new, but it seems solidly built and we hope for the best.","[ Well-built and very silent ] || ---------------- || [This review was collected as part of a promotion.] Pleased to see a well-built dishwasher. Which is also very silent. Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry. Cannot speak for long term reliability since is new, but it seems solidly built and we hope for the best.",Not verified,Originally posted on maytag.com,5.0
23-03-09,76577058,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Performance_Washing,"Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry.","[ Well-built and very silent ] || ---------------- || Pleased to see a well-built dishwasher. Which is also very silent. Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry. Cannot speak for long term reliability since is new, but it seems solidly built and we hope for the best.","[ Well-built and very silent ] || ---------------- || [This review was collected as part of a promotion.] Pleased to see a well-built dishwasher. Which is also very silent. Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry. Cannot speak for long term reliability since is new, but it seems solidly built and we hope for the best.",Not verified,Originally posted on maytag.com,5.0
23-03-09,76577058,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Durability,"Cannot speak for long term reliability since is new, but it seems solidly built and we hope for the best.","[ Well-built and very silent ] || ---------------- || Pleased to see a well-built dishwasher. Which is also very silent. Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry. Cannot speak for long term reliability since is new, but it seems solidly built and we hope for the best.","[ Well-built and very silent ] || ---------------- || [This review was collected as part of a promotion.] Pleased to see a well-built dishwasher. Which is also very silent. Drying cycle booster is also a very good feature, leaving dishes and glassware clean and dry. Cannot speak for long term reliability since is new, but it seems solidly built and we hope for the best.",Not verified,Originally posted on maytag.com,5.0
23-03-09,76577059,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Neutral,purchase,,I bought this about a month ago.,[ really quiet ] || ---------------- || I bought this about a month ago. Really full featured for the price. Good looking product inside and out. Much quieter than my last unit and quieter than I expected.,[ really quiet ] || ---------------- || [This review was collected as part of a promotion.] I bought this about a month ago. Really full featured for the price.  Good looking product inside and out.  Much quieter than my last unit and quieter than I expected.,Not verified,Originally posted on maytag.com,5.0
23-03-09,76577059,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,"purchase,use",Price,Really full featured for the price.,[ really quiet ] || ---------------- || I bought this about a month ago. Really full featured for the price. Good looking product inside and out. Much quieter than my last unit and quieter than I expected.,[ really quiet ] || ---------------- || [This review was collected as part of a promotion.] I bought this about a month ago. Really full featured for the price.  Good looking product inside and out.  Much quieter than my last unit and quieter than I expected.,Not verified,Originally posted on maytag.com,5.0
23-03-09,76577059,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Design,Good looking product inside and out.,[ really quiet ] || ---------------- || I bought this about a month ago. Really full featured for the price. Good looking product inside and out. Much quieter than my last unit and quieter than I expected.,[ really quiet ] || ---------------- || [This review was collected as part of a promotion.] I bought this about a month ago. Really full featured for the price.  Good looking product inside and out.  Much quieter than my last unit and quieter than I expected.,Not verified,Originally posted on maytag.com,5.0
23-03-09,76577059,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Noise_Vibration,Much quieter than my last unit and quieter than I expected.,[ really quiet ] || ---------------- || I bought this about a month ago. Really full featured for the price. Good looking product inside and out. Much quieter than my last unit and quieter than I expected.,[ really quiet ] || ---------------- || [This review was collected as part of a promotion.] I bought this about a month ago. Really full featured for the price.  Good looking product inside and out.  Much quieter than my last unit and quieter than I expected.,Not verified,Originally posted on maytag.com,5.0
23-03-09,76577056,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Neutral,,Durability,Had this for about a week.,[ Beutiful and Quiet ] || ---------------- || Had this for about a week. I love it. Nice and quiet while running and looks great. I also love that it does NOT play a song when it is done.,[ Beutiful and Quiet ] || ---------------- || [This review was collected as part of a promotion.] Had this for about a week. I love it. Nice and quiet while running and looks great. I also love that it does NOT play a song when it is done.,Not verified,Originally posted on maytag.com,5.0
23-03-09,76577056,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,,I love it.,[ Beutiful and Quiet ] || ---------------- || Had this for about a week. I love it. Nice and quiet while running and looks great. I also love that it does NOT play a song when it is done.,[ Beutiful and Quiet ] || ---------------- || [This review was collected as part of a promotion.] Had this for about a week. I love it. Nice and quiet while running and looks great. I also love that it does NOT play a song when it is done.,Not verified,Originally posted on maytag.com,5.0
23-03-09,76577056,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Design,Nice and quiet while running and looks great.,[ Beutiful and Quiet ] || ---------------- || Had this for about a week. I love it. Nice and quiet while running and looks great. I also love that it does NOT play a song when it is done.,[ Beutiful and Quiet ] || ---------------- || [This review was collected as part of a promotion.] Had this for about a week. I love it. Nice and quiet while running and looks great. I also love that it does NOT play a song when it is done.,Not verified,Originally posted on maytag.com,5.0
23-03-09,76577056,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Noise_Vibration,Nice and quiet while running and looks great.,[ Beutiful and Quiet ] || ---------------- || Had this for about a week. I love it. Nice and quiet while running and looks great. I also love that it does NOT play a song when it is done.,[ Beutiful and Quiet ] || ---------------- || [This review was collected as part of a promotion.] Had this for about a week. I love it. Nice and quiet while running and looks great. I also love that it does NOT play a song when it is done.,Not verified,Originally posted on maytag.com,5.0
23-03-09,76577056,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,,I also love that it does NOT play a song when it is done.,[ Beutiful and Quiet ] || ---------------- || Had this for about a week. I love it. Nice and quiet while running and looks great. I also love that it does NOT play a song when it is done.,[ Beutiful and Quiet ] || ---------------- || [This review was collected as part of a promotion.] Had this for about a week. I love it. Nice and quiet while running and looks great. I also love that it does NOT play a song when it is done.,Not verified,Originally posted on maytag.com,5.0
23-03-09,76577048,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,,I've only had this dishwasher a couple of weeks now but so far I'm impressed.,"[ Does a great job ] || ---------------- || I've only had this dishwasher a couple of weeks now but so far I'm impressed. It's such an improvement over our old kenmore. Dishes come out clean without pre rinsing. It's a pretty basic model and doesn't have a lot of adjustment that can be made in the racks that hold the dishes. But unlike some of those machines that I have had in the past that have more advertised bells and whistles, this dishwasher actually cleans my dishes. Very happy with this purchase.","[ Does a great job ] || ---------------- || I’ve only had this dishwasher a couple of weeks now but so far I’m impressed. It’s such an improvement over our old kenmore. Dishes come out clean without pre rinsing. It’s a pretty basic model and doesn’t have a lot of adjustment that can be made in the racks that hold the dishes.  But unlike some of those machines that I have had in the past that have more advertised bells and whistles, this dishwasher actually cleans my dishes. Very happy with this purchase.",Verified,,5.0
23-03-09,76577048,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,,It's such an improvement over our old kenmore.,"[ Does a great job ] || ---------------- || I've only had this dishwasher a couple of weeks now but so far I'm impressed. It's such an improvement over our old kenmore. Dishes come out clean without pre rinsing. It's a pretty basic model and doesn't have a lot of adjustment that can be made in the racks that hold the dishes. But unlike some of those machines that I have had in the past that have more advertised bells and whistles, this dishwasher actually cleans my dishes. Very happy with this purchase.","[ Does a great job ] || ---------------- || I’ve only had this dishwasher a couple of weeks now but so far I’m impressed. It’s such an improvement over our old kenmore. Dishes come out clean without pre rinsing. It’s a pretty basic model and doesn’t have a lot of adjustment that can be made in the racks that hold the dishes.  But unlike some of those machines that I have had in the past that have more advertised bells and whistles, this dishwasher actually cleans my dishes. Very happy with this purchase.",Verified,,5.0
23-03-09,76577048,dw,front_control,MAYTAG,MDB4949SKB_MDB4949SKW_MDB4949SKZ,MDB4949SKB_MDB4949SKW_MDB4949SKZ,,us,retail,lowes,,Positive,use,Performance_Washing,Dishes come out clean without pre rinsing.,"[ Does a great job ] || ---------------- || I've only had this dishwasher a couple of weeks now but so far I'm impressed. It's such an improvement over our old kenmore. Dishes come out clean without pre rinsing. It's a pretty basic model and doesn't have a lot of adjustment that can be made in the racks that hold the dishes. But unlike some of those machines that I have had in the past that have more advertised bells and whistles, this dishwasher actually cleans my dishes. Very happy with this purchase.","[ Does a great job ] || ---------------- || I’ve only had this dishwasher a couple of weeks now but so far I’m impressed. It’s such an improvement over our old kenmore. Dishes come out clean without pre rinsing. It’s a pretty basic model and doesn’t have a lot of adjustment that can be made in the racks that hold the dishes.  But unlike some of those machines that I have had in the past that have more advertised bells and whistles, this dishwasher actually cleans my dishes. Very happy with this purchase.",Verified,,5.0
