Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-03-03,49335656,dw,top_control,WHIRLPOOL,WDTA50SAKZ,WDTA50SAKZ,,us,retail,homedepot,,Negative,maintain,Service,warranty expired at 1 year.,"[ Broke after 18 months of light use ] || ---------------- || I bought this dishwasher in Aug of 2021. In Feb 2023 it stopped working completely. A dishwasher at this price only lasted 18 months, which is ridiculous. As other commenters have stated, it's an issue with the control panel board. Warranty expired at 1 year. Replacement part is $225 and another $100-$150 for labor. Might as well buy another dishwasher that will last for more than 18 months. Do not recommend.","[ Broke after 18 months of light use ] || ---------------- || I bought this dishwasher in Aug of 2021. In Feb 2023 it stopped working completely. A dishwasher at this price only lasted 18 months, which is ridiculous. As other commenters have stated, it’s an issue with the control panel board. Warranty expired at 1 year. Replacement part is $225 and another $100-$150 for labor. Might as well buy another dishwasher that will last for more than 18 months. Do not recommend.",,,1.0
23-03-03,49335656,dw,top_control,WHIRLPOOL,WDTA50SAKZ,WDTA50SAKZ,,us,retail,homedepot,,Neutral,maintain,Service,Replacement part is $225 and another $100-$150 for labor.,"[ Broke after 18 months of light use ] || ---------------- || I bought this dishwasher in Aug of 2021. In Feb 2023 it stopped working completely. A dishwasher at this price only lasted 18 months, which is ridiculous. As other commenters have stated, it's an issue with the control panel board. Warranty expired at 1 year. Replacement part is $225 and another $100-$150 for labor. Might as well buy another dishwasher that will last for more than 18 months. Do not recommend.","[ Broke after 18 months of light use ] || ---------------- || I bought this dishwasher in Aug of 2021. In Feb 2023 it stopped working completely. A dishwasher at this price only lasted 18 months, which is ridiculous. As other commenters have stated, it’s an issue with the control panel board. Warranty expired at 1 year. Replacement part is $225 and another $100-$150 for labor. Might as well buy another dishwasher that will last for more than 18 months. Do not recommend.",,,1.0
23-03-03,49335656,dw,top_control,WHIRLPOOL,WDTA50SAKZ,WDTA50SAKZ,,us,retail,homedepot,,Neutral,replace,Durability,Might as well buy another dishwasher that will last for more than 18 months.,"[ Broke after 18 months of light use ] || ---------------- || I bought this dishwasher in Aug of 2021. In Feb 2023 it stopped working completely. A dishwasher at this price only lasted 18 months, which is ridiculous. As other commenters have stated, it's an issue with the control panel board. Warranty expired at 1 year. Replacement part is $225 and another $100-$150 for labor. Might as well buy another dishwasher that will last for more than 18 months. Do not recommend.","[ Broke after 18 months of light use ] || ---------------- || I bought this dishwasher in Aug of 2021. In Feb 2023 it stopped working completely. A dishwasher at this price only lasted 18 months, which is ridiculous. As other commenters have stated, it’s an issue with the control panel board. Warranty expired at 1 year. Replacement part is $225 and another $100-$150 for labor. Might as well buy another dishwasher that will last for more than 18 months. Do not recommend.",,,1.0
23-03-03,49335656,dw,top_control,WHIRLPOOL,WDTA50SAKZ,WDTA50SAKZ,,us,retail,homedepot,,Very Negative,use,,Do not recommend.,"[ Broke after 18 months of light use ] || ---------------- || I bought this dishwasher in Aug of 2021. In Feb 2023 it stopped working completely. A dishwasher at this price only lasted 18 months, which is ridiculous. As other commenters have stated, it's an issue with the control panel board. Warranty expired at 1 year. Replacement part is $225 and another $100-$150 for labor. Might as well buy another dishwasher that will last for more than 18 months. Do not recommend.","[ Broke after 18 months of light use ] || ---------------- || I bought this dishwasher in Aug of 2021. In Feb 2023 it stopped working completely. A dishwasher at this price only lasted 18 months, which is ridiculous. As other commenters have stated, it’s an issue with the control panel board. Warranty expired at 1 year. Replacement part is $225 and another $100-$150 for labor. Might as well buy another dishwasher that will last for more than 18 months. Do not recommend.",,,1.0
23-03-03,49335846,dw,front_control,GE,GDF535PSRSS,GDF535PSRSS,,us,retail,costco,,Very Negative,use,,If I could give this negative stars I would!,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn't do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I'd be better off buying a new one. They could possibly fix the old one with the melted out bottom I don't see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don't be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else! ,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn’t do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I’d be better off buying a new one. They could possibly fix the old one with the melted out bottom I don’t see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don’t be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else!!,,,1.0
23-03-03,49335846,dw,front_control,GE,GDF535PSRSS,GDF535PSRSS,,us,retail,costco,,Negative,use,Durability,To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage.,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn't do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I'd be better off buying a new one. They could possibly fix the old one with the melted out bottom I don't see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don't be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else! ,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn’t do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I’d be better off buying a new one. They could possibly fix the old one with the melted out bottom I don’t see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don’t be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else!!,,,1.0
23-03-03,49335846,dw,front_control,GE,GDF535PSRSS,GDF535PSRSS,,us,retail,costco,,Negative,,,After inspection realized the dishwasher was the culprit.,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn't do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I'd be better off buying a new one. They could possibly fix the old one with the melted out bottom I don't see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don't be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else! ,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn’t do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I’d be better off buying a new one. They could possibly fix the old one with the melted out bottom I don’t see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don’t be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else!!,,,1.0
23-03-03,49335846,dw,front_control,GE,GDF535PSRSS,GDF535PSRSS,,us,retail,costco,,Negative,use,Durability,The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring.,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn't do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I'd be better off buying a new one. They could possibly fix the old one with the melted out bottom I don't see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don't be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else! ,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn’t do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I’d be better off buying a new one. They could possibly fix the old one with the melted out bottom I don’t see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don’t be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else!!,,,1.0
23-03-03,49335846,dw,front_control,GE,GDF535PSRSS,GDF535PSRSS,,us,retail,costco,,Negative,,Service,After a call to Costco to say I was disappointed doesn't do it justice!,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn't do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I'd be better off buying a new one. They could possibly fix the old one with the melted out bottom I don't see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don't be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else! ,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn’t do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I’d be better off buying a new one. They could possibly fix the old one with the melted out bottom I don’t see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don’t be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else!!,,,1.0
23-03-03,49335846,dw,front_control,GE,GDF535PSRSS,GDF535PSRSS,,us,retail,costco,,Neutral,,Service,I was a huge Costco supporter mainly due to the fact they stand behind their products.,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn't do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I'd be better off buying a new one. They could possibly fix the old one with the melted out bottom I don't see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don't be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else! ,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn’t do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I’d be better off buying a new one. They could possibly fix the old one with the melted out bottom I don’t see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don’t be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else!!,,,1.0
23-03-03,49335846,dw,front_control,GE,GDF535PSRSS,GDF535PSRSS,,us,retail,costco,,Neutral,,Service,The two year warranty on major appliances is why I purchased my dishwasher through Costco.,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn't do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I'd be better off buying a new one. They could possibly fix the old one with the melted out bottom I don't see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don't be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else! ,[ Buyer beware Costco additional year warranty ] || ---------------- || If I could give this negative stars I would! To say this is a poor dishwasher is an understatement in a year and 4 months after purchase we had water coming up from flooring planks which caused flooring damage. After inspection realized the dishwasher was the culprit. The heating element was resting on the bottom pan of the dishwasher and melted through so each time dishwasher was run water was leaking underneath flooring. After a call to Costco to say I was disappointed doesn’t do it justice! I was a huge Costco supporter mainly due to the fact they stand behind their products. The two year warranty on major appliances is why I purchased my dishwasher through Costco. I called only to be told they turn this over to GE who told me I’d be better off buying a new one. They could possibly fix the old one with the melted out bottom I don’t see how. They said it could take up to 6 months to have someone out and then ordering parts could take additional months. So needless to say I am on my own here. My warning to buyers is don’t be naive like me Costco will not help you should you purchase a defective product in that 2 year window even thought their policy says they will. Buy somewhere else!!,,,1.0
