Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-02-15,49010842,dw,top_control,SAMSUNG,DW80B6060UG_AC_DW80B6060US_AC,DW80B6060UG_AC_DW80B6060US_AC,,ci,retail,samsung_com_ca,,Positive,use,Easy_Use,I had a Bosch and this is even quieter the adjustable center rack and storm wash are excellent.,[ Quiet with great features ] || ---------------- || Best dishwasher I have ever bought. I had a Bosch and this is even quieter the adjustable center rack and storm wash are excellent. I would definitely recommend! ,[ Quiet with great features ] || ---------------- || [This review was collected as part of a promotion.] Best dishwasher I have ever bought. I had a Bosch and this is even quieter the adjustable center rack and storm wash are excellent. I would definitely recommend!!,,,5.0
23-02-15,49010842,dw,top_control,SAMSUNG,DW80B6060UG_AC_DW80B6060US_AC,DW80B6060UG_AC_DW80B6060US_AC,,ci,retail,samsung_com_ca,,Positive,use,Noise_Vibration,I had a Bosch and this is even quieter the adjustable center rack and storm wash are excellent.,[ Quiet with great features ] || ---------------- || Best dishwasher I have ever bought. I had a Bosch and this is even quieter the adjustable center rack and storm wash are excellent. I would definitely recommend! ,[ Quiet with great features ] || ---------------- || [This review was collected as part of a promotion.] Best dishwasher I have ever bought. I had a Bosch and this is even quieter the adjustable center rack and storm wash are excellent. I would definitely recommend!!,,,5.0
23-02-15,49010842,dw,top_control,SAMSUNG,DW80B6060UG_AC_DW80B6060US_AC,DW80B6060UG_AC_DW80B6060US_AC,,ci,retail,samsung_com_ca,,Very Positive,use,,I would definitely recommend!,[ Quiet with great features ] || ---------------- || Best dishwasher I have ever bought. I had a Bosch and this is even quieter the adjustable center rack and storm wash are excellent. I would definitely recommend! ,[ Quiet with great features ] || ---------------- || [This review was collected as part of a promotion.] Best dishwasher I have ever bought. I had a Bosch and this is even quieter the adjustable center rack and storm wash are excellent. I would definitely recommend!!,,,5.0
23-02-15,49011112,dw,top_control,WHIRLPOOL,WDP540HAMB,WDP540HAMB,,us,retail,homedepot,,Positive,use,Design,Washes well… quiet and looks wonderful,[ Washes well… quiet and looks wonderful.  ] || ---------------- || Washes well… quiet and looks wonderful,[ Washes well… quiet and looks wonderful... ] || ---------------- || Washes well… quiet and looks wonderful,,,5.0
23-02-15,49011112,dw,top_control,WHIRLPOOL,WDP540HAMB,WDP540HAMB,,us,retail,homedepot,,Positive,use,Noise_Vibration,Washes well… quiet and looks wonderful,[ Washes well… quiet and looks wonderful.  ] || ---------------- || Washes well… quiet and looks wonderful,[ Washes well… quiet and looks wonderful... ] || ---------------- || Washes well… quiet and looks wonderful,,,5.0
23-02-15,49011112,dw,top_control,WHIRLPOOL,WDP540HAMB,WDP540HAMB,,us,retail,homedepot,,Positive,use,Performance_Washing,Washes well… quiet and looks wonderful,[ Washes well… quiet and looks wonderful.  ] || ---------------- || Washes well… quiet and looks wonderful,[ Washes well… quiet and looks wonderful... ] || ---------------- || Washes well… quiet and looks wonderful,,,5.0
23-02-15,49010052,dw,countertop,LG,Objet_collection,DTC2NE,ASIA,kr,retail,naver_shop,,Positive,use,Noise_Vibration,"There is noise, but we use it well","[ product review ] || ---------------- || There is noise, but we use it well",[ 상품평 ] || ---------------- || 소음이 있지만잘 사용하고 있습니다,,,4.0
23-02-15,49010054,dw,countertop,LG,Objet_collection,DTC2NE,ASIA,kr,retail,naver_shop,,Positive,"aware,use",,My friend says it works well,[ My friend says it works well ] || ---------------- || My friend says it works well,[ 친구가 잘 사용 중이라고 해요 ] || ---------------- || 친구가 잘 사용 중이라고 해요,,,5.0
23-02-15,49010056,dw,countertop,LG,Objet_collection,DTC2NE,ASIA,kr,retail,naver_shop,,Positive,"deliver,onboard",Delivery_Installation,Fast delivery and friendly installer.,[ Fast delivery and friendly installer. ] || ---------------- || Fast delivery and friendly installer.,[ 배송 빠르고 설치 기사 친절합니다. ] || ---------------- || 배송 빠르고 설치 기사 친절합니다.,,,5.0
23-02-15,49010060,dw,countertop,LG,Objet_collection,DTC2NE,ASIA,kr,retail,naver_shop,,Positive,use,Design,"The design is also neat and the size is small, so I like it because it is highly usable.","[ The design is neat and the size is small, so it is easy to use. ] || ---------------- || The design is also neat and the size is small, so I like it because it is highly usable. It was burdensome for 12 people, but I am satisfied.",[ 디자인도 깔끔 사이즈가 작으니 활용도가 높아서 좋아요 ] || ---------------- || 디자인도 깔끔 사이즈가 작으니 활용도가 높아서 좋아요 12인용은 부담스러웠는데 만족합니다,,,5.0
23-02-15,49010060,dw,countertop,LG,Objet_collection,DTC2NE,ASIA,kr,retail,naver_shop,,Positive,,Easy_Use,"It was burdensome for 12 people, but I am satisfied.","[ The design is neat and the size is small, so it is easy to use. ] || ---------------- || The design is also neat and the size is small, so I like it because it is highly usable. It was burdensome for 12 people, but I am satisfied.",[ 디자인도 깔끔 사이즈가 작으니 활용도가 높아서 좋아요 ] || ---------------- || 디자인도 깔끔 사이즈가 작으니 활용도가 높아서 좋아요 12인용은 부담스러웠는데 만족합니다,,,5.0
