Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
23-01-09,48019661,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Easy_Use,This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else.,"I bought my Kitchenaid Dishwasher in March, 2022. I am so pleased with it. Our last dishwasher was so loud so I looked for the quietest one there was. Not surprised that it was made by Kitchenaid. I have a few of their small appliances and love each one. This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else. It also has one big silverware basket that you can just dump out on your counter. I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack. But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking. I swear by Kitchenaid and only wish that I could have afforded their refrigerator. But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well. They are all built to last.","[ QUIET DishWasher ] || ---------------- || I bought my Kitchenaid Dishwasher in March, 2022.  I am so pleased with it.  Our last dishwasher was so loud so I looked for the quietest one there was.  Not surprised that it was made by Kitchenaid.  I have a few of their small appliances and love each one.  This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else.  It also has one big silverware basket that you can just dump out on your counter.  I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack.  But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking.  I swear by Kitchenaid and only wish that I could have afforded their refrigerator.  But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well.  They are all built to last.",,,5.0
23-01-09,48019661,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Neutral,use,Easy_Use,It also has one big silverware basket that you can just dump out on your counter.,"I bought my Kitchenaid Dishwasher in March, 2022. I am so pleased with it. Our last dishwasher was so loud so I looked for the quietest one there was. Not surprised that it was made by Kitchenaid. I have a few of their small appliances and love each one. This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else. It also has one big silverware basket that you can just dump out on your counter. I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack. But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking. I swear by Kitchenaid and only wish that I could have afforded their refrigerator. But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well. They are all built to last.","[ QUIET DishWasher ] || ---------------- || I bought my Kitchenaid Dishwasher in March, 2022.  I am so pleased with it.  Our last dishwasher was so loud so I looked for the quietest one there was.  Not surprised that it was made by Kitchenaid.  I have a few of their small appliances and love each one.  This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else.  It also has one big silverware basket that you can just dump out on your counter.  I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack.  But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking.  I swear by Kitchenaid and only wish that I could have afforded their refrigerator.  But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well.  They are all built to last.",,,5.0
23-01-09,48019661,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Neutral,use,Easy_Use,"I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack.","I bought my Kitchenaid Dishwasher in March, 2022. I am so pleased with it. Our last dishwasher was so loud so I looked for the quietest one there was. Not surprised that it was made by Kitchenaid. I have a few of their small appliances and love each one. This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else. It also has one big silverware basket that you can just dump out on your counter. I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack. But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking. I swear by Kitchenaid and only wish that I could have afforded their refrigerator. But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well. They are all built to last.","[ QUIET DishWasher ] || ---------------- || I bought my Kitchenaid Dishwasher in March, 2022.  I am so pleased with it.  Our last dishwasher was so loud so I looked for the quietest one there was.  Not surprised that it was made by Kitchenaid.  I have a few of their small appliances and love each one.  This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else.  It also has one big silverware basket that you can just dump out on your counter.  I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack.  But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking.  I swear by Kitchenaid and only wish that I could have afforded their refrigerator.  But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well.  They are all built to last.",,,5.0
23-01-09,48019661,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Neutral,use,Design,But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking.,"I bought my Kitchenaid Dishwasher in March, 2022. I am so pleased with it. Our last dishwasher was so loud so I looked for the quietest one there was. Not surprised that it was made by Kitchenaid. I have a few of their small appliances and love each one. This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else. It also has one big silverware basket that you can just dump out on your counter. I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack. But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking. I swear by Kitchenaid and only wish that I could have afforded their refrigerator. But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well. They are all built to last.","[ QUIET DishWasher ] || ---------------- || I bought my Kitchenaid Dishwasher in March, 2022.  I am so pleased with it.  Our last dishwasher was so loud so I looked for the quietest one there was.  Not surprised that it was made by Kitchenaid.  I have a few of their small appliances and love each one.  This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else.  It also has one big silverware basket that you can just dump out on your counter.  I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack.  But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking.  I swear by Kitchenaid and only wish that I could have afforded their refrigerator.  But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well.  They are all built to last.",,,5.0
23-01-09,48019661,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Neutral,use,Service,I swear by Kitchenaid and only wish that I could have afforded their refrigerator.,"I bought my Kitchenaid Dishwasher in March, 2022. I am so pleased with it. Our last dishwasher was so loud so I looked for the quietest one there was. Not surprised that it was made by Kitchenaid. I have a few of their small appliances and love each one. This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else. It also has one big silverware basket that you can just dump out on your counter. I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack. But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking. I swear by Kitchenaid and only wish that I could have afforded their refrigerator. But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well. They are all built to last.","[ QUIET DishWasher ] || ---------------- || I bought my Kitchenaid Dishwasher in March, 2022.  I am so pleased with it.  Our last dishwasher was so loud so I looked for the quietest one there was.  Not surprised that it was made by Kitchenaid.  I have a few of their small appliances and love each one.  This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else.  It also has one big silverware basket that you can just dump out on your counter.  I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack.  But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking.  I swear by Kitchenaid and only wish that I could have afforded their refrigerator.  But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well.  They are all built to last.",,,5.0
23-01-09,48019661,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,,,But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well.,"I bought my Kitchenaid Dishwasher in March, 2022. I am so pleased with it. Our last dishwasher was so loud so I looked for the quietest one there was. Not surprised that it was made by Kitchenaid. I have a few of their small appliances and love each one. This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else. It also has one big silverware basket that you can just dump out on your counter. I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack. But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking. I swear by Kitchenaid and only wish that I could have afforded their refrigerator. But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well. They are all built to last.","[ QUIET DishWasher ] || ---------------- || I bought my Kitchenaid Dishwasher in March, 2022.  I am so pleased with it.  Our last dishwasher was so loud so I looked for the quietest one there was.  Not surprised that it was made by Kitchenaid.  I have a few of their small appliances and love each one.  This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else.  It also has one big silverware basket that you can just dump out on your counter.  I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack.  But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking.  I swear by Kitchenaid and only wish that I could have afforded their refrigerator.  But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well.  They are all built to last.",,,5.0
23-01-09,48019661,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Neutral,use,Durability,They are all built to last.,"I bought my Kitchenaid Dishwasher in March, 2022. I am so pleased with it. Our last dishwasher was so loud so I looked for the quietest one there was. Not surprised that it was made by Kitchenaid. I have a few of their small appliances and love each one. This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else. It also has one big silverware basket that you can just dump out on your counter. I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack. But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking. I swear by Kitchenaid and only wish that I could have afforded their refrigerator. But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well. They are all built to last.","[ QUIET DishWasher ] || ---------------- || I bought my Kitchenaid Dishwasher in March, 2022.  I am so pleased with it.  Our last dishwasher was so loud so I looked for the quietest one there was.  Not surprised that it was made by Kitchenaid.  I have a few of their small appliances and love each one.  This has a third rack that is so handy for all those odd pieces that don't really fit anywhere else.  It also has one big silverware basket that you can just dump out on your counter.  I have to admit that with the third shelf, you are limited in height what you can put in the bottom rack.  But I don't mind washing a big pot occasionally when I've done a lot of bulk cooking.  I swear by Kitchenaid and only wish that I could have afforded their refrigerator.  But got Whirlpool and Maytag for my other kitchen appliances and am happy with them as well.  They are all built to last.",,,5.0
23-01-09,48019683,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,,,Excellent!,Excellent! Dishes are clean and dry! Plenty of room. Like the top rack.,[ Great dishwasher ] || ---------------- || Excellent! Dishes are clean and dry!! Plenty of room. Like the top rack.,,,5.0
23-01-09,48019683,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Performance_Drying,Dishes are clean and dry!,Excellent! Dishes are clean and dry! Plenty of room. Like the top rack.,[ Great dishwasher ] || ---------------- || Excellent! Dishes are clean and dry!! Plenty of room. Like the top rack.,,,5.0
23-01-09,48019683,dw,top_control,KITCHENAID,KDTM404KPS,KDTM404KPS,,us,retail,kitchenaid,,Positive,use,Performance_Washing,Dishes are clean and dry!,Excellent! Dishes are clean and dry! Plenty of room. Like the top rack.,[ Great dishwasher ] || ---------------- || Excellent! Dishes are clean and dry!! Plenty of room. Like the top rack.,,,5.0
