Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-10-25,65777191,dw,builtin,SAMSUNG,BESPOKE,DW60BB800UAP,ASIA,kr,retail,naver_shop,,Positive,use,,It was easy to clean as well.,[ It was easy to use and the machine made little noise when in use. It was easy to clean as well. ] || ---------------- || It was easy to use and the machine made little noise when in use. It was easy to clean as well.,[ 사용 간편하고 기계 사용할 때 소음도 적어 좋았어요. 세척도 깨끗하게 잘 됩니다 ] || ---------------- || 사용 간편하고 기계 사용할 때 소음도 적어 좋았어요. 세척도 깨끗하게 잘 됩니다,,,5.0
24-10-25,65777203,dw,builtin,SAMSUNG,BESPOKE,DW50A4075U1,ASIA,kr,retail,naver_shop,,Positive,,,I like Samsung products,[ I like Samsung products ] || ---------------- || I like Samsung products,[ 역시  삼성 물건 좋아요 ] || ---------------- || 역시  삼성 물건 좋아요,,,5.0
24-10-25,65777331,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,costco,,Positive,use,Delivery_Installation,We have had our Bosch Benchmark dishwasher for almost two month now and I'm very happy with it.,"[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I'm very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don't know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn't want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I’m very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don’t know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it’s worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn’t want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.",,,5.0
24-10-25,65777331,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,costco,,Positive,use,Durability,We have had our Bosch Benchmark dishwasher for almost two month now and I'm very happy with it.,"[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I'm very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don't know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn't want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I’m very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don’t know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it’s worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn’t want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.",,,5.0
24-10-25,65777331,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,costco,,Neutral,use,,"There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don't know how I lived without it.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I'm very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don't know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn't want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I’m very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don’t know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it’s worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn’t want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.",,,5.0
24-10-25,65777331,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,costco,,Positive,,Durability,"It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I'm very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don't know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn't want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I’m very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don’t know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it’s worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn’t want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.",,,5.0
24-10-25,65777331,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,costco,,Positive,,Price,"It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I'm very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don't know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn't want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I’m very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don’t know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it’s worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn’t want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.",,,5.0
24-10-25,65777331,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,costco,,Positive,,Service,"It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I'm very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don't know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn't want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I’m very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don’t know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it’s worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn’t want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.",,,5.0
24-10-25,65777331,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,costco,,Positive,use,,I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle.,"[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I'm very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don't know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn't want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I’m very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don’t know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it’s worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn’t want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.",,,5.0
24-10-25,65777331,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,costco,,Neutral,use,,I had that with our last dishwasher and didn't want to do without it.,"[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I'm very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don't know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn't want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I’m very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don’t know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it’s worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn’t want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.",,,5.0
24-10-25,65777331,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,costco,,Negative,use,Design,My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack.,"[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I'm very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don't know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it's worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn't want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.","[ Who knew I needed a light in my dishwasher? ] || ---------------- || We have had our Bosch Benchmark dishwasher for almost two month now and I’m very happy with it. There are features I never heard of when I bought it, like a light inside and a water softener, but like someone else said, I don’t know how I lived without it. It cost a lot more to upgrade to this model, but if you amortize it over the years of use, it’s worth it. I also love the clock that shows up when you are doing the dishes to tell me how much time is left in the cycle. I had that with our last dishwasher and didn’t want to do without it. My only complaint is the utensil basket is too small because I like to wash my silverware there and not on the third rack. So my advice is that if you have the extra money spend it on the extras that you will enjoy while doing a daily chore.",,,5.0
