Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-09-16,64978248,dw,top_control,BOSCH,500_series,SHP65CP5N,,us,retail,bosch_home_us,,Neutral,use,,I have had this dishwasher in my home since 7/24/24.,"[ disappointed from day one ] || ---------------- || I have had this dishwasher in my home since 7/24/24. It has not worked since installation. I have had repairmen in my home 3 times working on it and it continues to do the same thing. Runs for approximately 5 minutes, then shuts down with all lights on and does not drain water.","[ disappointed from day one ] || ---------------- || I have had this dishwasher in my home since 7/24/24.  It has not worked since installation.  I have had repairmen in my home 3 times working on it and it continues to do the same thing. Runs for approximately 5 minutes, then shuts down with all lights on and does not drain water.",,,1.0
24-09-16,64978248,dw,top_control,BOSCH,500_series,SHP65CP5N,,us,retail,bosch_home_us,,Very Negative,use,Delivery_Installation,It has not worked since installation.,"[ disappointed from day one ] || ---------------- || I have had this dishwasher in my home since 7/24/24. It has not worked since installation. I have had repairmen in my home 3 times working on it and it continues to do the same thing. Runs for approximately 5 minutes, then shuts down with all lights on and does not drain water.","[ disappointed from day one ] || ---------------- || I have had this dishwasher in my home since 7/24/24.  It has not worked since installation.  I have had repairmen in my home 3 times working on it and it continues to do the same thing. Runs for approximately 5 minutes, then shuts down with all lights on and does not drain water.",,,1.0
24-09-16,64978248,dw,top_control,BOSCH,500_series,SHP65CP5N,,us,retail,bosch_home_us,,Very Negative,use,Durability,It has not worked since installation.,"[ disappointed from day one ] || ---------------- || I have had this dishwasher in my home since 7/24/24. It has not worked since installation. I have had repairmen in my home 3 times working on it and it continues to do the same thing. Runs for approximately 5 minutes, then shuts down with all lights on and does not drain water.","[ disappointed from day one ] || ---------------- || I have had this dishwasher in my home since 7/24/24.  It has not worked since installation.  I have had repairmen in my home 3 times working on it and it continues to do the same thing. Runs for approximately 5 minutes, then shuts down with all lights on and does not drain water.",,,1.0
24-09-16,64978248,dw,top_control,BOSCH,500_series,SHP65CP5N,,us,retail,bosch_home_us,,Neutral,maintain,Service,I have had repairmen in my home 3 times working on it and it continues to do the same thing.,"[ disappointed from day one ] || ---------------- || I have had this dishwasher in my home since 7/24/24. It has not worked since installation. I have had repairmen in my home 3 times working on it and it continues to do the same thing. Runs for approximately 5 minutes, then shuts down with all lights on and does not drain water.","[ disappointed from day one ] || ---------------- || I have had this dishwasher in my home since 7/24/24.  It has not worked since installation.  I have had repairmen in my home 3 times working on it and it continues to do the same thing. Runs for approximately 5 minutes, then shuts down with all lights on and does not drain water.",,,1.0
24-09-16,64978248,dw,top_control,BOSCH,500_series,SHP65CP5N,,us,retail,bosch_home_us,,Negative,use,Durability,"Runs for approximately 5 minutes, then shuts down with all lights on and does not drain water.","[ disappointed from day one ] || ---------------- || I have had this dishwasher in my home since 7/24/24. It has not worked since installation. I have had repairmen in my home 3 times working on it and it continues to do the same thing. Runs for approximately 5 minutes, then shuts down with all lights on and does not drain water.","[ disappointed from day one ] || ---------------- || I have had this dishwasher in my home since 7/24/24.  It has not worked since installation.  I have had repairmen in my home 3 times working on it and it continues to do the same thing. Runs for approximately 5 minutes, then shuts down with all lights on and does not drain water.",,,1.0
24-09-16,64978839,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,bosch_home_us,,Negative,"purchase,replace",Noise_Vibration,I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings.,"[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years' experience and would like to share some tech tips after installing the DW myself. After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed. The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on. Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately. I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign. The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time. I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.","[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years’ experience and would like to share some tech tips after installing the DW myself.After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed.The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on.Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately.I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign.The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time.I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.",,,5.0
24-09-16,64978839,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,bosch_home_us,,Neutral,onboard,Delivery_Installation,I am a 71 year old medical equipment service tech with 35 years' experience and would like to share some tech tips after installing the DW myself.,"[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years' experience and would like to share some tech tips after installing the DW myself. After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed. The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on. Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately. I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign. The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time. I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.","[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years’ experience and would like to share some tech tips after installing the DW myself.After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed.The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on.Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately.I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign.The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time.I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.",,,5.0
24-09-16,64978839,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,bosch_home_us,,Neutral,onboard,Service,I am a 71 year old medical equipment service tech with 35 years' experience and would like to share some tech tips after installing the DW myself.,"[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years' experience and would like to share some tech tips after installing the DW myself. After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed. The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on. Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately. I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign. The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time. I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.","[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years’ experience and would like to share some tech tips after installing the DW myself.After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed.The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on.Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately.I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign.The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time.I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.",,,5.0
24-09-16,64978839,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,bosch_home_us,,Very Positive,,,"After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended.","[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years' experience and would like to share some tech tips after installing the DW myself. After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed. The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on. Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately. I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign. The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time. I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.","[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years’ experience and would like to share some tech tips after installing the DW myself.After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed.The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on.Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately.I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign.The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time.I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.",,,5.0
24-09-16,64978839,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,bosch_home_us,,Negative,,Design,There are design issues from previous models that have been addressed.,"[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years' experience and would like to share some tech tips after installing the DW myself. After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed. The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on. Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately. I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign. The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time. I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.","[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years’ experience and would like to share some tech tips after installing the DW myself.After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed.The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on.Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately.I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign.The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time.I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.",,,5.0
24-09-16,64978839,dw,top_control,BOSCH,benchmark,SHP9PCM5N,,us,retail,bosch_home_us,,Positive,onboard,Delivery_Installation,The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing.,"[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years' experience and would like to share some tech tips after installing the DW myself. After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed. The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on. Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately. I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign. The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time. I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.","[ excellent dishwasher with technical tips ] || ---------------- || I purchased the Bosch Benchmark dishwasher SHP9PCM5N to replace a 25 year old Maytag that was working but sounded like a jet engine on take-off due to bad pump motor bearings. I am a 71 year old medical equipment service tech with 35 years’ experience and would like to share some tech tips after installing the DW myself.After doing a thorough research on Google and YouTube, I found this DW top rated by consumer reports and highly recommended. There are design issues from previous models that have been addressed.The installation and instruction manuals are very complete and YouTube videos will fill in the knowledge gaps that are missing. Factory technical support is excellent. The only printed mistake involves the air gap instructions. The large hose goes to the garbage disposer drain from the air gap and the smaller hose from the DW goes to the smaller diameter side arm barb of the air gap. The hoses are very tight and need to be lubricated with plumbers grease to slip on.Pay particular attention to leveling the DW with a level. The feet will adjust easily if you pry up on the machine frame to take the weight off the adjusters. The universal brackets are excellent if you plan appropriately.I had to move the electrical MC from behind the DW to the adjacent cabinet with a new electrical box, wiring, and GFCI outlet to meet the new code requirements. I did this myself but it is not an average DIY project, I highly recommend a licensed electrician. Do not use the available Bosch junction box because the wire size is underrated for the current draw. The cabinet cutout size and location is perfect, do not make it smaller. The benchmark model I purchased had the upgraded parts installed, specifically the reinforced fill tube with sprinkler and zeolite ring nut redesign.The dishes are sparkling clean! You cannot hear the DW running and the silverware rack and internal lights are an elegant upgrade. I have not downloaded or used the app which appears to not be ready for prime time.I am very happy with the DW after four weeks and four washes; hopefully it will last for many more.",,,5.0
