Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-08-02,63680988,dw,top_control,WHIRLPOOL,WDT750SAKV,WDT750SAKV,,us,retail,homedepot,,Negative,onboard,Delivery_Installation,"Install was pretty strait forward, the plug for the water sensor on the front panel was a pain to hook back up but other than that it went smooth.","On Sale for just over $500 with the features we wanted. Install was pretty strait forward, the plug for the water sensor on the front panel was a pain to hook back up but other than that it went smooth. Reused our existing power cord from the old unit.","On Sale for just over $500 with the features we wanted. Install was pretty strait forward, the plug for the water sensor on the front panel was a pain to hook back up but other than that it went smooth. Reused our existing power cord from the old unit.",,,5.0
24-08-02,63680988,dw,top_control,WHIRLPOOL,WDT750SAKV,WDT750SAKV,,us,retail,homedepot,,Neutral,replace,Durability,Reused our existing power cord from the old unit.,"On Sale for just over $500 with the features we wanted. Install was pretty strait forward, the plug for the water sensor on the front panel was a pain to hook back up but other than that it went smooth. Reused our existing power cord from the old unit.","On Sale for just over $500 with the features we wanted. Install was pretty strait forward, the plug for the water sensor on the front panel was a pain to hook back up but other than that it went smooth. Reused our existing power cord from the old unit.",,,5.0
24-08-02,63681971,dw,top_control,WHIRLPOOL,WDP540HAMW,WDP540HAMW,,us,retail,bestbuy,,Negative,,,"I noticed the ring inside the dishwasher with rust already thats why i swapped with another brand ,","[ Dishwasher ] || ---------------- || I noticed the ring inside the dishwasher with rust already thats why i swapped with another brand ,","[ Dishwasher ] || ---------------- || I noticed the ring inside the dishwasher with rust already thats why i swapped with another brand ,",,,1.0
24-08-02,63682011,dw,top_control,WHIRLPOOL,WDP540HAMW,WDP540HAMW,,us,retail,bestbuy,,Positive,use,Performance_Washing,Cleans very well.,[ Dishwasher ] || ---------------- || Cleans very well. Very quite. A lot of room. Utensil bins are nice feature,[ Dishwasher ] || ---------------- || Cleans very wellVery quiteA lot of roomUtensil bins are nice feature,,,5.0
24-08-02,63682011,dw,top_control,WHIRLPOOL,WDP540HAMW,WDP540HAMW,,us,retail,bestbuy,,Positive,use,Noise_Vibration,Very quite.,[ Dishwasher ] || ---------------- || Cleans very well. Very quite. A lot of room. Utensil bins are nice feature,[ Dishwasher ] || ---------------- || Cleans very wellVery quiteA lot of roomUtensil bins are nice feature,,,5.0
24-08-02,63682011,dw,top_control,WHIRLPOOL,WDP540HAMW,WDP540HAMW,,us,retail,bestbuy,,Positive,use,Design,A lot of room.,[ Dishwasher ] || ---------------- || Cleans very well. Very quite. A lot of room. Utensil bins are nice feature,[ Dishwasher ] || ---------------- || Cleans very wellVery quiteA lot of roomUtensil bins are nice feature,,,5.0
24-08-02,63682011,dw,top_control,WHIRLPOOL,WDP540HAMW,WDP540HAMW,,us,retail,bestbuy,,Positive,use,Easy_Use,Utensil bins are nice feature,[ Dishwasher ] || ---------------- || Cleans very well. Very quite. A lot of room. Utensil bins are nice feature,[ Dishwasher ] || ---------------- || Cleans very wellVery quiteA lot of roomUtensil bins are nice feature,,,5.0
24-08-02,72895155,dw,accessory,LG,MDJ66340001,MDJ66340001,ASIA,kr,retail,lg_com_kr,,Neutral,,Durability,"It was time to replace the air filter, so I replaced it.","It was time to replace the air filter, so I replaced it.",에어필터 교체기간이 되어 교체했어요,Not verified,,5.0
24-08-02,63683232,dw,top_control,GE,PDP715SYVFS,PDP715SYVFS,,us,retail,geappliances,,Positive,use,Noise_Vibration,"Handles smudges well, cleans great and very quiet.","[ Quiet and handles smudges well ] || ---------------- || Handles smudges well, cleans great and very quiet.","[ Quiet and handles smudges well ] || ---------------- || Handles smudges well, cleans great and very quiet.",,,5.0
24-08-02,63683232,dw,top_control,GE,PDP715SYVFS,PDP715SYVFS,,us,retail,geappliances,,Positive,use,Performance_Washing,"Handles smudges well, cleans great and very quiet.","[ Quiet and handles smudges well ] || ---------------- || Handles smudges well, cleans great and very quiet.","[ Quiet and handles smudges well ] || ---------------- || Handles smudges well, cleans great and very quiet.",,,5.0
24-08-02,63683230,dw,top_control,GE,PDP715SYVFS,PDP715SYVFS,,us,retail,geappliances,,Positive,use,,Love it .,[ Great design boop ] || ---------------- || Love it . Great design. It handles all my needs. Very nice exterior.,[ Great design boop ] || ---------------- || Love it . Great design. It handles all my needs. Very nice exterior.,,,5.0
24-08-02,63683230,dw,top_control,GE,PDP715SYVFS,PDP715SYVFS,,us,retail,geappliances,,Positive,use,Design,Great design.,[ Great design boop ] || ---------------- || Love it . Great design. It handles all my needs. Very nice exterior.,[ Great design boop ] || ---------------- || Love it . Great design. It handles all my needs. Very nice exterior.,,,5.0
24-08-02,63683230,dw,top_control,GE,PDP715SYVFS,PDP715SYVFS,,us,retail,geappliances,,Positive,use,,It handles all my needs.,[ Great design boop ] || ---------------- || Love it . Great design. It handles all my needs. Very nice exterior.,[ Great design boop ] || ---------------- || Love it . Great design. It handles all my needs. Very nice exterior.,,,5.0
24-08-02,63683230,dw,top_control,GE,PDP715SYVFS,PDP715SYVFS,,us,retail,geappliances,,Positive,use,Design,Very nice exterior.,[ Great design boop ] || ---------------- || Love it . Great design. It handles all my needs. Very nice exterior.,[ Great design boop ] || ---------------- || Love it . Great design. It handles all my needs. Very nice exterior.,,,5.0
24-08-02,63683624,dw,top_control,WHIRLPOOL,WDT730HAMZ,WDT730HAMZ,,us,retail,homedepot,,Positive,use,,Love this whirlpool dishwasher!,"Love this whirlpool dishwasher! I absolutely love the 3rd rack, it is so handy and didn't realize what I was missing. With my old dishwasher, I practically had to prewash all the dishes, NOT anymore! I am so happy with it. I would recommend to anyone looking for a new dishwasher.","Love this whirlpool dishwasher! I absolutely love the 3rd rack, it is so handy and didn’t realize what I was missing. With my old dishwasher, I practically had to prewash all the dishes, NOT anymore! I am so happy with it. I would recommend to anyone looking for a new dishwasher.",,,5.0
