Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-07-20,63203698,dw,top_control,KITCHENAID,KDTM604KPS,KDTM604KPS,,ci,retail,costco_ca,,Positive,use,Design,There is a place for everything.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,,,5.0
24-07-20,63203698,dw,top_control,KITCHENAID,KDTM604KPS,KDTM604KPS,,ci,retail,costco_ca,,Positive,use,Noise_Vibration,It is very quiet and all of our dishes come out clean and dry.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,,,5.0
24-07-20,63203698,dw,top_control,KITCHENAID,KDTM604KPS,KDTM604KPS,,ci,retail,costco_ca,,Positive,use,Performance_Drying,It is very quiet and all of our dishes come out clean and dry.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,,,5.0
24-07-20,63203698,dw,top_control,KITCHENAID,KDTM604KPS,KDTM604KPS,,ci,retail,costco_ca,,Positive,use,Performance_Washing,It is very quiet and all of our dishes come out clean and dry.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,,,5.0
24-07-20,63203698,dw,top_control,KITCHENAID,KDTM604KPS,KDTM604KPS,,ci,retail,costco_ca,,Positive,"deliver,onboard",Delivery_Installation,It was easy to order and delivery and installation was quick and efficient.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,[ Love this dishwasher ] || ---------------- || This dishwasher is wonderful! Love the 3 different shelves! There is a place for everything. It is very quiet and all of our dishes come out clean and dry. It was easy to order and delivery and installation was quick and efficient.,,,5.0
24-07-20,63204114,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Positive,use,,"Very nice, seems trustworthy","[ Dishwasher ] || ---------------- || Very nice, seems trustworthy","[ Dishwasher ] || ---------------- || Very nice, seems trustworthy",,,5.0
24-07-20,63204137,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Very Negative,,,terrible.,[ Bosch 800 ] || ---------------- || terrible. would not run dry cycle after installation,[ Bosch 800 ] || ---------------- || terrible. would not run dry cycle after installation,,,1.0
24-07-20,63204137,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Negative,,Delivery_Installation,would not run dry cycle after installation,[ Bosch 800 ] || ---------------- || terrible. would not run dry cycle after installation,[ Bosch 800 ] || ---------------- || terrible. would not run dry cycle after installation,,,1.0
24-07-20,91660343,dw,front_control,GE,GDF535PGR,GDF535PGR,,us,retail,bestbuy,,Positive,use,,Works well.,[ Dishwasher ] || ---------------- || Works well. Inside parts could be sturdier. Variety of cleaning options.,[ Dishwasher ] || ---------------- || Works well. Inside parts could be sturdier. Variety of cleaning options.,Verified,,4.0
24-07-20,91660343,dw,front_control,GE,GDF535PGR,GDF535PGR,,us,retail,bestbuy,,Negative,,Delivery_Installation,Inside parts could be sturdier.,[ Dishwasher ] || ---------------- || Works well. Inside parts could be sturdier. Variety of cleaning options.,[ Dishwasher ] || ---------------- || Works well. Inside parts could be sturdier. Variety of cleaning options.,Verified,,4.0
24-07-20,91660343,dw,front_control,GE,GDF535PGR,GDF535PGR,,us,retail,bestbuy,,Negative,,Durability,Inside parts could be sturdier.,[ Dishwasher ] || ---------------- || Works well. Inside parts could be sturdier. Variety of cleaning options.,[ Dishwasher ] || ---------------- || Works well. Inside parts could be sturdier. Variety of cleaning options.,Verified,,4.0
