Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-05-13,61679534,dw,front_control,KITCHENAID,KDFE104KPS,KDFE104KPS,,us,retail,homedepot,,Neutral,use,Easy_Use,The long cycle is very long.,"[ Great features and quiet ] || ---------------- || (This review was collected as part of a promotion.) Great, quiet machine! The long cycle is very long.","[ Great features and quiet ] || ---------------- || (This review was collected as part of a promotion.) Great, quiet machine!  The long cycle is very long.",,,4.0
24-05-13,61679625,dw,countertop,SAMSUNG,BESPOKE,DW30CB305CE0,ASIA,kr,retail,naver_shop,,Positive,use,Design,"I love it so much, good, very pretty hehe","[ I love it so much, good, very pretty hehe ] || ---------------- || I love it so much, good, very pretty hehe",[ 너무 좋아요 굿굿 매우이쁨 히히 ] || ---------------- || 너무 좋아요 굿굿 매우이쁨 히히,,,5.0
24-05-13,61679824,dw,top_control,BOSCH,SHXM88Z75N,SHXM88Z75N,,us,retail,bosch_home_us,,Neutral,,,"The saying ""you get what you payfor"" applies to the BOSCH dishwasher.","[ Qality and Quiet ] || ---------------- || The saying ""you get what you payfor"" applies to the BOSCH dishwasher. We had to replace our GE and looked at tons of reviews and was hesitant to spend a premium for a dishwasher. Glad we did, love the 3rd rack for silverware and other small items, and it is definately the quietest dishwasher I have ever owned.","[ Qality and Quiet ] || ---------------- || The saying 'you get what you payfor' applies to the BOSCH dishwasher.  We had to replace our GE and looked at tons of reviews and was hesitant to spend a premium for a dishwasher.  Glad we did, love the 3rd rack for silverware and other small items, and it is definately the quietest dishwasher I have ever owned.",,,5.0
24-05-13,61679824,dw,top_control,BOSCH,SHXM88Z75N,SHXM88Z75N,,us,retail,bosch_home_us,,Negative,replace,,We had to replace our GE and looked at tons of reviews and was hesitant to spend a premium for a dishwasher.,"[ Qality and Quiet ] || ---------------- || The saying ""you get what you payfor"" applies to the BOSCH dishwasher. We had to replace our GE and looked at tons of reviews and was hesitant to spend a premium for a dishwasher. Glad we did, love the 3rd rack for silverware and other small items, and it is definately the quietest dishwasher I have ever owned.","[ Qality and Quiet ] || ---------------- || The saying 'you get what you payfor' applies to the BOSCH dishwasher.  We had to replace our GE and looked at tons of reviews and was hesitant to spend a premium for a dishwasher.  Glad we did, love the 3rd rack for silverware and other small items, and it is definately the quietest dishwasher I have ever owned.",,,5.0
24-05-13,61679824,dw,top_control,BOSCH,SHXM88Z75N,SHXM88Z75N,,us,retail,bosch_home_us,,Positive,use,Easy_Use,"Glad we did, love the 3rd rack for silverware and other small items, and it is definately the quietest dishwasher I have ever owned.","[ Qality and Quiet ] || ---------------- || The saying ""you get what you payfor"" applies to the BOSCH dishwasher. We had to replace our GE and looked at tons of reviews and was hesitant to spend a premium for a dishwasher. Glad we did, love the 3rd rack for silverware and other small items, and it is definately the quietest dishwasher I have ever owned.","[ Qality and Quiet ] || ---------------- || The saying 'you get what you payfor' applies to the BOSCH dishwasher.  We had to replace our GE and looked at tons of reviews and was hesitant to spend a premium for a dishwasher.  Glad we did, love the 3rd rack for silverware and other small items, and it is definately the quietest dishwasher I have ever owned.",,,5.0
24-05-13,61679824,dw,top_control,BOSCH,SHXM88Z75N,SHXM88Z75N,,us,retail,bosch_home_us,,Positive,use,Noise_Vibration,"Glad we did, love the 3rd rack for silverware and other small items, and it is definately the quietest dishwasher I have ever owned.","[ Qality and Quiet ] || ---------------- || The saying ""you get what you payfor"" applies to the BOSCH dishwasher. We had to replace our GE and looked at tons of reviews and was hesitant to spend a premium for a dishwasher. Glad we did, love the 3rd rack for silverware and other small items, and it is definately the quietest dishwasher I have ever owned.","[ Qality and Quiet ] || ---------------- || The saying 'you get what you payfor' applies to the BOSCH dishwasher.  We had to replace our GE and looked at tons of reviews and was hesitant to spend a premium for a dishwasher.  Glad we did, love the 3rd rack for silverware and other small items, and it is definately the quietest dishwasher I have ever owned.",,,5.0
24-05-13,61680887,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,ci,retail,bestbuy_ca,,Positive,use,Noise_Vibration,This KitchenAid Dishwasher is solidly built and- Oh SO Quiet!,"[ Old and New KitchenAid Dishwashers ] || ---------------- || This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.","[ Old and New KitchenAid Dishwashers ] || ---------------- || [This review was collected as part of a promotion.] This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.",,,5.0
24-05-13,61680887,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,ci,retail,bestbuy_ca,,Neutral,replace,,We replaced a previous KitchenAid with this new version after 26 years!,"[ Old and New KitchenAid Dishwashers ] || ---------------- || This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.","[ Old and New KitchenAid Dishwashers ] || ---------------- || [This review was collected as part of a promotion.] This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.",,,5.0
24-05-13,61680887,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,ci,retail,bestbuy_ca,,Positive,replace,Service,"The old machine still worked great, never needed repairs but my wife wanted a new one.","[ Old and New KitchenAid Dishwashers ] || ---------------- || This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.","[ Old and New KitchenAid Dishwashers ] || ---------------- || [This review was collected as part of a promotion.] This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.",,,5.0
24-05-13,61680887,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,ci,retail,bestbuy_ca,,Positive,onboard,Delivery_Installation,The old one was reinstalled in a relative's home and is still working great!,"[ Old and New KitchenAid Dishwashers ] || ---------------- || This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.","[ Old and New KitchenAid Dishwashers ] || ---------------- || [This review was collected as part of a promotion.] This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.",,,5.0
24-05-13,61680887,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,ci,retail,bestbuy_ca,,Positive,use,,The new one is even better!,"[ Old and New KitchenAid Dishwashers ] || ---------------- || This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.","[ Old and New KitchenAid Dishwashers ] || ---------------- || [This review was collected as part of a promotion.] This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.",,,5.0
24-05-13,61680887,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,ci,retail,bestbuy_ca,,Neutral,use,Easy_Use,Hope it lasts as long.,"[ Old and New KitchenAid Dishwashers ] || ---------------- || This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.","[ Old and New KitchenAid Dishwashers ] || ---------------- || [This review was collected as part of a promotion.] This KitchenAid Dishwasher is solidly built and- Oh SO Quiet! We replaced a previous KitchenAid with this new version after 26 years! The old machine still worked great, never needed repairs but my wife wanted a new one. The old one was reinstalled in a relative's home and is still working great! The new one is even better! Hope it lasts as long.",,,5.0
24-05-13,61681227,dw,dishwasher,SAMSUNG,BESPOKE,DW60A8355FG,ASIA,kr,retail,naver_shop,,Positive,deliver,Delivery_Installation,Delivery was fast and the driver was very nice.,[ dishwasher installation ] || ---------------- || Delivery was fast and the driver was very nice.,[ 식세기 설치 ] || ---------------- || 배송도 빠르고 기사님도 너무 천절하셨어요,,,5.0
24-05-13,61681269,dw,dishwasher,SAMSUNG,BESPOKE,DW60A8355FG,ASIA,kr,retail,naver_shop,,Positive,use,Design,The size is good and I will use it well.,[ The size is good and I will use it well. ] || ---------------- || The size is good and I will use it well.,[ 사이즈도 좋고 잘 사용할께요 ] || ---------------- || 사이즈도 좋고 잘 사용할께요,,,5.0
24-05-13,61681276,dw,dishwasher,SAMSUNG,BESPOKE,DW60A8355FG,ASIA,kr,retail,naver_shop,,Positive,deliver,Delivery_Installation,Delivery is fast and the product is good.,[ Good! ] || ---------------- || Delivery is fast and the product is good. I bought it when I moved in and I am satisfied. Thank you.,[ 굿굿!! ] || ---------------- || 배송도 빠르고 상품도 좋아요이번에 입주하면서 구입했는데 만족합니다감사합니다,,,5.0
24-05-13,61681276,dw,dishwasher,SAMSUNG,BESPOKE,DW60A8355FG,ASIA,kr,retail,naver_shop,,Positive,purchase,,I bought it when I moved in and I am satisfied.,[ Good! ] || ---------------- || Delivery is fast and the product is good. I bought it when I moved in and I am satisfied. Thank you.,[ 굿굿!! ] || ---------------- || 배송도 빠르고 상품도 좋아요이번에 입주하면서 구입했는데 만족합니다감사합니다,,,5.0
24-05-13,61681276,dw,dishwasher,SAMSUNG,BESPOKE,DW60A8355FG,ASIA,kr,retail,naver_shop,,Positive,,,Thank you.,[ Good! ] || ---------------- || Delivery is fast and the product is good. I bought it when I moved in and I am satisfied. Thank you.,[ 굿굿!! ] || ---------------- || 배송도 빠르고 상품도 좋아요이번에 입주하면서 구입했는데 만족합니다감사합니다,,,5.0
24-05-13,61681283,dw,dishwasher,SAMSUNG,BESPOKE,DW60A8355FG,ASIA,kr,retail,naver_shop,,Positive,onboard,Delivery_Installation,It was perfect because everything from reforming to installation was done neatly.,[ It was installed neatly! satisfaction satisfaction ] || ---------------- || It was perfect because everything from reforming to installation was done neatly. Thank you so much for the kind explanation and detailed check. I will put it to good use ^^,[ 깔끔하게 설치되었네요~~! 만족 만족 ] || ---------------- || 리폼부터 설치까지 깔끔하게 해주셔서 완벽합니다.설명도 친절하시고 꼼꼼하게 체크까지 해주시고 너무 감사합니다.잘쓰도록 할께요^^,,,5.0
24-05-13,61681283,dw,dishwasher,SAMSUNG,BESPOKE,DW60A8355FG,ASIA,kr,retail,naver_shop,,Positive,,Service,Thank you so much for the kind explanation and detailed check.,[ It was installed neatly! satisfaction satisfaction ] || ---------------- || It was perfect because everything from reforming to installation was done neatly. Thank you so much for the kind explanation and detailed check. I will put it to good use ^^,[ 깔끔하게 설치되었네요~~! 만족 만족 ] || ---------------- || 리폼부터 설치까지 깔끔하게 해주셔서 완벽합니다.설명도 친절하시고 꼼꼼하게 체크까지 해주시고 너무 감사합니다.잘쓰도록 할께요^^,,,5.0
