Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-03-29,80894361,dw,top_control,SAMSUNG,DW80B7070UG_DW80B7070US_DW80BB707012,DW80B7070UG_DW80B7070US_DW80BB707012,,us,retail,costco,,Positive,use,,I swore off Samsung after a bad refrigerator from 12 years ago but the dishwasher so far is great.,[ Quiet excellent dishwasher ] || ---------------- || I have had it a month and so far it is working. It cleans and is better than other dishwashers I have had.I swore off Samsung after a bad refrigerator from 12 years ago but the dishwasher so far is great.,[ Quiet excellent dishwasher ] || ---------------- || I have had it a month and so far it is working. It cleans and is better than other dishwashers I have had.I swore off Samsung after a bad refrigerator from 12 years ago but the dishwasher so far is great.,Verified,,5.0
24-03-29,60548858,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,costco,,Positive,"purchase,use",Price,Nice Dishwasher for the price.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,,,4.0
24-03-29,60548858,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,costco,,Positive,"onboard,use",Delivery_Installation,Great install and easy to operate.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,,,4.0
24-03-29,60548858,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,costco,,Positive,"onboard,use",Easy_Use,Great install and easy to operate.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,,,4.0
24-03-29,60548858,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,costco,,Neutral,use,Easy_Use,Has many functions and cycles to choose the best wash for your load of dishes.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,,,4.0
24-03-29,60548858,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,costco,,Positive,use,Easy_Use,Three racks to choose from and the adjustable middle rack is great for tall glassware.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,,,4.0
24-03-29,60548858,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,costco,,Positive,use,Design,Silverware compartment has ample space and is sturdy.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,,,4.0
24-03-29,60548858,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,costco,,Positive,use,Easy_Use,Silverware compartment has ample space and is sturdy.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,,,4.0
24-03-29,60548858,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,costco,,Positive,use,Easy_Use,I love the hot dry cycle and delayed start.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,,,4.0
24-03-29,60548858,dw,top_control,GE,PDT755SYRFS,PDT755SYRFS,,us,retail,costco,,Positive,use,Noise_Vibration,The machine is so quiet and is great for our open floor plan.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,[ Whisper quiet and cleans great! ] || ---------------- || Nice Dishwasher for the price. Great install and easy to operate. Has many functions and cycles to choose the best wash for your load of dishes. Three racks to choose from and the adjustable middle rack is great for tall glassware. Silverware compartment has ample space and is sturdy. I love the hot dry cycle and delayed start. The machine is so quiet and is great for our open floor plan.,,,4.0
24-03-29,60550284,dw,top_control,SAMSUNG,DW80R9950U,DW80R9950U,,us,retail,costco,,Neutral,"deliver,onboard",Delivery_Installation,Took 2 separate days for delivery and installation.,[ Disappointed ] || ---------------- || Took 2 separate days for delivery and installation. Within 3 weeks had to contact Samsung for severe water leakage during strong wash cycle. Door needs to be changed. Dishwasher still not fixed. Very disappointed with Samsung and Costco.,[ Disappointed ] || ---------------- || Took 2 separate days for delivery and installation.  Within 3 weeks had to contact Samsung for severe water leakage during strong wash cycle. Door needs to be changed.  Dishwasher still not fixed.  Very disappointed with Samsung and Costco.,,,1.0
24-03-29,60550284,dw,top_control,SAMSUNG,DW80R9950U,DW80R9950U,,us,retail,costco,,Negative,maintain,Durability,Within 3 weeks had to contact Samsung for severe water leakage during strong wash cycle.,[ Disappointed ] || ---------------- || Took 2 separate days for delivery and installation. Within 3 weeks had to contact Samsung for severe water leakage during strong wash cycle. Door needs to be changed. Dishwasher still not fixed. Very disappointed with Samsung and Costco.,[ Disappointed ] || ---------------- || Took 2 separate days for delivery and installation.  Within 3 weeks had to contact Samsung for severe water leakage during strong wash cycle. Door needs to be changed.  Dishwasher still not fixed.  Very disappointed with Samsung and Costco.,,,1.0
24-03-29,60550284,dw,top_control,SAMSUNG,DW80R9950U,DW80R9950U,,us,retail,costco,,Negative,,,Door needs to be changed.,[ Disappointed ] || ---------------- || Took 2 separate days for delivery and installation. Within 3 weeks had to contact Samsung for severe water leakage during strong wash cycle. Door needs to be changed. Dishwasher still not fixed. Very disappointed with Samsung and Costco.,[ Disappointed ] || ---------------- || Took 2 separate days for delivery and installation.  Within 3 weeks had to contact Samsung for severe water leakage during strong wash cycle. Door needs to be changed.  Dishwasher still not fixed.  Very disappointed with Samsung and Costco.,,,1.0
24-03-29,60550284,dw,top_control,SAMSUNG,DW80R9950U,DW80R9950U,,us,retail,costco,,Negative,maintain,Service,Dishwasher still not fixed.,[ Disappointed ] || ---------------- || Took 2 separate days for delivery and installation. Within 3 weeks had to contact Samsung for severe water leakage during strong wash cycle. Door needs to be changed. Dishwasher still not fixed. Very disappointed with Samsung and Costco.,[ Disappointed ] || ---------------- || Took 2 separate days for delivery and installation.  Within 3 weeks had to contact Samsung for severe water leakage during strong wash cycle. Door needs to be changed.  Dishwasher still not fixed.  Very disappointed with Samsung and Costco.,,,1.0
