Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-02-15,76237629,dw,front_control,BEKO,BDFB1630W_BDFB1630X,BDFB1630W_BDFB1630X,ASIA,au,retail,appliancesonline,,Negative,use,Noise_Vibration,"not the best build quality, very average at cleaning, makes a lot of noise","[ quality ] || ---------------- || not the best build quality, very average at cleaning, makes a lot of noise","[ quality ] || ---------------- || not the best build quality, very average at cleaning, makes a lot of noise",Not verified,,3.0
24-02-15,76237629,dw,front_control,BEKO,BDFB1630W_BDFB1630X,BDFB1630W_BDFB1630X,ASIA,au,retail,appliancesonline,,Negative,use,Performance_Washing,"not the best build quality, very average at cleaning, makes a lot of noise","[ quality ] || ---------------- || not the best build quality, very average at cleaning, makes a lot of noise","[ quality ] || ---------------- || not the best build quality, very average at cleaning, makes a lot of noise",Not verified,,3.0
24-02-15,76238688,dw,front_control,WHIRLPOOL,WDFS3R4NWEAU,WDFS3R4NWEAU,ASIA,au,retail,harveynorman,,Positive,"purchase,use",Noise_Vibration,"Bought 1 month ago, quiet effective , no complaints","[ Works great ] || ---------------- || Bought 1 month ago, quiet effective , no complaints","[ Works great ] || ---------------- || [This review was collected as part of a promotion.] Bought 1 month ago, quiet effective , no complaints",Not verified,Originally posted on whirlpool-au,4.0
24-02-15,76238899,dw,front_control,HAIER,HDW15F2B1_HDW15F2S1,HDW15F2B1_HDW15F2S1,ASIA,au,retail,appliancesonline,,Very Negative,,Durability,This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth.,"[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.",Not verified,,2.0
24-02-15,76238899,dw,front_control,HAIER,HDW15F2B1_HDW15F2S1,HDW15F2B1_HDW15F2S1,ASIA,au,retail,appliancesonline,,Very Negative,,Service,This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth.,"[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.",Not verified,,2.0
24-02-15,76238899,dw,front_control,HAIER,HDW15F2B1_HDW15F2S1,HDW15F2B1_HDW15F2S1,ASIA,au,retail,appliancesonline,,Negative,purchase,Durability,"I bought 1 just before Xmas, it washed twice & then the Door Lock broke.","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.",Not verified,,2.0
24-02-15,76238899,dw,front_control,HAIER,HDW15F2B1_HDW15F2S1,HDW15F2B1_HDW15F2S1,ASIA,au,retail,appliancesonline,,Negative,maintain,Service,"I've been waiting 4 Weeks now, for a Haier Tech to come & fix it.","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.",Not verified,,2.0
24-02-15,76238899,dw,front_control,HAIER,HDW15F2B1_HDW15F2S1,HDW15F2B1_HDW15F2S1,ASIA,au,retail,appliancesonline,,Negative,maintain,Service,"He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success.","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.",Not verified,,2.0
24-02-15,76238899,dw,front_control,HAIER,HDW15F2B1_HDW15F2S1,HDW15F2B1_HDW15F2S1,ASIA,au,retail,appliancesonline,,Very Negative,maintain,Service,There is absolutely NO Customer Service.,"[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.",Not verified,,2.0
24-02-15,76238899,dw,front_control,HAIER,HDW15F2B1_HDW15F2S1,HDW15F2B1_HDW15F2S1,ASIA,au,retail,appliancesonline,,Negative,,,"I have 2 other Haier Products, that I'm now very worried about!","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.",Not verified,,2.0
24-02-15,76238899,dw,front_control,HAIER,HDW15F2B1_HDW15F2S1,HDW15F2B1_HDW15F2S1,ASIA,au,retail,appliancesonline,,Neutral,,,I wish I'd read all the reviews before I bought it.,"[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.","[ Don't buy one ] || ---------------- || This Machine will give all Retailers a bad name & all consumers a bad taste in the mouth. I bought 1 just before Xmas, it washed twice & then the Door Lock broke. I've been waiting 4 Weeks now, for a Haier Tech to come & fix it. He did NOT turn up for the 2 previous bookings, and I've been trying to contact them all week, with NO success. There is absolutely NO Customer Service. I have 2 other Haier Products, that I'm now very worried about! I wish I'd read all the reviews before I bought it.",Not verified,,2.0
24-02-15,76551756,dw,front_control,MAYTAG,MDB4949SKZ,MDB4949SKZ,,us,retail,costco,,Positive,use,Easy_Use,"it works fine, it is a bit louder than expected and the cycles are really long","[ good ] || ---------------- || it works fine, it is a bit louder than expected and the cycles are really long","[ good ] || ---------------- || it works fine, it is a bit louder than expected and the cycles are really long",Verified,,4.0
24-02-15,76551756,dw,front_control,MAYTAG,MDB4949SKZ,MDB4949SKZ,,us,retail,costco,,Positive,use,Noise_Vibration,"it works fine, it is a bit louder than expected and the cycles are really long","[ good ] || ---------------- || it works fine, it is a bit louder than expected and the cycles are really long","[ good ] || ---------------- || it works fine, it is a bit louder than expected and the cycles are really long",Verified,,4.0
