Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-02-02,58448861,dw,top_control,GE,GDP630PYRFS,GDP630PYRFS,,us,retail,bestbuy,,Positive,"onboard,purchase",Noise_Vibration,Easy to install and quiet for the price.,[ Dishwasher ] || ---------------- || Easy to install and quiet for the price. It's a good product.,[ Dishwasher ] || ---------------- || Easy to install and quiet for the price. It's a good product.,,,5.0
24-02-02,58448861,dw,top_control,GE,GDP630PYRFS,GDP630PYRFS,,us,retail,bestbuy,,Positive,"onboard,purchase",Price,Easy to install and quiet for the price.,[ Dishwasher ] || ---------------- || Easy to install and quiet for the price. It's a good product.,[ Dishwasher ] || ---------------- || Easy to install and quiet for the price. It's a good product.,,,5.0
24-02-02,58448861,dw,top_control,GE,GDP630PYRFS,GDP630PYRFS,,us,retail,bestbuy,,Positive,use,,It's a good product.,[ Dishwasher ] || ---------------- || Easy to install and quiet for the price. It's a good product.,[ Dishwasher ] || ---------------- || Easy to install and quiet for the price. It's a good product.,,,5.0
24-02-02,58449195,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Positive,use,,Good quality.,[ Dishwasher ] || ---------------- || Good quality. Installation was great. Removal of the old unit is appreciated. The dishwasher is running right now. I'm pleased.,[ Dishwasher ] || ---------------- || Good quality. Installation was great. Removal of the old unit is appreciated. The dishwasher is running right now. I'm pleased.,,,5.0
24-02-02,58449195,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Positive,onboard,Delivery_Installation,Installation was great.,[ Dishwasher ] || ---------------- || Good quality. Installation was great. Removal of the old unit is appreciated. The dishwasher is running right now. I'm pleased.,[ Dishwasher ] || ---------------- || Good quality. Installation was great. Removal of the old unit is appreciated. The dishwasher is running right now. I'm pleased.,,,5.0
24-02-02,58449195,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Positive,,Delivery_Installation,Removal of the old unit is appreciated.,[ Dishwasher ] || ---------------- || Good quality. Installation was great. Removal of the old unit is appreciated. The dishwasher is running right now. I'm pleased.,[ Dishwasher ] || ---------------- || Good quality. Installation was great. Removal of the old unit is appreciated. The dishwasher is running right now. I'm pleased.,,,5.0
24-02-02,58449195,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Neutral,use,Noise_Vibration,The dishwasher is running right now.,[ Dishwasher ] || ---------------- || Good quality. Installation was great. Removal of the old unit is appreciated. The dishwasher is running right now. I'm pleased.,[ Dishwasher ] || ---------------- || Good quality. Installation was great. Removal of the old unit is appreciated. The dishwasher is running right now. I'm pleased.,,,5.0
24-02-02,58449195,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Positive,,,I'm pleased.,[ Dishwasher ] || ---------------- || Good quality. Installation was great. Removal of the old unit is appreciated. The dishwasher is running right now. I'm pleased.,[ Dishwasher ] || ---------------- || Good quality. Installation was great. Removal of the old unit is appreciated. The dishwasher is running right now. I'm pleased.,,,5.0
24-02-02,58449204,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Positive,use,,Zero complaints.,"[ So effective, and so quiet ] || ---------------- || Zero complaints. Install was seamless. Cleans SO MUCH better than our old machine. And it runs so quiet! No problem watching TV in the next room - or trying to sleep when it runs overnight. So much happier!","[ So effective, and so quiet ] || ---------------- || Zero complaints.  Install was seamless.  Cleans SO MUCH better than our old machine.  And it runs so quiet!  No problem watching TV in the next room - or trying to sleep when it runs overnight.  So much happier!",,,5.0
24-02-02,58449204,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Positive,onboard,Delivery_Installation,Install was seamless.,"[ So effective, and so quiet ] || ---------------- || Zero complaints. Install was seamless. Cleans SO MUCH better than our old machine. And it runs so quiet! No problem watching TV in the next room - or trying to sleep when it runs overnight. So much happier!","[ So effective, and so quiet ] || ---------------- || Zero complaints.  Install was seamless.  Cleans SO MUCH better than our old machine.  And it runs so quiet!  No problem watching TV in the next room - or trying to sleep when it runs overnight.  So much happier!",,,5.0
24-02-02,58449204,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Positive,use,Performance_Washing,Cleans SO MUCH better than our old machine.,"[ So effective, and so quiet ] || ---------------- || Zero complaints. Install was seamless. Cleans SO MUCH better than our old machine. And it runs so quiet! No problem watching TV in the next room - or trying to sleep when it runs overnight. So much happier!","[ So effective, and so quiet ] || ---------------- || Zero complaints.  Install was seamless.  Cleans SO MUCH better than our old machine.  And it runs so quiet!  No problem watching TV in the next room - or trying to sleep when it runs overnight.  So much happier!",,,5.0
24-02-02,58449204,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Positive,use,Noise_Vibration,And it runs so quiet!,"[ So effective, and so quiet ] || ---------------- || Zero complaints. Install was seamless. Cleans SO MUCH better than our old machine. And it runs so quiet! No problem watching TV in the next room - or trying to sleep when it runs overnight. So much happier!","[ So effective, and so quiet ] || ---------------- || Zero complaints.  Install was seamless.  Cleans SO MUCH better than our old machine.  And it runs so quiet!  No problem watching TV in the next room - or trying to sleep when it runs overnight.  So much happier!",,,5.0
24-02-02,58449204,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Positive,use,,No problem watching TV in the next room - or trying to sleep when it runs overnight.,"[ So effective, and so quiet ] || ---------------- || Zero complaints. Install was seamless. Cleans SO MUCH better than our old machine. And it runs so quiet! No problem watching TV in the next room - or trying to sleep when it runs overnight. So much happier!","[ So effective, and so quiet ] || ---------------- || Zero complaints.  Install was seamless.  Cleans SO MUCH better than our old machine.  And it runs so quiet!  No problem watching TV in the next room - or trying to sleep when it runs overnight.  So much happier!",,,5.0
24-02-02,58449204,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Positive,,,So much happier!,"[ So effective, and so quiet ] || ---------------- || Zero complaints. Install was seamless. Cleans SO MUCH better than our old machine. And it runs so quiet! No problem watching TV in the next room - or trying to sleep when it runs overnight. So much happier!","[ So effective, and so quiet ] || ---------------- || Zero complaints.  Install was seamless.  Cleans SO MUCH better than our old machine.  And it runs so quiet!  No problem watching TV in the next room - or trying to sleep when it runs overnight.  So much happier!",,,5.0
24-02-02,58449210,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Positive,use,,I love my Kitchenaid dishwasher.,[ Kitchenaid Dishwasher Awesome! ] || ---------------- || I love my Kitchenaid dishwasher. I think its the best dishwasher I've probably ever had. Never had this brand before. Wish I would have gotten one sooner. Had nothing but problems with last two dishwashers (another brand) neither held up but a few years as well. Hopefully this Kitchenaid will last longer. It sure cleans & dries disher good. And quiet. If it does thats it only Kitchenaid from now on.,[ Kitchenaid Dishwasher Awesome! ] || ---------------- || I love my Kitchenaid dishwasher. I think its the best dishwasher I've probably ever had. Never had this brand before. Wish I would have gotten one sooner. Had nothing but problems with last two dishwashers (another brand) neither held up but a few years as well. Hopefully this Kitchenaid will last longer. It sure cleans & dries disher good. And quiet. If it does thats it only Kitchenaid from now on.,,,5.0
24-02-02,58449210,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Very Positive,use,,I think its the best dishwasher I've probably ever had.,[ Kitchenaid Dishwasher Awesome! ] || ---------------- || I love my Kitchenaid dishwasher. I think its the best dishwasher I've probably ever had. Never had this brand before. Wish I would have gotten one sooner. Had nothing but problems with last two dishwashers (another brand) neither held up but a few years as well. Hopefully this Kitchenaid will last longer. It sure cleans & dries disher good. And quiet. If it does thats it only Kitchenaid from now on.,[ Kitchenaid Dishwasher Awesome! ] || ---------------- || I love my Kitchenaid dishwasher. I think its the best dishwasher I've probably ever had. Never had this brand before. Wish I would have gotten one sooner. Had nothing but problems with last two dishwashers (another brand) neither held up but a few years as well. Hopefully this Kitchenaid will last longer. It sure cleans & dries disher good. And quiet. If it does thats it only Kitchenaid from now on.,,,5.0
24-02-02,58449210,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Neutral,,,Never had this brand before.,[ Kitchenaid Dishwasher Awesome! ] || ---------------- || I love my Kitchenaid dishwasher. I think its the best dishwasher I've probably ever had. Never had this brand before. Wish I would have gotten one sooner. Had nothing but problems with last two dishwashers (another brand) neither held up but a few years as well. Hopefully this Kitchenaid will last longer. It sure cleans & dries disher good. And quiet. If it does thats it only Kitchenaid from now on.,[ Kitchenaid Dishwasher Awesome! ] || ---------------- || I love my Kitchenaid dishwasher. I think its the best dishwasher I've probably ever had. Never had this brand before. Wish I would have gotten one sooner. Had nothing but problems with last two dishwashers (another brand) neither held up but a few years as well. Hopefully this Kitchenaid will last longer. It sure cleans & dries disher good. And quiet. If it does thats it only Kitchenaid from now on.,,,5.0
24-02-02,58449210,dw,front_control,KITCHENAID,KDFM404KBS_KDFM404KPS,KDFM404KBS_KDFM404KPS,,us,retail,bestbuy,,Neutral,,Delivery_Installation,Wish I would have gotten one sooner.,[ Kitchenaid Dishwasher Awesome! ] || ---------------- || I love my Kitchenaid dishwasher. I think its the best dishwasher I've probably ever had. Never had this brand before. Wish I would have gotten one sooner. Had nothing but problems with last two dishwashers (another brand) neither held up but a few years as well. Hopefully this Kitchenaid will last longer. It sure cleans & dries disher good. And quiet. If it does thats it only Kitchenaid from now on.,[ Kitchenaid Dishwasher Awesome! ] || ---------------- || I love my Kitchenaid dishwasher. I think its the best dishwasher I've probably ever had. Never had this brand before. Wish I would have gotten one sooner. Had nothing but problems with last two dishwashers (another brand) neither held up but a few years as well. Hopefully this Kitchenaid will last longer. It sure cleans & dries disher good. And quiet. If it does thats it only Kitchenaid from now on.,,,5.0
