Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
24-01-18,58379172,dw,top_control,BOSCH,300_series,SHS53CM5N,,ci,retail,thebrick,,Very Positive,,,this is the best one yet.,[ Great dishwasher! ] || ---------------- || bought this one to replace a previous Bosch. this is the best one yet. really like the 1 hour cycle and the third rack for cutlery.,[ Great dishwasher! ] || ---------------- || bought this one to replace a previous Bosch. this is the best one yet. really like the 1 hour cycle and the third rack for cutlery.,,,5.0
24-01-18,58379172,dw,top_control,BOSCH,300_series,SHS53CM5N,,ci,retail,thebrick,,Positive,use,Easy_Use,really like the 1 hour cycle and the third rack for cutlery.,[ Great dishwasher! ] || ---------------- || bought this one to replace a previous Bosch. this is the best one yet. really like the 1 hour cycle and the third rack for cutlery.,[ Great dishwasher! ] || ---------------- || bought this one to replace a previous Bosch. this is the best one yet. really like the 1 hour cycle and the third rack for cutlery.,,,5.0
24-01-18,58405906,dw,top_control,WHIRLPOOL,WDTA50SAKW,WDTA50SAKW,,us,retail,lowes,,Neutral,,,(This review was collected as part of a promotion.),[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware. Everything comes out shining. Very impressed. Would recommend.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware.  Everything comes out shining.  Very impressed. Would recommend.,,,5.0
24-01-18,58405906,dw,top_control,WHIRLPOOL,WDTA50SAKW,WDTA50SAKW,,us,retail,lowes,,Positive,use,,Extremely happy with our new dishwasher.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware. Everything comes out shining. Very impressed. Would recommend.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware.  Everything comes out shining.  Very impressed. Would recommend.,,,5.0
24-01-18,58405906,dw,top_control,WHIRLPOOL,WDTA50SAKW,WDTA50SAKW,,us,retail,lowes,,Positive,use,Noise_Vibration,Very quiet.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware. Everything comes out shining. Very impressed. Would recommend.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware.  Everything comes out shining.  Very impressed. Would recommend.,,,5.0
24-01-18,58405906,dw,top_control,WHIRLPOOL,WDTA50SAKW,WDTA50SAKW,,us,retail,lowes,,Positive,use,Easy_Use,Husband loves the top rack for silverware.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware. Everything comes out shining. Very impressed. Would recommend.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware.  Everything comes out shining.  Very impressed. Would recommend.,,,5.0
24-01-18,58405906,dw,top_control,WHIRLPOOL,WDTA50SAKW,WDTA50SAKW,,us,retail,lowes,,Positive,use,Performance_Washing,Everything comes out shining.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware. Everything comes out shining. Very impressed. Would recommend.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware.  Everything comes out shining.  Very impressed. Would recommend.,,,5.0
24-01-18,58405906,dw,top_control,WHIRLPOOL,WDTA50SAKW,WDTA50SAKW,,us,retail,lowes,,Positive,,,Very impressed.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware. Everything comes out shining. Very impressed. Would recommend.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware.  Everything comes out shining.  Very impressed. Would recommend.,,,5.0
24-01-18,58405906,dw,top_control,WHIRLPOOL,WDTA50SAKW,WDTA50SAKW,,us,retail,lowes,,Very Positive,use,,Would recommend.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware. Everything comes out shining. Very impressed. Would recommend.,[ Great dishwasher ] || ---------------- || (This review was collected as part of a promotion.) Extremely happy with our new dishwasher. Very quiet. Husband loves the top rack for silverware.  Everything comes out shining.  Very impressed. Would recommend.,,,5.0
24-01-18,58406773,dw,top_control,BOSCH,500_series,SHP65CM5N,,ci,retail,thebrick,,Positive,"purchase,use",Performance_Washing,"I recently purchased this dishwasher, and I couldn't be happier with its performance.","[ Amazing dishwasher ] || ---------------- || I recently purchased this dishwasher, and I couldn't be happier with its performance. The cleaning results are outstanding – my dishes come out sparkling clean every time. The efficiency of this appliance is truly impressive, saving both water and energy.The design is not only sleek but also functional, with well-thought-out racks that maximize space and allow for easy loading and unloading. The different wash cycle options cater to various needs, ensuring flexibility for different types of loads.What sets this dishwasher apart is its quiet operation. I barely notice it running, even during the night. The user-friendly interface makes selecting cycles a breeze, and the delayed start feature adds an extra layer of convenience.Overall, I highly recommend this dishwasher to anyone seeking top-notch cleaning performance, efficiency, and a user-friendly experience. It has exceeded my expectations, making kitchen cleanup a breeze!","[ Amazing dishwasher ] || ---------------- || I recently purchased this dishwasher, and I couldn't be happier with its performance. The cleaning results are outstanding – my dishes come out sparkling clean every time. The efficiency of this appliance is truly impressive, saving both water and energy.The design is not only sleek but also functional, with well-thought-out racks that maximize space and allow for easy loading and unloading. The different wash cycle options cater to various needs, ensuring flexibility for different types of loads.What sets this dishwasher apart is its quiet operation. I barely notice it running, even during the night. The user-friendly interface makes selecting cycles a breeze, and the delayed start feature adds an extra layer of convenience.Overall, I highly recommend this dishwasher to anyone seeking top-notch cleaning performance, efficiency, and a user-friendly experience. It has exceeded my expectations, making kitchen cleanup a breeze!",,,5.0
24-01-18,58406773,dw,top_control,BOSCH,500_series,SHP65CM5N,,ci,retail,thebrick,,Positive,use,Performance_Washing,The cleaning results are outstanding – my dishes come out sparkling clean every time.,"[ Amazing dishwasher ] || ---------------- || I recently purchased this dishwasher, and I couldn't be happier with its performance. The cleaning results are outstanding – my dishes come out sparkling clean every time. The efficiency of this appliance is truly impressive, saving both water and energy.The design is not only sleek but also functional, with well-thought-out racks that maximize space and allow for easy loading and unloading. The different wash cycle options cater to various needs, ensuring flexibility for different types of loads.What sets this dishwasher apart is its quiet operation. I barely notice it running, even during the night. The user-friendly interface makes selecting cycles a breeze, and the delayed start feature adds an extra layer of convenience.Overall, I highly recommend this dishwasher to anyone seeking top-notch cleaning performance, efficiency, and a user-friendly experience. It has exceeded my expectations, making kitchen cleanup a breeze!","[ Amazing dishwasher ] || ---------------- || I recently purchased this dishwasher, and I couldn't be happier with its performance. The cleaning results are outstanding – my dishes come out sparkling clean every time. The efficiency of this appliance is truly impressive, saving both water and energy.The design is not only sleek but also functional, with well-thought-out racks that maximize space and allow for easy loading and unloading. The different wash cycle options cater to various needs, ensuring flexibility for different types of loads.What sets this dishwasher apart is its quiet operation. I barely notice it running, even during the night. The user-friendly interface makes selecting cycles a breeze, and the delayed start feature adds an extra layer of convenience.Overall, I highly recommend this dishwasher to anyone seeking top-notch cleaning performance, efficiency, and a user-friendly experience. It has exceeded my expectations, making kitchen cleanup a breeze!",,,5.0
