Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-11-03,76141233,dw,top_control,BOSCH,800_series,SHP78CM5N,,ci,retail,bestbuy_ca,,Positive,use,Performance_Drying,"My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection.","[ BEST DISHWASHER I HAVE EVER HAD!  ] || ---------------- || This is our 5th dishwasher we have had in our home within the past 28 years. My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection. I could not have asked for more. I recommend this dishwasher to anyone who is looking to purchase a new one. I wish I had known before how great this experience was going to be!","[ BEST DISHWASHER I HAVE EVER HAD!!! ] || ---------------- || [This review was collected as part of a promotion.] This is our 5th dishwasher we have had in our home within the past 28 years. My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection. I could not have asked for more.I recommend this dishwasher to anyone who is looking to purchase a new one. I wish I had known before how great this experience was going to be!",Not verified,Originally posted on bosch-home.com,5.0
25-11-03,76141233,dw,top_control,BOSCH,800_series,SHP78CM5N,,ci,retail,bestbuy_ca,,Positive,use,Performance_Washing,"My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection.","[ BEST DISHWASHER I HAVE EVER HAD!  ] || ---------------- || This is our 5th dishwasher we have had in our home within the past 28 years. My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection. I could not have asked for more. I recommend this dishwasher to anyone who is looking to purchase a new one. I wish I had known before how great this experience was going to be!","[ BEST DISHWASHER I HAVE EVER HAD!!! ] || ---------------- || [This review was collected as part of a promotion.] This is our 5th dishwasher we have had in our home within the past 28 years. My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection. I could not have asked for more.I recommend this dishwasher to anyone who is looking to purchase a new one. I wish I had known before how great this experience was going to be!",Not verified,Originally posted on bosch-home.com,5.0
25-11-03,76141233,dw,top_control,BOSCH,800_series,SHP78CM5N,,ci,retail,bestbuy_ca,,Neutral,,,I could not have asked for more.,"[ BEST DISHWASHER I HAVE EVER HAD!  ] || ---------------- || This is our 5th dishwasher we have had in our home within the past 28 years. My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection. I could not have asked for more. I recommend this dishwasher to anyone who is looking to purchase a new one. I wish I had known before how great this experience was going to be!","[ BEST DISHWASHER I HAVE EVER HAD!!! ] || ---------------- || [This review was collected as part of a promotion.] This is our 5th dishwasher we have had in our home within the past 28 years. My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection. I could not have asked for more.I recommend this dishwasher to anyone who is looking to purchase a new one. I wish I had known before how great this experience was going to be!",Not verified,Originally posted on bosch-home.com,5.0
25-11-03,76141233,dw,top_control,BOSCH,800_series,SHP78CM5N,,ci,retail,bestbuy_ca,,Very Positive,use,,I recommend this dishwasher to anyone who is looking to purchase a new one.,"[ BEST DISHWASHER I HAVE EVER HAD!  ] || ---------------- || This is our 5th dishwasher we have had in our home within the past 28 years. My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection. I could not have asked for more. I recommend this dishwasher to anyone who is looking to purchase a new one. I wish I had known before how great this experience was going to be!","[ BEST DISHWASHER I HAVE EVER HAD!!! ] || ---------------- || [This review was collected as part of a promotion.] This is our 5th dishwasher we have had in our home within the past 28 years. My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection. I could not have asked for more.I recommend this dishwasher to anyone who is looking to purchase a new one. I wish I had known before how great this experience was going to be!",Not verified,Originally posted on bosch-home.com,5.0
25-11-03,76141233,dw,top_control,BOSCH,800_series,SHP78CM5N,,ci,retail,bestbuy_ca,,Positive,,,I wish I had known before how great this experience was going to be!,"[ BEST DISHWASHER I HAVE EVER HAD!  ] || ---------------- || This is our 5th dishwasher we have had in our home within the past 28 years. My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection. I could not have asked for more. I recommend this dishwasher to anyone who is looking to purchase a new one. I wish I had known before how great this experience was going to be!","[ BEST DISHWASHER I HAVE EVER HAD!!! ] || ---------------- || [This review was collected as part of a promotion.] This is our 5th dishwasher we have had in our home within the past 28 years. My new Bosch dishwasher is incredibly quiet, all dishes come out squeeky clean, and all plastic dries to perfection. I could not have asked for more.I recommend this dishwasher to anyone who is looking to purchase a new one. I wish I had known before how great this experience was going to be!",Not verified,Originally posted on bosch-home.com,5.0
25-11-03,76172206,dw,top_control,BOSCH,300_series,SHS53CM5N,,ci,retail,bestbuy_ca,,Neutral,,,(This review was collected as part of a promotion.),[ so far so good ] || ---------------- || (This review was collected as part of a promotion.) just installed. looks great so far,[ so far so good ] || ---------------- || (This review was collected as part of a promotion.) just installed. looks great so far,Not verified,Originally posted on bosch-home.com,5.0
25-11-03,76172206,dw,top_control,BOSCH,300_series,SHS53CM5N,,ci,retail,bestbuy_ca,,Neutral,onboard,Delivery_Installation,just installed.,[ so far so good ] || ---------------- || (This review was collected as part of a promotion.) just installed. looks great so far,[ so far so good ] || ---------------- || (This review was collected as part of a promotion.) just installed. looks great so far,Not verified,Originally posted on bosch-home.com,5.0
25-11-03,76172206,dw,top_control,BOSCH,300_series,SHS53CM5N,,ci,retail,bestbuy_ca,,Positive,use,Design,looks great so far,[ so far so good ] || ---------------- || (This review was collected as part of a promotion.) just installed. looks great so far,[ so far so good ] || ---------------- || (This review was collected as part of a promotion.) just installed. looks great so far,Not verified,Originally posted on bosch-home.com,5.0
25-11-03,76149278,dw,front_control,BOSCH,300_series,SHE53B75UC,,ci,retail,bestbuy_ca,,Neutral,,,(This review was collected as part of a promotion.),[ Perfect choice ] || ---------------- || (This review was collected as part of a promotion.) I like the control panel at front that shows settings and length of time remaining in cycle. Our previous Bosch had hidden controls and didn't show time remaining. Very very quiet. Like the third rack for utensils. Doesn't dry completely like our old one but we'll enough,[ Perfect choice ] || ---------------- || (This review was collected as part of a promotion.) I like the control panel at front that shows settings and length of time remaining in cycle. Our previous Bosch had hidden controls and didn't show time remaining.  Very very quiet. Like the third rack for utensils. Doesn't dry completely like our old one but we'll enough,Not verified,Originally posted on bosch-home.com,5.0
25-11-03,76149278,dw,front_control,BOSCH,300_series,SHE53B75UC,,ci,retail,bestbuy_ca,,Positive,use,Easy_Use,I like the control panel at front that shows settings and length of time remaining in cycle.,[ Perfect choice ] || ---------------- || (This review was collected as part of a promotion.) I like the control panel at front that shows settings and length of time remaining in cycle. Our previous Bosch had hidden controls and didn't show time remaining. Very very quiet. Like the third rack for utensils. Doesn't dry completely like our old one but we'll enough,[ Perfect choice ] || ---------------- || (This review was collected as part of a promotion.) I like the control panel at front that shows settings and length of time remaining in cycle. Our previous Bosch had hidden controls and didn't show time remaining.  Very very quiet. Like the third rack for utensils. Doesn't dry completely like our old one but we'll enough,Not verified,Originally posted on bosch-home.com,5.0
25-11-03,76149278,dw,front_control,BOSCH,300_series,SHE53B75UC,,ci,retail,bestbuy_ca,,Neutral,,Easy_Use,Our previous Bosch had hidden controls and didn't show time remaining.,[ Perfect choice ] || ---------------- || (This review was collected as part of a promotion.) I like the control panel at front that shows settings and length of time remaining in cycle. Our previous Bosch had hidden controls and didn't show time remaining. Very very quiet. Like the third rack for utensils. Doesn't dry completely like our old one but we'll enough,[ Perfect choice ] || ---------------- || (This review was collected as part of a promotion.) I like the control panel at front that shows settings and length of time remaining in cycle. Our previous Bosch had hidden controls and didn't show time remaining.  Very very quiet. Like the third rack for utensils. Doesn't dry completely like our old one but we'll enough,Not verified,Originally posted on bosch-home.com,5.0
