Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-08-05,73612069,dw,front_control,BOSCH,SMS6HCB01A,SMS6HCB01A,ASIA,au,retail,thegoodguys,,Positive,use,Noise_Vibration,Barely know its running and it cleans really really well.,[ So very quiet ] || ---------------- || Sshhhhh should be the description. Barely know its running and it cleans really really well. Looks stunning as well,[ So very quiet ] || ---------------- || Sshhhhh should be the description. Barely know its running and it cleans really really well. Looks stunning as well,Verified,,5.0
25-08-05,73612069,dw,front_control,BOSCH,SMS6HCB01A,SMS6HCB01A,ASIA,au,retail,thegoodguys,,Positive,use,Performance_Washing,Barely know its running and it cleans really really well.,[ So very quiet ] || ---------------- || Sshhhhh should be the description. Barely know its running and it cleans really really well. Looks stunning as well,[ So very quiet ] || ---------------- || Sshhhhh should be the description. Barely know its running and it cleans really really well. Looks stunning as well,Verified,,5.0
25-08-05,73612069,dw,front_control,BOSCH,SMS6HCB01A,SMS6HCB01A,ASIA,au,retail,thegoodguys,,Positive,use,Design,Looks stunning as well,[ So very quiet ] || ---------------- || Sshhhhh should be the description. Barely know its running and it cleans really really well. Looks stunning as well,[ So very quiet ] || ---------------- || Sshhhhh should be the description. Barely know its running and it cleans really really well. Looks stunning as well,Verified,,5.0
25-08-05,73612248,dw,front_control,BOSCH,4_series,SMS4HVB01A,ASIA,au,retail,thegoodguys,,Positive,use,,Great product Love it!,[ Best Dishwasher Ever ] || ---------------- || Great product Love it!,[ Best Dishwasher Ever ] || ---------------- || Great  product Love it!,Verified,,5.0
25-08-05,73612482,dw,front_control,BOSCH,2_series,SMS24AI01A,ASIA,au,retail,thegoodguys,,Positive,use,Noise_Vibration,"Washes great, not that quiet, and dries dishes but not plastic.","[ Good ] || ---------------- || Washes great, not that quiet, and dries dishes but not plastic. Overall great buy for the price.","[ Good ] || ---------------- || Washes great, not that quiet, and dries dishes but not plastic. Overall great buy for the price.",Verified,,4.0
25-08-05,73612482,dw,front_control,BOSCH,2_series,SMS24AI01A,ASIA,au,retail,thegoodguys,,Positive,use,Performance_Drying,"Washes great, not that quiet, and dries dishes but not plastic.","[ Good ] || ---------------- || Washes great, not that quiet, and dries dishes but not plastic. Overall great buy for the price.","[ Good ] || ---------------- || Washes great, not that quiet, and dries dishes but not plastic. Overall great buy for the price.",Verified,,4.0
25-08-05,73612482,dw,front_control,BOSCH,2_series,SMS24AI01A,ASIA,au,retail,thegoodguys,,Positive,use,Performance_Washing,"Washes great, not that quiet, and dries dishes but not plastic.","[ Good ] || ---------------- || Washes great, not that quiet, and dries dishes but not plastic. Overall great buy for the price.","[ Good ] || ---------------- || Washes great, not that quiet, and dries dishes but not plastic. Overall great buy for the price.",Verified,,4.0
25-08-05,73612482,dw,front_control,BOSCH,2_series,SMS24AI01A,ASIA,au,retail,thegoodguys,,Positive,purchase,Price,Overall great buy for the price.,"[ Good ] || ---------------- || Washes great, not that quiet, and dries dishes but not plastic. Overall great buy for the price.","[ Good ] || ---------------- || Washes great, not that quiet, and dries dishes but not plastic. Overall great buy for the price.",Verified,,4.0
25-08-05,73613095,dw,front_control,BOSCH,8_series,SMS8TCI04E,EU,es,retail,bosch_home_es,,Positive,use,Noise_Vibration,"My second Bosch dishwasher, very happy with the results of the dishes and the drying, super intelligent and very quiet program.","[ finally a good dishwasher ] || ---------------- || My second Bosch dishwasher, very happy with the results of the dishes and the drying, super intelligent and very quiet program.",[ enfin un bon lave vaisselle ] || ---------------- || mon deuxième lave vaisselle bosch très content du résultat de la vaisselle et du séchage super programme intelligent et très silencieux,Not verified,,5.0
25-08-05,73613095,dw,front_control,BOSCH,8_series,SMS8TCI04E,EU,es,retail,bosch_home_es,,Positive,use,Performance_Drying,"My second Bosch dishwasher, very happy with the results of the dishes and the drying, super intelligent and very quiet program.","[ finally a good dishwasher ] || ---------------- || My second Bosch dishwasher, very happy with the results of the dishes and the drying, super intelligent and very quiet program.",[ enfin un bon lave vaisselle ] || ---------------- || mon deuxième lave vaisselle bosch très content du résultat de la vaisselle et du séchage super programme intelligent et très silencieux,Not verified,,5.0
25-08-05,73613937,dw,top_control,BOSCH,800_series,SHP78CM5N,,us,retail,bosch_home_us,,Positive,use,,This is an excellent dishwasher.,[ Excellent Dishwasher ] || ---------------- || This is an excellent dishwasher. We have owned Bosch dishwashers in the past and have not been disappointed. This was a replacement for the 6-month old dishwasher that our builder installed in our new home. Their dishwasher left dried-on food and residue on our dishes. The Bosch did a perfect job from day one - and is whisper quiet.,[ Excellent Dishwasher ] || ---------------- || This is an excellent dishwasher.  We have owned Bosch dishwashers in the past and have not been disappointed.  This was a replacement for the 6-month old dishwasher that our builder installed in our new home.  Their dishwasher left dried-on food and residue on our dishes.  The Bosch did a perfect job from day one - and is whisper quiet.,Not verified,,5.0
