Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-06-12,72400596,dw,builtin,SAMSUNG,BESPOKE,DW80F75L1U01,ASIA,kr,retail,naver_shop,,Positive,use,Design,It has better storage and the design is really pretty.,"[ I chose it because I thought it would go well with the sink in the house I moved into. I used to use an L* dishwasher, but I changed it, and it has better storage and the design is really pretty. It is also quiet when it operates~ If there is a 15cm mop holder, it is really ] || ---------------- || I chose this because I thought it would go well with the sink in the house I moved into. I used to use an L* dishwasher, but I changed it. It has better storage and the design is really pretty. It’s also quiet when it’s working. It would be perfect if there was a 15cm mop holder.",[ 이사온 집싱크대랑 잘어울릴것 같아서 선택했습니다. 엘*식세기 쓰다가 바꿨는데 수납이 더잘되고 디자인이 넘사로 예쁩니다. 작동할때 소리도 조용조용해요~ 걸레받이 15cm가 있으면 진 ] || ---------------- || 이사온 집싱크대랑 잘어울릴것 같아서 선택했습니다. 엘*식세기 쓰다가 바꿨는데 수납이 더잘되고 디자인이 넘사로 예쁩니다. 작동할때 소리도 조용조용해요~ 걸레받이 15cm가 있으면 진짜 완벽할듯 합니다.,Not verified,,5.0
25-06-12,72400596,dw,builtin,SAMSUNG,BESPOKE,DW80F75L1U01,ASIA,kr,retail,naver_shop,,Positive,use,Noise_Vibration,It’s also quiet when it’s working.,"[ I chose it because I thought it would go well with the sink in the house I moved into. I used to use an L* dishwasher, but I changed it, and it has better storage and the design is really pretty. It is also quiet when it operates~ If there is a 15cm mop holder, it is really ] || ---------------- || I chose this because I thought it would go well with the sink in the house I moved into. I used to use an L* dishwasher, but I changed it. It has better storage and the design is really pretty. It’s also quiet when it’s working. It would be perfect if there was a 15cm mop holder.",[ 이사온 집싱크대랑 잘어울릴것 같아서 선택했습니다. 엘*식세기 쓰다가 바꿨는데 수납이 더잘되고 디자인이 넘사로 예쁩니다. 작동할때 소리도 조용조용해요~ 걸레받이 15cm가 있으면 진 ] || ---------------- || 이사온 집싱크대랑 잘어울릴것 같아서 선택했습니다. 엘*식세기 쓰다가 바꿨는데 수납이 더잘되고 디자인이 넘사로 예쁩니다. 작동할때 소리도 조용조용해요~ 걸레받이 15cm가 있으면 진짜 완벽할듯 합니다.,Not verified,,5.0
25-06-12,72400596,dw,builtin,SAMSUNG,BESPOKE,DW80F75L1U01,ASIA,kr,retail,naver_shop,,Neutral,use,Design,It would be perfect if there was a 15cm mop holder.,"[ I chose it because I thought it would go well with the sink in the house I moved into. I used to use an L* dishwasher, but I changed it, and it has better storage and the design is really pretty. It is also quiet when it operates~ If there is a 15cm mop holder, it is really ] || ---------------- || I chose this because I thought it would go well with the sink in the house I moved into. I used to use an L* dishwasher, but I changed it. It has better storage and the design is really pretty. It’s also quiet when it’s working. It would be perfect if there was a 15cm mop holder.",[ 이사온 집싱크대랑 잘어울릴것 같아서 선택했습니다. 엘*식세기 쓰다가 바꿨는데 수납이 더잘되고 디자인이 넘사로 예쁩니다. 작동할때 소리도 조용조용해요~ 걸레받이 15cm가 있으면 진 ] || ---------------- || 이사온 집싱크대랑 잘어울릴것 같아서 선택했습니다. 엘*식세기 쓰다가 바꿨는데 수납이 더잘되고 디자인이 넘사로 예쁩니다. 작동할때 소리도 조용조용해요~ 걸레받이 15cm가 있으면 진짜 완벽할듯 합니다.,Not verified,,5.0
25-06-12,72400986,dw,builtin,SAMSUNG,BESPOKE,DW80F71Y1UEW,ASIA,kr,retail,naver_shop,,Positive,onboard,Delivery_Installation,"I am satisfied with everything from purchase to installation :) First of all, the installer was very kind, detailed, and thorough!","[ I am satisfied with everything from purchase to installation:) First of all, the installer was very kind, meticulous, and thorough! I want to say that it was the best service experience I have ever had! I used the dishwasher for the first time today. ] || ---------------- || I am satisfied with everything from purchase to installation :) First of all, the installer was very kind, detailed, and thorough! I want to say that it was the best service experience I have ever had! I used the dishwasher for the first time today, and it is very quiet and the cleaning power is good~. I switched from using a Cuckoo dishwasher, and I am very satisfied.",[ 구매하고 설치까지 모두 만족입니다:)일단 설치 기사님 너무 친절하시고 섬세하시고 꼼꼼하세요!! 제가 여지껏 서비스 받아본 경험중 최고였다고 말하고 싶어요! 오늘 첨 식세기 돌려봤는 ] || ---------------- || 구매하고 설치까지 모두 만족입니다:)일단 설치 기사님 너무 친절하시고 섬세하시고 꼼꼼하세요!! 제가 여지껏 서비스 받아본 경험중 최고였다고 말하고 싶어요! 오늘 첨 식세기 돌려봤는데 소리도 넘 조용하고 세척력도 좋네요~ 쿠쿠 식세기 쓰다가 넘어왔는데 핵 만족입니다,Not verified,,5.0
25-06-12,72400986,dw,builtin,SAMSUNG,BESPOKE,DW80F71Y1UEW,ASIA,kr,retail,naver_shop,,Very Positive,,Service,I want to say that it was the best service experience I have ever had!,"[ I am satisfied with everything from purchase to installation:) First of all, the installer was very kind, meticulous, and thorough! I want to say that it was the best service experience I have ever had! I used the dishwasher for the first time today. ] || ---------------- || I am satisfied with everything from purchase to installation :) First of all, the installer was very kind, detailed, and thorough! I want to say that it was the best service experience I have ever had! I used the dishwasher for the first time today, and it is very quiet and the cleaning power is good~. I switched from using a Cuckoo dishwasher, and I am very satisfied.",[ 구매하고 설치까지 모두 만족입니다:)일단 설치 기사님 너무 친절하시고 섬세하시고 꼼꼼하세요!! 제가 여지껏 서비스 받아본 경험중 최고였다고 말하고 싶어요! 오늘 첨 식세기 돌려봤는 ] || ---------------- || 구매하고 설치까지 모두 만족입니다:)일단 설치 기사님 너무 친절하시고 섬세하시고 꼼꼼하세요!! 제가 여지껏 서비스 받아본 경험중 최고였다고 말하고 싶어요! 오늘 첨 식세기 돌려봤는데 소리도 넘 조용하고 세척력도 좋네요~ 쿠쿠 식세기 쓰다가 넘어왔는데 핵 만족입니다,Not verified,,5.0
25-06-12,72400986,dw,builtin,SAMSUNG,BESPOKE,DW80F71Y1UEW,ASIA,kr,retail,naver_shop,,Positive,use,Noise_Vibration,"I used the dishwasher for the first time today, and it is very quiet and the cleaning power is good~. I switched from using a Cuckoo dishwasher, and I am very satisfied.","[ I am satisfied with everything from purchase to installation:) First of all, the installer was very kind, meticulous, and thorough! I want to say that it was the best service experience I have ever had! I used the dishwasher for the first time today. ] || ---------------- || I am satisfied with everything from purchase to installation :) First of all, the installer was very kind, detailed, and thorough! I want to say that it was the best service experience I have ever had! I used the dishwasher for the first time today, and it is very quiet and the cleaning power is good~. I switched from using a Cuckoo dishwasher, and I am very satisfied.",[ 구매하고 설치까지 모두 만족입니다:)일단 설치 기사님 너무 친절하시고 섬세하시고 꼼꼼하세요!! 제가 여지껏 서비스 받아본 경험중 최고였다고 말하고 싶어요! 오늘 첨 식세기 돌려봤는 ] || ---------------- || 구매하고 설치까지 모두 만족입니다:)일단 설치 기사님 너무 친절하시고 섬세하시고 꼼꼼하세요!! 제가 여지껏 서비스 받아본 경험중 최고였다고 말하고 싶어요! 오늘 첨 식세기 돌려봤는데 소리도 넘 조용하고 세척력도 좋네요~ 쿠쿠 식세기 쓰다가 넘어왔는데 핵 만족입니다,Not verified,,5.0
25-06-12,72400986,dw,builtin,SAMSUNG,BESPOKE,DW80F71Y1UEW,ASIA,kr,retail,naver_shop,,Positive,use,Performance_Washing,"I used the dishwasher for the first time today, and it is very quiet and the cleaning power is good~. I switched from using a Cuckoo dishwasher, and I am very satisfied.","[ I am satisfied with everything from purchase to installation:) First of all, the installer was very kind, meticulous, and thorough! I want to say that it was the best service experience I have ever had! I used the dishwasher for the first time today. ] || ---------------- || I am satisfied with everything from purchase to installation :) First of all, the installer was very kind, detailed, and thorough! I want to say that it was the best service experience I have ever had! I used the dishwasher for the first time today, and it is very quiet and the cleaning power is good~. I switched from using a Cuckoo dishwasher, and I am very satisfied.",[ 구매하고 설치까지 모두 만족입니다:)일단 설치 기사님 너무 친절하시고 섬세하시고 꼼꼼하세요!! 제가 여지껏 서비스 받아본 경험중 최고였다고 말하고 싶어요! 오늘 첨 식세기 돌려봤는 ] || ---------------- || 구매하고 설치까지 모두 만족입니다:)일단 설치 기사님 너무 친절하시고 섬세하시고 꼼꼼하세요!! 제가 여지껏 서비스 받아본 경험중 최고였다고 말하고 싶어요! 오늘 첨 식세기 돌려봤는데 소리도 넘 조용하고 세척력도 좋네요~ 쿠쿠 식세기 쓰다가 넘어왔는데 핵 만족입니다,Not verified,,5.0
25-06-12,72400987,dw,builtin,SAMSUNG,BESPOKE,DW80F71Y1UEW,ASIA,kr,retail,naver_shop,,Positive,use,Design,The product itself matches the furniture very well.,"[ The product itself matches the furniture very well. I haven't used it yet, but I believe it will perform as expected. ] || ---------------- || The product itself matches the furniture very well. I haven't used it yet, but I believe it will perform as expected.","[ 제품자체가 가구들과 너무 잘 어울려요. 아직사용전이지만, 기대한 성능일거라 믿습니다 ㅎㅎ ] || ---------------- || 제품자체가 가구들과 너무 잘 어울려요. 아직사용전이지만, 기대한 성능일거라 믿습니다 ㅎㅎ",Not verified,,5.0
25-06-12,72400987,dw,builtin,SAMSUNG,BESPOKE,DW80F71Y1UEW,ASIA,kr,retail,naver_shop,,Neutral,use,,"I haven't used it yet, but I believe it will perform as expected.","[ The product itself matches the furniture very well. I haven't used it yet, but I believe it will perform as expected. ] || ---------------- || The product itself matches the furniture very well. I haven't used it yet, but I believe it will perform as expected.","[ 제품자체가 가구들과 너무 잘 어울려요. 아직사용전이지만, 기대한 성능일거라 믿습니다 ㅎㅎ ] || ---------------- || 제품자체가 가구들과 너무 잘 어울려요. 아직사용전이지만, 기대한 성능일거라 믿습니다 ㅎㅎ",Not verified,,5.0
25-06-12,72400988,dw,builtin,SAMSUNG,BESPOKE,DW80F71Y1UEW,ASIA,kr,retail,naver_shop,,Positive,use,Easy_Use,I was using highlights and induction was so fast and good,[ I was using highlights and induction was so fast and good ] || ---------------- || I was using highlights and induction was so fast and good,[ 하이라이트 쓰다가 인덕션 너무 빠르고 좋넹ᆢㄷ ] || ---------------- || 하이라이트 쓰다가 인덕션 너무 빠르고 좋넹ᆢㄷ,Not verified,,5.0
25-06-12,72401311,dw,builtin,SAMSUNG,BESPOKE,DW80F73X1UEW,ASIA,kr,retail,naver_shop,,Positive,use,Performance_Washing,I like the dishwashing function and it's clean.,[ I like the dishwashing function and it's clean. ] || ---------------- || I like the dishwashing function and it's clean.,[ 식기세척기능이 맘에 들고 깔끔해요 ] || ---------------- || 식기세척기능이 맘에 들고 깔끔해요,Not verified,,5.0
25-06-12,72401312,dw,builtin,SAMSUNG,BESPOKE,DW80F73X1UEW,ASIA,kr,retail,naver_shop,,Positive,purchase,Price,I bought it at a good price.,[ I bought it at a good price. The installation was done neatly. I washed it and it worked very well. ] || ---------------- || I bought it at a good price. The installation was done neatly. I washed it and it worked very well.,[ 저렴하게 잘 구매 했습니다. 설치도 깔끔하게 잘 해주셨습니다. 세척 돌려봤는데 너무 잘 됩니다. ] || ---------------- || 저렴하게 잘 구매 했습니다. 설치도 깔끔하게 잘 해주셨습니다. 세척 돌려봤는데 너무 잘 됩니다.,Not verified,,5.0
