Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-05-05,71470685,dw,top_control,SAMSUNG,DW80R9950UT_DW80R9950UG_DW80R9950US,DW80R9950UT_DW80R9950UG_DW80R9950US,,us,retail,costco,,Negative,use,Performance_Washing,"Had the same model before, but this one doesn't clean as well.","[ Works Okay, Not Great ] || ---------------- || Had the same model before, but this one doesn't clean as well.","[ Works Okay, Not Great ] || ---------------- || Had the same model before, but this one doesn't clean as well.",Verified,,4.0
25-05-05,71470686,dw,top_control,SAMSUNG,DW80R9950UT_DW80R9950UG_DW80R9950US,DW80R9950UT_DW80R9950UG_DW80R9950US,,us,retail,costco,,Positive,use,Noise_Vibration,This unit is very quiet and cleans dishes fairly well.,"[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.",Verified,,2.0
25-05-05,71470686,dw,top_control,SAMSUNG,DW80R9950UT_DW80R9950UG_DW80R9950US,DW80R9950UT_DW80R9950UG_DW80R9950US,,us,retail,costco,,Positive,use,Performance_Washing,This unit is very quiet and cleans dishes fairly well.,"[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.",Verified,,2.0
25-05-05,71470686,dw,top_control,SAMSUNG,DW80R9950UT_DW80R9950UG_DW80R9950US,DW80R9950UT_DW80R9950UG_DW80R9950US,,us,retail,costco,,Neutral,use,Design,"That said, I wish we had the opportunity to see this unit in person before we selected it.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.",Verified,,2.0
25-05-05,71470686,dw,top_control,SAMSUNG,DW80R9950UT_DW80R9950UG_DW80R9950US,DW80R9950UT_DW80R9950UG_DW80R9950US,,us,retail,costco,,Negative,,Easy_Use,There are several issues that we are finding difficult to adjust to.,"[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.",Verified,,2.0
25-05-05,71470686,dw,top_control,SAMSUNG,DW80R9950UT_DW80R9950UG_DW80R9950US,DW80R9950UT_DW80R9950UG_DW80R9950US,,us,retail,costco,,Neutral,,Hygiene_Fresh,"First, it smells.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.",Verified,,2.0
25-05-05,71470686,dw,top_control,SAMSUNG,DW80R9950UT_DW80R9950UG_DW80R9950US,DW80R9950UT_DW80R9950UG_DW80R9950US,,us,retail,costco,,Negative,use,Hygiene_Fresh,"Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.",Verified,,2.0
25-05-05,71470686,dw,top_control,SAMSUNG,DW80R9950UT_DW80R9950UG_DW80R9950US,DW80R9950UT_DW80R9950UG_DW80R9950US,,us,retail,costco,,Negative,use,Easy_Use,"Second, the layout of the shelves does not allow stacking dishes in an efficient way.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.",Verified,,2.0
25-05-05,71470686,dw,top_control,SAMSUNG,DW80R9950UT_DW80R9950UG_DW80R9950US,DW80R9950UT_DW80R9950UG_DW80R9950US,,us,retail,costco,,Negative,use,Easy_Use,"Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.)","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.",Verified,,2.0
25-05-05,71470686,dw,top_control,SAMSUNG,DW80R9950UT_DW80R9950UG_DW80R9950US,DW80R9950UT_DW80R9950UG_DW80R9950US,,us,retail,costco,,Positive,use,Easy_Use,"In a perfect world, I would not order another dishwasher with the third shelf on top.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.",Verified,,2.0
25-05-05,71470686,dw,top_control,SAMSUNG,DW80R9950UT_DW80R9950UG_DW80R9950US,DW80R9950UT_DW80R9950UG_DW80R9950US,,us,retail,costco,,Negative,use,Easy_Use,"Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.","[ Not what we had hoped for ] || ---------------- || This unit is very quiet and cleans dishes fairly well. That said, I wish we had the opportunity to see this unit in person before we selected it. There are several issues that we are finding difficult to adjust to. First, it smells. Even though we regularly clean the trap, there is almost always a foul odor coming from the dishwasher. Second, the layout of the shelves does not allow stacking dishes in an efficient way. Having a third rack means that tall glasses in the middle rack hit the top shelf (and if you lower it, the plates on the bottom are hit by the rotor when it goes around.) In a perfect world, I would not order another dishwasher with the third shelf on top. Third, In terms of the layout of the grid on the bottom, there is too much open space between tines and so plates fall over in an odd way and bowl placement is challenging. If I had it to do again, I would pick a different unit.",Verified,,2.0
