Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-03-27,70627623,dw,front_control,BOSCH,4_series,SMS4EMW06E,EU,es,retail,bosch_home_es,,Positive,use,Easy_Use,"Efficient, quiet and easy to use","[ Efficient and silent ] || ---------------- || Efficient, quiet and easy to use","[ Eficiente y silencioso ] || ---------------- || Eficiente, silencioso y de fácil uso",Not verified,,4.0
25-03-27,70627623,dw,front_control,BOSCH,4_series,SMS4EMW06E,EU,es,retail,bosch_home_es,,Positive,use,Noise_Vibration,"Efficient, quiet and easy to use","[ Efficient and silent ] || ---------------- || Efficient, quiet and easy to use","[ Eficiente y silencioso ] || ---------------- || Eficiente, silencioso y de fácil uso",Not verified,,4.0
25-03-27,70627622,dw,front_control,BOSCH,4_series,SMS4EMW06E,EU,es,retail,bosch_home_es,,Positive,use,Noise_Vibration,Good product Very quiet,[ Genial ] || ---------------- || Good product Very quiet,[ Genial ] || ---------------- || Buen productoMuy silencioso,Not verified,,5.0
25-03-27,70627624,dw,front_control,BOSCH,4_series,SMS4EMW06E,EU,es,retail,bosch_home_es,,Positive,use,Easy_Use,It is a very complete and easy-to-use appliance.,[ GREAT PRODUCT ] || ---------------- || It is a very complete and easy-to-use appliance.,[ GRAN PRODUCTO ] || ---------------- || Es un electrodoméstico muy completo y fácil de utilizar,Not verified,,5.0
25-03-27,79946433,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Positive,use,Performance_Washing,"We are happy with our new dishwasher, it does a great job of cleaning our dishes.","[ Great Addition To Our Kitchen! ] || ---------------- || We are happy with our new dishwasher, it does a great job of cleaning our dishes. My one concern is that occasionally there is a noise, it sounds as though something is rubbing.This happens quite soon after the cycle begins and We check and cannot see what could be causing the noise. Apart from that, we have no complaints! ","[ Great Addition To Our Kitchen! ] || ---------------- || [This review was collected as part of a promotion.] We are happy with our new dishwasher, it does a great job of cleaning our dishes. My one concern is that occasionally there is a noise, it sounds as though something is rubbing.This happens quite soon after the cycle begins and We check and cannot see what could be causing the noise. Apart from that, we have no complaints!!",Not verified,,5.0
25-03-27,79946433,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Negative,use,Noise_Vibration,"My one concern is that occasionally there is a noise, it sounds as though something is rubbing.","[ Great Addition To Our Kitchen! ] || ---------------- || We are happy with our new dishwasher, it does a great job of cleaning our dishes. My one concern is that occasionally there is a noise, it sounds as though something is rubbing.This happens quite soon after the cycle begins and We check and cannot see what could be causing the noise. Apart from that, we have no complaints! ","[ Great Addition To Our Kitchen! ] || ---------------- || [This review was collected as part of a promotion.] We are happy with our new dishwasher, it does a great job of cleaning our dishes. My one concern is that occasionally there is a noise, it sounds as though something is rubbing.This happens quite soon after the cycle begins and We check and cannot see what could be causing the noise. Apart from that, we have no complaints!!",Not verified,,5.0
25-03-27,79946433,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Negative,"maintain,use",Noise_Vibration,This happens quite soon after the cycle begins and We check and cannot see what could be causing the noise.,"[ Great Addition To Our Kitchen! ] || ---------------- || We are happy with our new dishwasher, it does a great job of cleaning our dishes. My one concern is that occasionally there is a noise, it sounds as though something is rubbing.This happens quite soon after the cycle begins and We check and cannot see what could be causing the noise. Apart from that, we have no complaints! ","[ Great Addition To Our Kitchen! ] || ---------------- || [This review was collected as part of a promotion.] We are happy with our new dishwasher, it does a great job of cleaning our dishes. My one concern is that occasionally there is a noise, it sounds as though something is rubbing.This happens quite soon after the cycle begins and We check and cannot see what could be causing the noise. Apart from that, we have no complaints!!",Not verified,,5.0
25-03-27,79946433,dw,front_control,KITCHENAID,KDFE204KBS,KDFE204KBS,,us,retail,kitchenaid,,Positive,use,,"Apart from that, we have no complaints!","[ Great Addition To Our Kitchen! ] || ---------------- || We are happy with our new dishwasher, it does a great job of cleaning our dishes. My one concern is that occasionally there is a noise, it sounds as though something is rubbing.This happens quite soon after the cycle begins and We check and cannot see what could be causing the noise. Apart from that, we have no complaints! ","[ Great Addition To Our Kitchen! ] || ---------------- || [This review was collected as part of a promotion.] We are happy with our new dishwasher, it does a great job of cleaning our dishes. My one concern is that occasionally there is a noise, it sounds as though something is rubbing.This happens quite soon after the cycle begins and We check and cannot see what could be causing the noise. Apart from that, we have no complaints!!",Not verified,,5.0
25-03-27,70628172,dw,front_control,BOSCH,300_series,SHE41CM5N,,us,retail,bosch_home_us,,Positive,use,,I have been so pleased with this dishwasher.,[ Awesome Dishwasher ] || ---------------- || I have been so pleased with this dishwasher. It is a dream come true to have one that actually cleans my dishes. Thank you Bosch.,[ Awesome Dishwasher ] || ---------------- || I have been so pleased with this dishwasher.  It is a dream come true to have one that actually cleans my dishes.  Thank you Bosch.,Not verified,,5.0
25-03-27,70628172,dw,front_control,BOSCH,300_series,SHE41CM5N,,us,retail,bosch_home_us,,Positive,use,Performance_Washing,It is a dream come true to have one that actually cleans my dishes.,[ Awesome Dishwasher ] || ---------------- || I have been so pleased with this dishwasher. It is a dream come true to have one that actually cleans my dishes. Thank you Bosch.,[ Awesome Dishwasher ] || ---------------- || I have been so pleased with this dishwasher.  It is a dream come true to have one that actually cleans my dishes.  Thank you Bosch.,Not verified,,5.0
25-03-27,70628172,dw,front_control,BOSCH,300_series,SHE41CM5N,,us,retail,bosch_home_us,,Positive,,Delivery_Installation,Thank you Bosch.,[ Awesome Dishwasher ] || ---------------- || I have been so pleased with this dishwasher. It is a dream come true to have one that actually cleans my dishes. Thank you Bosch.,[ Awesome Dishwasher ] || ---------------- || I have been so pleased with this dishwasher.  It is a dream come true to have one that actually cleans my dishes.  Thank you Bosch.,Not verified,,5.0
