Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-02-21,68633239,dw,top_control,GE,GDT650SMVES_GDT650SYVFS,GDT650SMVES_GDT650SYVFS,,us,retail,geappliances,,Positive,use,,The jet spray and steam clean is great!,[ Great features and QUIET ] || ---------------- || Quiet and Quick. LOVE it! The jet spray and steam clean is great!,[ Great features and QUIET ] || ---------------- || Quiet and Quick... LOVE it! The jet spray and steam clean is great!,Not verified,,5.0
25-02-21,68633240,dw,top_control,GE,GDT650SMVES_GDT650SYVFS,GDT650SMVES_GDT650SYVFS,,us,retail,geappliances,,Very Positive,use,,This dishwasher has been amazing.,"[ Great dishwasher! ] || ---------------- || This dishwasher has been amazing. It's quiet, has so many settings, and we love the little utensil shelf at the top it's great for our baby bottle pieces.","[ Great dishwasher! ] || ---------------- || This dishwasher has been amazing. It’s quiet, has so many settings, and we love the little utensil shelf at the top it’s great for our baby bottle pieces.",Not verified,,5.0
25-02-21,68633240,dw,top_control,GE,GDT650SMVES_GDT650SYVFS,GDT650SMVES_GDT650SYVFS,,us,retail,geappliances,,Positive,use,Noise_Vibration,"It's quiet, has so many settings, and we love the little utensil shelf at the top it's great for our baby bottle pieces.","[ Great dishwasher! ] || ---------------- || This dishwasher has been amazing. It's quiet, has so many settings, and we love the little utensil shelf at the top it's great for our baby bottle pieces.","[ Great dishwasher! ] || ---------------- || This dishwasher has been amazing. It’s quiet, has so many settings, and we love the little utensil shelf at the top it’s great for our baby bottle pieces.",Not verified,,5.0
25-02-21,68633231,dw,top_control,GE,GDP670SGVBB_GDP670SGVWW_GDP670SMVES_GDP670SYVFS,GDP670SGVBB_GDP670SGVWW_GDP670SMVES_GDP670SYVFS,,us,retail,geappliances,,Negative,use,Durability,Poor construction quality very fragile material leveling screws easily bend overall poor quality would not purchase again.,[ None ] || ---------------- || Poor construction quality very fragile material leveling screws easily bend overall poor quality would not purchase again.,[ None ] || ---------------- || Poor construction quality very fragile material leveling screws easily bend overall poor quality would not purchase again.,Not verified,,2.0
25-02-21,68637081,dw,front_control,WHIRLPOOL,WDF341PAPM,WDF341PAPM,,us,retail,lowes,,Neutral,use,,We have had this dishwasher for just over a year and haven't' used it in about 3 months.,"[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help! Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!","[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help!  Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!",Not verified,,1.0
25-02-21,68637081,dw,front_control,WHIRLPOOL,WDF341PAPM,WDF341PAPM,,us,retail,lowes,,Negative,use,Performance_Washing,"Even if you clean your dishes before you put them in, they come out looking worse.","[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help! Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!","[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help!  Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!",Not verified,,1.0
25-02-21,68637081,dw,front_control,WHIRLPOOL,WDF341PAPM,WDF341PAPM,,us,retail,lowes,,Negative,use,Easy_Use,There is a grid at the bottom that traps any debri and just throws it back on the dishes.,"[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help! Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!","[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help!  Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!",Not verified,,1.0
25-02-21,68637081,dw,front_control,WHIRLPOOL,WDF341PAPM,WDF341PAPM,,us,retail,lowes,,Positive,use,Performance_Drying,No amount of jet dry has them come out actually close to dry!,"[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help! Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!","[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help!  Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!",Not verified,,1.0
25-02-21,68637081,dw,front_control,WHIRLPOOL,WDF341PAPM,WDF341PAPM,,us,retail,lowes,,Very Negative,use,,Has been the worst dishwasher ever.,"[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help! Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!","[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help!  Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!",Not verified,,1.0
25-02-21,68637081,dw,front_control,WHIRLPOOL,WDF341PAPM,WDF341PAPM,,us,retail,lowes,,Negative,use,,Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help!,"[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help! Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!","[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help!  Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!",Not verified,,1.0
25-02-21,68637081,dw,front_control,WHIRLPOOL,WDF341PAPM,WDF341PAPM,,us,retail,lowes,,Negative,"decide,replace",Price,"Now, i have to go spend more money on a differnt brand!","[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help! Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!","[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help!  Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!",Not verified,,1.0
25-02-21,68637081,dw,front_control,WHIRLPOOL,WDF341PAPM,WDF341PAPM,,us,retail,lowes,,Neutral,use,,We got maybe 3-4 months use out of this one brand new.,"[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help! Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!","[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help!  Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!",Not verified,,1.0
25-02-21,68637081,dw,front_control,WHIRLPOOL,WDF341PAPM,WDF341PAPM,,us,retail,lowes,,Very Negative,,,Upsetting to say the least!,"[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help! Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!","[ Does not Clean! ] || ---------------- || We have had this dishwasher for just over a year and havent' used it in about 3 months. Even if you clean your dishes before you put them in, they come out looking worse. There is a grid at the bottom that traps any debri and just throws it back on the dishes. No amount of jet dry has them come out actually close to dry! Has been the worst dishwasher ever. Contant cleaning by hand and with the dishwasher cleaning tabs have done nothing to help!  Now, i have to go spend more money on a differnt brand! We got maybe 3-4 months use out of this one brand new. Upsetting to say the least!",Not verified,,1.0
25-02-21,68654847,dw,front_control,BOSCH,4_series,SMS4EMW06E,EU,es,retail,mediamarkt_es,,Positive,purchase,,I bought it because I already had the previous model and I was delighted.,[ Excellent value for money ] || ---------------- || I bought it because I already had the previous model and I was delighted.,[ Excelente relación calidad precio ] || ---------------- || Me lo he comprado porque ya tenía el modelo anterior y estaba encantada.,Not verified,Originally posted on bosch-home.com,5.0
25-02-21,68656252,dw,top_control,BOSCH,4_series,SPV4EMX24E,EU,es,retail,mediamarkt_es,,Neutral,,Delivery_Installation,#opiniamotywowanapromoją It just arrived and we are currently testing it.,"[ #opinionmotivatedbypromotion - satisfied ] || ---------------- || #opiniamotywowanapromoją It just arrived and we are currently testing it. It is quiet, has a good panel and a selection of programs. I like the cutlery drawer. Our first Bosch dishwasher did not have such a drawer.","[ #opiniamotywowanapromocją - zadowoleni ] || ---------------- || #opiniamotywowanapromocją Dopiero do nas dotarła i na razie ją testujemy. Jest cicha, dobry panel i wybór programów. Podoba mi się szuflada na sztućce. W naszej pierwszej zmywarce Boscha takiej szuflady nie było.",Not verified,Originally posted on mediamarkt.pl,5.0
25-02-21,68656252,dw,top_control,BOSCH,4_series,SPV4EMX24E,EU,es,retail,mediamarkt_es,,Positive,use,Noise_Vibration,"It is quiet, has a good panel and a selection of programs.","[ #opinionmotivatedbypromotion - satisfied ] || ---------------- || #opiniamotywowanapromoją It just arrived and we are currently testing it. It is quiet, has a good panel and a selection of programs. I like the cutlery drawer. Our first Bosch dishwasher did not have such a drawer.","[ #opiniamotywowanapromocją - zadowoleni ] || ---------------- || #opiniamotywowanapromocją Dopiero do nas dotarła i na razie ją testujemy. Jest cicha, dobry panel i wybór programów. Podoba mi się szuflada na sztućce. W naszej pierwszej zmywarce Boscha takiej szuflady nie było.",Not verified,Originally posted on mediamarkt.pl,5.0
25-02-21,68656252,dw,top_control,BOSCH,4_series,SPV4EMX24E,EU,es,retail,mediamarkt_es,,Positive,use,Easy_Use,I like the cutlery drawer.,"[ #opinionmotivatedbypromotion - satisfied ] || ---------------- || #opiniamotywowanapromoją It just arrived and we are currently testing it. It is quiet, has a good panel and a selection of programs. I like the cutlery drawer. Our first Bosch dishwasher did not have such a drawer.","[ #opiniamotywowanapromocją - zadowoleni ] || ---------------- || #opiniamotywowanapromocją Dopiero do nas dotarła i na razie ją testujemy. Jest cicha, dobry panel i wybór programów. Podoba mi się szuflada na sztućce. W naszej pierwszej zmywarce Boscha takiej szuflady nie było.",Not verified,Originally posted on mediamarkt.pl,5.0
25-02-21,68656252,dw,top_control,BOSCH,4_series,SPV4EMX24E,EU,es,retail,mediamarkt_es,,Neutral,use,Easy_Use,Our first Bosch dishwasher did not have such a drawer.,"[ #opinionmotivatedbypromotion - satisfied ] || ---------------- || #opiniamotywowanapromoją It just arrived and we are currently testing it. It is quiet, has a good panel and a selection of programs. I like the cutlery drawer. Our first Bosch dishwasher did not have such a drawer.","[ #opiniamotywowanapromocją - zadowoleni ] || ---------------- || #opiniamotywowanapromocją Dopiero do nas dotarła i na razie ją testujemy. Jest cicha, dobry panel i wybór programów. Podoba mi się szuflada na sztućce. W naszej pierwszej zmywarce Boscha takiej szuflady nie było.",Not verified,Originally posted on mediamarkt.pl,5.0
