Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-01-11,67927425,dw,top_control,BOSCH,800_Series,SHX78CC5UC,,us,retail,costco,,Neutral,,Service,There are no other stores in this area that will do that for free.,"[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We've only had it a week and still have to figure out all the bells and whistles but it does it's job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun! As for the Costco part of the review, that's a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn't so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that's a given with Costco) 3. They stand by their products - while they don't cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway. I would definitely use Costco again for any major appliance needs.","[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We’ve only had it a week and still have to figure out all the bells and whistles but it does it’s job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun!As for the Costco part of the review, that’s a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn’t so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that’s a given with Costco) 3. They stand by their products - while they don’t cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway.. I would definitely use Costco again for any major appliance needs.",Verified,,5.0
25-01-11,67927425,dw,top_control,BOSCH,800_Series,SHX78CC5UC,,us,retail,costco,,Neutral,,,2.,"[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We've only had it a week and still have to figure out all the bells and whistles but it does it's job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun! As for the Costco part of the review, that's a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn't so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that's a given with Costco) 3. They stand by their products - while they don't cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway. I would definitely use Costco again for any major appliance needs.","[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We’ve only had it a week and still have to figure out all the bells and whistles but it does it’s job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun!As for the Costco part of the review, that’s a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn’t so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that’s a given with Costco) 3. They stand by their products - while they don’t cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway.. I would definitely use Costco again for any major appliance needs.",Verified,,5.0
25-01-11,67927425,dw,top_control,BOSCH,800_Series,SHX78CC5UC,,us,retail,costco,,Positive,,Price,Price is good (that's a given with Costco) 3.,"[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We've only had it a week and still have to figure out all the bells and whistles but it does it's job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun! As for the Costco part of the review, that's a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn't so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that's a given with Costco) 3. They stand by their products - while they don't cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway. I would definitely use Costco again for any major appliance needs.","[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We’ve only had it a week and still have to figure out all the bells and whistles but it does it’s job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun!As for the Costco part of the review, that’s a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn’t so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that’s a given with Costco) 3. They stand by their products - while they don’t cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway.. I would definitely use Costco again for any major appliance needs.",Verified,,5.0
25-01-11,67927425,dw,top_control,BOSCH,800_Series,SHX78CC5UC,,us,retail,costco,,Neutral,onboard,Delivery_Installation,"They stand by their products - while they don't cover installation, they did give us a refund for our inconvenience which was very classy.","[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We've only had it a week and still have to figure out all the bells and whistles but it does it's job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun! As for the Costco part of the review, that's a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn't so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that's a given with Costco) 3. They stand by their products - while they don't cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway. I would definitely use Costco again for any major appliance needs.","[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We’ve only had it a week and still have to figure out all the bells and whistles but it does it’s job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun!As for the Costco part of the review, that’s a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn’t so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that’s a given with Costco) 3. They stand by their products - while they don’t cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway.. I would definitely use Costco again for any major appliance needs.",Verified,,5.0
25-01-11,67927425,dw,top_control,BOSCH,800_Series,SHX78CC5UC,,us,retail,costco,,Neutral,onboard,Service,"They stand by their products - while they don't cover installation, they did give us a refund for our inconvenience which was very classy.","[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We've only had it a week and still have to figure out all the bells and whistles but it does it's job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun! As for the Costco part of the review, that's a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn't so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that's a given with Costco) 3. They stand by their products - while they don't cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway. I would definitely use Costco again for any major appliance needs.","[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We’ve only had it a week and still have to figure out all the bells and whistles but it does it’s job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun!As for the Costco part of the review, that’s a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn’t so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that’s a given with Costco) 3. They stand by their products - while they don’t cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway.. I would definitely use Costco again for any major appliance needs.",Verified,,5.0
25-01-11,67927425,dw,top_control,BOSCH,800_Series,SHX78CC5UC,,us,retail,costco,,Neutral,,Delivery_Installation,"And to be honest, I would prefer using my own installer anyway.","[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We've only had it a week and still have to figure out all the bells and whistles but it does it's job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun! As for the Costco part of the review, that's a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn't so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that's a given with Costco) 3. They stand by their products - while they don't cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway. I would definitely use Costco again for any major appliance needs.","[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We’ve only had it a week and still have to figure out all the bells and whistles but it does it’s job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun!As for the Costco part of the review, that’s a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn’t so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that’s a given with Costco) 3. They stand by their products - while they don’t cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway.. I would definitely use Costco again for any major appliance needs.",Verified,,5.0
25-01-11,67927425,dw,top_control,BOSCH,800_Series,SHX78CC5UC,,us,retail,costco,,Very Positive,,Service,I would definitely use Costco again for any major appliance needs.,"[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We've only had it a week and still have to figure out all the bells and whistles but it does it's job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun! As for the Costco part of the review, that's a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn't so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that's a given with Costco) 3. They stand by their products - while they don't cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway. I would definitely use Costco again for any major appliance needs.","[ Happy with Putcome! ] || ---------------- || This really should be a 2 part review. One about the machine itself and the other about why you should (or should not) buy this from Costco. Our Bosch 800 is replacing a 20 yr old Asko so is obviously a huge upgrade. We’ve only had it a week and still have to figure out all the bells and whistles but it does it’s job - dishes are clean, and you can really put a lot of things in it, once you manage all the numerous options. I recommend watching some YouTube videos to get the most out of it. The dropping down of one side of the middle rack is very fun!As for the Costco part of the review, that’s a little more complicated. They do NOT include installation when delivering to out of the way places (that wasn’t so clear on the website). Also, their computer notification system is horrendous - I was getting emails saying that the machine would be delivered a certain date, when clearly it was not - it was just telling me that the machine was delivered to a warehouse or to the delivery people. Very confusing and paired with inexperienced and uninformed telephone customer, it was a very frustrating experience. When they finally delivered the machine, it had a dent on it. Costco reviewed the photos and said they wanted to replace it So we had to wait a couple more weeks for a replacement.So while this did not go smoothly for us, I would definitely recommend Costco for the following reasons. 1. They delivered to my address - a mountain home in CO in the middle of winter! There are no other stores in this area that will do that for free. 2. Price is good (that’s a given with Costco) 3. They stand by their products - while they don’t cover installation, they did give us a refund for our inconvenience which was very classy. And to be honest, I would prefer using my own installer anyway.. I would definitely use Costco again for any major appliance needs.",Verified,,5.0
25-01-11,67927424,dw,top_control,BOSCH,800_Series,SHX78CC5UC,,us,retail,costco,,Neutral,use,,After a month of use I can say this dishwasher is all it's cut out to be.,"[ Great buy ] || ---------------- || After a month of use I can say this dishwasher is all it's cut out to be. I did have a problem with the third party install company that Costco uses so I opted to install it myself. However, compared to my old Maytag dishwasher, this thing is amazing. It washes literally any amount of soiled dishes and dries very well. It also tells you through the app if the bottom wash arm is blocked by anything and when to refill salt and rinse solution. The only negatives I have is that 1. The way it's made it can only fit in a cabinet that's exactly the size they say. It's a bit taller than other dishwashers. My cabinet was 1/4 inch too short and it wouldn't fit so we had to modify some things on the cabinet. 2. The silverware and racks took some adjusting to, to be able to fit the same amount of dishes as my old dishwasher but that's a personal thing. Overall, I recommend this dishwasher and I'm happy that we kept it even though it was a bit of a hassle to install.","[ Great buy ] || ---------------- || After a month of use I can say this dishwasher is all it's cut out to be. I did have a problem with the third party install company that Costco uses so I opted to install it myself. However, compared to my old Maytag dishwasher, this thing is amazing. It washes literally any amount of soiled dishes and dries very well. It also tells you through the app if the bottom wash arm is blocked by anything and when to refill salt and rinse solution. The only negatives I have is that 1. The way it's made it can only fit in a cabinet that's exactly the size they say. It's a bit taller than other dishwashers. My cabinet was 1/4 inch too short and it wouldn't fit so we had to modify some things on the cabinet. 2. The silverware and racks took some adjusting to, to be able to fit the same amount of dishes as my old dishwasher but that's a personal thing. Overall, I recommend this dishwasher and I'm happy that we kept it even though it was a bit of a hassle to install.",Not verified,,5.0
25-01-11,67927424,dw,top_control,BOSCH,800_Series,SHX78CC5UC,,us,retail,costco,,Negative,"decide,onboard",Delivery_Installation,I did have a problem with the third party install company that Costco uses so I opted to install it myself.,"[ Great buy ] || ---------------- || After a month of use I can say this dishwasher is all it's cut out to be. I did have a problem with the third party install company that Costco uses so I opted to install it myself. However, compared to my old Maytag dishwasher, this thing is amazing. It washes literally any amount of soiled dishes and dries very well. It also tells you through the app if the bottom wash arm is blocked by anything and when to refill salt and rinse solution. The only negatives I have is that 1. The way it's made it can only fit in a cabinet that's exactly the size they say. It's a bit taller than other dishwashers. My cabinet was 1/4 inch too short and it wouldn't fit so we had to modify some things on the cabinet. 2. The silverware and racks took some adjusting to, to be able to fit the same amount of dishes as my old dishwasher but that's a personal thing. Overall, I recommend this dishwasher and I'm happy that we kept it even though it was a bit of a hassle to install.","[ Great buy ] || ---------------- || After a month of use I can say this dishwasher is all it's cut out to be. I did have a problem with the third party install company that Costco uses so I opted to install it myself. However, compared to my old Maytag dishwasher, this thing is amazing. It washes literally any amount of soiled dishes and dries very well. It also tells you through the app if the bottom wash arm is blocked by anything and when to refill salt and rinse solution. The only negatives I have is that 1. The way it's made it can only fit in a cabinet that's exactly the size they say. It's a bit taller than other dishwashers. My cabinet was 1/4 inch too short and it wouldn't fit so we had to modify some things on the cabinet. 2. The silverware and racks took some adjusting to, to be able to fit the same amount of dishes as my old dishwasher but that's a personal thing. Overall, I recommend this dishwasher and I'm happy that we kept it even though it was a bit of a hassle to install.",Not verified,,5.0
25-01-11,67927424,dw,top_control,BOSCH,800_Series,SHX78CC5UC,,us,retail,costco,,Very Positive,use,,"However, compared to my old Maytag dishwasher, this thing is amazing.","[ Great buy ] || ---------------- || After a month of use I can say this dishwasher is all it's cut out to be. I did have a problem with the third party install company that Costco uses so I opted to install it myself. However, compared to my old Maytag dishwasher, this thing is amazing. It washes literally any amount of soiled dishes and dries very well. It also tells you through the app if the bottom wash arm is blocked by anything and when to refill salt and rinse solution. The only negatives I have is that 1. The way it's made it can only fit in a cabinet that's exactly the size they say. It's a bit taller than other dishwashers. My cabinet was 1/4 inch too short and it wouldn't fit so we had to modify some things on the cabinet. 2. The silverware and racks took some adjusting to, to be able to fit the same amount of dishes as my old dishwasher but that's a personal thing. Overall, I recommend this dishwasher and I'm happy that we kept it even though it was a bit of a hassle to install.","[ Great buy ] || ---------------- || After a month of use I can say this dishwasher is all it's cut out to be. I did have a problem with the third party install company that Costco uses so I opted to install it myself. However, compared to my old Maytag dishwasher, this thing is amazing. It washes literally any amount of soiled dishes and dries very well. It also tells you through the app if the bottom wash arm is blocked by anything and when to refill salt and rinse solution. The only negatives I have is that 1. The way it's made it can only fit in a cabinet that's exactly the size they say. It's a bit taller than other dishwashers. My cabinet was 1/4 inch too short and it wouldn't fit so we had to modify some things on the cabinet. 2. The silverware and racks took some adjusting to, to be able to fit the same amount of dishes as my old dishwasher but that's a personal thing. Overall, I recommend this dishwasher and I'm happy that we kept it even though it was a bit of a hassle to install.",Not verified,,5.0
25-01-11,67927424,dw,top_control,BOSCH,800_Series,SHX78CC5UC,,us,retail,costco,,Positive,use,Performance_Drying,It washes literally any amount of soiled dishes and dries very well.,"[ Great buy ] || ---------------- || After a month of use I can say this dishwasher is all it's cut out to be. I did have a problem with the third party install company that Costco uses so I opted to install it myself. However, compared to my old Maytag dishwasher, this thing is amazing. It washes literally any amount of soiled dishes and dries very well. It also tells you through the app if the bottom wash arm is blocked by anything and when to refill salt and rinse solution. The only negatives I have is that 1. The way it's made it can only fit in a cabinet that's exactly the size they say. It's a bit taller than other dishwashers. My cabinet was 1/4 inch too short and it wouldn't fit so we had to modify some things on the cabinet. 2. The silverware and racks took some adjusting to, to be able to fit the same amount of dishes as my old dishwasher but that's a personal thing. Overall, I recommend this dishwasher and I'm happy that we kept it even though it was a bit of a hassle to install.","[ Great buy ] || ---------------- || After a month of use I can say this dishwasher is all it's cut out to be. I did have a problem with the third party install company that Costco uses so I opted to install it myself. However, compared to my old Maytag dishwasher, this thing is amazing. It washes literally any amount of soiled dishes and dries very well. It also tells you through the app if the bottom wash arm is blocked by anything and when to refill salt and rinse solution. The only negatives I have is that 1. The way it's made it can only fit in a cabinet that's exactly the size they say. It's a bit taller than other dishwashers. My cabinet was 1/4 inch too short and it wouldn't fit so we had to modify some things on the cabinet. 2. The silverware and racks took some adjusting to, to be able to fit the same amount of dishes as my old dishwasher but that's a personal thing. Overall, I recommend this dishwasher and I'm happy that we kept it even though it was a bit of a hassle to install.",Not verified,,5.0
