Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-11-27,76855600,dw,front_control,MAYTAG,MDB4949SKZ,MDB4949SKZ,,us,retail,homedepot,,Positive,use,Noise_Vibration,Great dishwasher that is quiet and does an excellent all around job.,[ The dishes are done ] || ---------------- || (This review was collected as part of a promotion.) Great dishwasher that is quiet and does an excellent all around job.,[ The dishes are done ] || ---------------- || (This review was collected as part of a promotion.) Great dishwasher that is quiet and does an excellent all around job.,Not verified,Originally posted on maytag.com,5.0
25-11-27,76855602,dw,front_control,MAYTAG,MDB4949SKZ,MDB4949SKZ,,us,retail,homedepot,,Positive,use,Product_Satisfaction,The dishwasher is both very effective and efficient.,[ Quiet ] || ---------------- || The dishwasher is both very effective and efficient. ,[ Quiet ] || ---------------- || [This review was collected as part of a promotion.] The dishwasher is both very effective and efficient..,Not verified,Originally posted on maytag.com,4.0
25-11-27,76845193,dw,top_control,WHIRLPOOL,WDTA50SAKZ,WDTA50SAKZ,,us,retail,homedepot,,Negative,,,There is rust on the top and bottom of the dishwasher.,[ Rusts after a few uses ] || ---------------- || There is rust on the top and bottom of the dishwasher. Started about 6 months of ownership. Very very disappointed and Whirlpool didn't care or want to replace. Do not buy.,[ Rusts after a few uses ] || ---------------- || There is rust on the top and bottom of the dishwasher.  Started about 6 months of ownership.  Very very disappointed and Whirlpool didn't care or want to replace.  Do not buy.,Not verified,Originally posted on homedepot.ca,1.0
25-11-27,76845193,dw,top_control,WHIRLPOOL,WDTA50SAKZ,WDTA50SAKZ,,us,retail,homedepot,,Neutral,,Durability,Started about 6 months of ownership.,[ Rusts after a few uses ] || ---------------- || There is rust on the top and bottom of the dishwasher. Started about 6 months of ownership. Very very disappointed and Whirlpool didn't care or want to replace. Do not buy.,[ Rusts after a few uses ] || ---------------- || There is rust on the top and bottom of the dishwasher.  Started about 6 months of ownership.  Very very disappointed and Whirlpool didn't care or want to replace.  Do not buy.,Not verified,Originally posted on homedepot.ca,1.0
25-11-27,76845193,dw,top_control,WHIRLPOOL,WDTA50SAKZ,WDTA50SAKZ,,us,retail,homedepot,,Neutral,,Service,Started about 6 months of ownership.,[ Rusts after a few uses ] || ---------------- || There is rust on the top and bottom of the dishwasher. Started about 6 months of ownership. Very very disappointed and Whirlpool didn't care or want to replace. Do not buy.,[ Rusts after a few uses ] || ---------------- || There is rust on the top and bottom of the dishwasher.  Started about 6 months of ownership.  Very very disappointed and Whirlpool didn't care or want to replace.  Do not buy.,Not verified,Originally posted on homedepot.ca,1.0
25-11-27,76845193,dw,top_control,WHIRLPOOL,WDTA50SAKZ,WDTA50SAKZ,,us,retail,homedepot,,Very Negative,replace,Service,Very very disappointed and Whirlpool didn't care or want to replace.,[ Rusts after a few uses ] || ---------------- || There is rust on the top and bottom of the dishwasher. Started about 6 months of ownership. Very very disappointed and Whirlpool didn't care or want to replace. Do not buy.,[ Rusts after a few uses ] || ---------------- || There is rust on the top and bottom of the dishwasher.  Started about 6 months of ownership.  Very very disappointed and Whirlpool didn't care or want to replace.  Do not buy.,Not verified,Originally posted on homedepot.ca,1.0
25-11-27,76845193,dw,top_control,WHIRLPOOL,WDTA50SAKZ,WDTA50SAKZ,,us,retail,homedepot,,Very Negative,,,Do not buy.,[ Rusts after a few uses ] || ---------------- || There is rust on the top and bottom of the dishwasher. Started about 6 months of ownership. Very very disappointed and Whirlpool didn't care or want to replace. Do not buy.,[ Rusts after a few uses ] || ---------------- || There is rust on the top and bottom of the dishwasher.  Started about 6 months of ownership.  Very very disappointed and Whirlpool didn't care or want to replace.  Do not buy.,Not verified,Originally posted on homedepot.ca,1.0
25-11-27,76929173,dw,front_control,BOSCH,800_series,SPE68C75UC,,us,retail,homedepot,,Positive,onboard,Delivery_Installation,Dishwasher very easy to use and installed very fast all parts and to install came with the machine only needed a few tools.,"[ Awesome ] || ---------------- || Dishwasher very easy to use and installed very fast all parts and to install came with the machine only needed a few tools. The Dishwasher very quite and cleans and drys perfectly, recommended this Dishwasher.","[ Awesome ] || ---------------- || [This review was collected as part of a promotion.] Dishwasher  very easy to use and installed very fast all parts and to install came with the machine only needed a few  tools. The Dishwasher very quite and cleans and drys perfectly,  recommended  this Dishwasher.",Not verified,Originally posted on bosch-home.com,5.0
25-11-27,76929173,dw,front_control,BOSCH,800_series,SPE68C75UC,,us,retail,homedepot,,Positive,onboard,Easy_Use,Dishwasher very easy to use and installed very fast all parts and to install came with the machine only needed a few tools.,"[ Awesome ] || ---------------- || Dishwasher very easy to use and installed very fast all parts and to install came with the machine only needed a few tools. The Dishwasher very quite and cleans and drys perfectly, recommended this Dishwasher.","[ Awesome ] || ---------------- || [This review was collected as part of a promotion.] Dishwasher  very easy to use and installed very fast all parts and to install came with the machine only needed a few  tools. The Dishwasher very quite and cleans and drys perfectly,  recommended  this Dishwasher.",Not verified,Originally posted on bosch-home.com,5.0
25-11-27,76929173,dw,front_control,BOSCH,800_series,SPE68C75UC,,us,retail,homedepot,,Positive,use,Noise_Vibration,"The Dishwasher very quite and cleans and drys perfectly, recommended this Dishwasher.","[ Awesome ] || ---------------- || Dishwasher very easy to use and installed very fast all parts and to install came with the machine only needed a few tools. The Dishwasher very quite and cleans and drys perfectly, recommended this Dishwasher.","[ Awesome ] || ---------------- || [This review was collected as part of a promotion.] Dishwasher  very easy to use and installed very fast all parts and to install came with the machine only needed a few  tools. The Dishwasher very quite and cleans and drys perfectly,  recommended  this Dishwasher.",Not verified,Originally posted on bosch-home.com,5.0
25-11-27,76929173,dw,front_control,BOSCH,800_series,SPE68C75UC,,us,retail,homedepot,,Positive,use,Performance_Drying,"The Dishwasher very quite and cleans and drys perfectly, recommended this Dishwasher.","[ Awesome ] || ---------------- || Dishwasher very easy to use and installed very fast all parts and to install came with the machine only needed a few tools. The Dishwasher very quite and cleans and drys perfectly, recommended this Dishwasher.","[ Awesome ] || ---------------- || [This review was collected as part of a promotion.] Dishwasher  very easy to use and installed very fast all parts and to install came with the machine only needed a few  tools. The Dishwasher very quite and cleans and drys perfectly,  recommended  this Dishwasher.",Not verified,Originally posted on bosch-home.com,5.0
