Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-01-06,67927898,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Negative,,Service,"GE, You are not doing me a favor, I purchased your unit, It dont work.","[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to ""do me a favor"" and not charge a service call. The most irritating thing was the attitude with the call center. GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.","[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to 'do me a favor' and not charge a service call.  The most irritating thing was the attitude with the call center.  GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.",Not verified,,1.0
25-01-06,67927898,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Negative,"maintain,replace",Service,"It took multiple service calls to decide to replace unit, The replacement didn't last a year.","[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to ""do me a favor"" and not charge a service call. The most irritating thing was the attitude with the call center. GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.","[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to 'do me a favor' and not charge a service call.  The most irritating thing was the attitude with the call center.  GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.",Not verified,,1.0
25-01-06,67927898,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Neutral,,Service,I took off work for every service call.,"[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to ""do me a favor"" and not charge a service call. The most irritating thing was the attitude with the call center. GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.","[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to 'do me a favor' and not charge a service call.  The most irritating thing was the attitude with the call center.  GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.",Not verified,,1.0
25-01-06,67927898,dw,front_control,GE,GDF670SYVFS,GDF670SYVFS,,us,retail,homedepot,,Very Negative,purchase,Price,Complete waste of Money.,"[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to ""do me a favor"" and not charge a service call. The most irritating thing was the attitude with the call center. GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.","[ Waste of Money ] || ---------------- || Dishwasher was delivered 12/9/23 , stopped working on 12/20/23. All display lights were flashing and would not work. Called for service, 1st appointment was on 12/12/24. Repairman came out on 12/12/24, 12/19/24,12/26/24 and then unit was replaced last week of February due to techs unable to repair unit. On 1/2/2024 same issue occurs with all lights flashing. Called GE on 1/06/2024 and was told out of warranty but they would send a tech out 1 time at no cost to check and repair, but I would have to pay for parts and additional service calls if the tech had to return to install any parts they did not have in stock on service van. So original unit was unusable for 2 months and GE was going to 'do me a favor' and not charge a service call.  The most irritating thing was the attitude with the call center.  GE, You are not doing me a favor, I purchased your unit, It dont work. It took multiple service calls to decide to replace unit, The replacement didnt last a year. I took off work for every service call. Complete waste of Money.",Not verified,,1.0
25-01-06,74554971,dw,top_control,KITCHENAID,KDPM604KBS,KDPM604KBS,,us,retail,sears,,Neutral,purchase,,Purchased a month ago.,"[ A wonderful new appliance!  ] || ---------------- || Purchased a month ago. We are delighted with this dishwasher. The upper rack redesign terrific and dishes, glasses, and silverware come out beautifully cleaned.","[ A wonderful new appliance!!! ] || ---------------- || [This review was collected as part of a promotion.] Purchased a month ago. We are delighted with this dishwasher. The upper rack redesign terrific and dishes, glasses, and silverware come out beautifully cleaned.",Verified,Originally posted on kitchenaid.com/,5.0
25-01-06,74554971,dw,top_control,KITCHENAID,KDPM604KBS,KDPM604KBS,,us,retail,sears,,Positive,use,,We are delighted with this dishwasher.,"[ A wonderful new appliance!  ] || ---------------- || Purchased a month ago. We are delighted with this dishwasher. The upper rack redesign terrific and dishes, glasses, and silverware come out beautifully cleaned.","[ A wonderful new appliance!!! ] || ---------------- || [This review was collected as part of a promotion.] Purchased a month ago. We are delighted with this dishwasher. The upper rack redesign terrific and dishes, glasses, and silverware come out beautifully cleaned.",Verified,Originally posted on kitchenaid.com/,5.0
25-01-06,74554971,dw,top_control,KITCHENAID,KDPM604KBS,KDPM604KBS,,us,retail,sears,,Positive,use,Design,"The upper rack design terrific and dishes, glasses, and silverware come out beautifully cleaned.","[ A wonderful new appliance!  ] || ---------------- || Purchased a month ago. We are delighted with this dishwasher. The upper rack redesign terrific and dishes, glasses, and silverware come out beautifully cleaned.","[ A wonderful new appliance!!! ] || ---------------- || [This review was collected as part of a promotion.] Purchased a month ago. We are delighted with this dishwasher. The upper rack redesign terrific and dishes, glasses, and silverware come out beautifully cleaned.",Verified,Originally posted on kitchenaid.com/,5.0
25-01-06,74554971,dw,top_control,KITCHENAID,KDPM604KBS,KDPM604KBS,,us,retail,sears,,Positive,use,Easy_Use,"The upper rack design terrific and dishes, glasses, and silverware come out beautifully cleaned.","[ A wonderful new appliance!  ] || ---------------- || Purchased a month ago. We are delighted with this dishwasher. The upper rack redesign terrific and dishes, glasses, and silverware come out beautifully cleaned.","[ A wonderful new appliance!!! ] || ---------------- || [This review was collected as part of a promotion.] Purchased a month ago. We are delighted with this dishwasher. The upper rack redesign terrific and dishes, glasses, and silverware come out beautifully cleaned.",Verified,Originally posted on kitchenaid.com/,5.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Negative,"purchase,replace,use",,We purchased this to replace an older Kitchen Aid we loved and this one is horrible.,"[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Neutral,"decide,purchase",Service,We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.,"[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
25-01-06,67936109,dw,front_control,KITCHENAID,KDFE204KWH,KDFE204KWH,,us,retail,lowes,,Neutral,,Service,I'm not going to have to reach out to Lowe's to come and get it and replace it.,"[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible. We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for. I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice. Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher. The racks themselves are flimsy. Cheap design and super disappointed.","[ Awful design ] || ---------------- || We purchased this to replace an older Kitchen Aid we loved and this one is horrible.  We went into Lowe's with the intention of purchasing something I had researched but there was a sale we fell for.  I'm not going to have to reach out to Lowe's to come and get it and replace it.Cleans well, does not dry well AT ALL. The rack design is absolutely awful and to do as many dishes as my old one, we have to run it twice.  Will not take larger items at all and the cutlery basket sides are too low and cutlery leans over too much and if something is leaning too far to the right, you catch the side of the dishwasher.  The racks themselves are flimsy.  Cheap design and super disappointed.",Not verified,,1.0
