Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
25-11-14,76306546,dw,builtin,LG,Objet_collection,DUE5BGL1E,ASIA,kr,retail,naver_shop,,Positive,use,Performance_Washing,"I did a small test run, and it's quiet and squeaky clean!","[ It's the best ] || ---------------- || This is my first dishwasher, and it's so pretty! ^^ I had to pay extra to make room for it, but I'm satisfied because it's where I wanted it. I did a small test run, and it's quiet and squeaky clean! It's truly a kitchen essential! ^-^. #LGDishwasher. #DUE5BGL1E. #KitchenEssentials",[ 최고예요 ] || ---------------- || 식세기 처음 들였는데 일단 넘 이뻐요^^자리 만드느라 추가 비용 들었지만 원하는 자리라 만족 하고 테스트 하느라 소량 돌려봤는데 소음도 별로 없고 뽀득뽀득 하네용!!! 정말 주방필수템 이네요^-^#LG식기세척기#DUE5BGL1E#주방필수템,Not verified,,5.0
25-11-14,76306546,dw,builtin,LG,Objet_collection,DUE5BGL1E,ASIA,kr,retail,naver_shop,,Positive,use,,It's truly a kitchen essential!,"[ It's the best ] || ---------------- || This is my first dishwasher, and it's so pretty! ^^ I had to pay extra to make room for it, but I'm satisfied because it's where I wanted it. I did a small test run, and it's quiet and squeaky clean! It's truly a kitchen essential! ^-^. #LGDishwasher. #DUE5BGL1E. #KitchenEssentials",[ 최고예요 ] || ---------------- || 식세기 처음 들였는데 일단 넘 이뻐요^^자리 만드느라 추가 비용 들었지만 원하는 자리라 만족 하고 테스트 하느라 소량 돌려봤는데 소음도 별로 없고 뽀득뽀득 하네용!!! 정말 주방필수템 이네요^-^#LG식기세척기#DUE5BGL1E#주방필수템,Not verified,,5.0
25-11-14,76306546,dw,builtin,LG,Objet_collection,DUE5BGL1E,ASIA,kr,retail,naver_shop,,Neutral,,, ^-^. #LGDishwasher. #,"[ It's the best ] || ---------------- || This is my first dishwasher, and it's so pretty! ^^ I had to pay extra to make room for it, but I'm satisfied because it's where I wanted it. I did a small test run, and it's quiet and squeaky clean! It's truly a kitchen essential! ^-^. #LGDishwasher. #DUE5BGL1E. #KitchenEssentials",[ 최고예요 ] || ---------------- || 식세기 처음 들였는데 일단 넘 이뻐요^^자리 만드느라 추가 비용 들었지만 원하는 자리라 만족 하고 테스트 하느라 소량 돌려봤는데 소음도 별로 없고 뽀득뽀득 하네용!!! 정말 주방필수템 이네요^-^#LG식기세척기#DUE5BGL1E#주방필수템,Not verified,,5.0
25-11-14,76306546,dw,builtin,LG,Objet_collection,DUE5BGL1E,ASIA,kr,retail,naver_shop,,Neutral,,,DUE5BGL1E. #KitchenEssentials,"[ It's the best ] || ---------------- || This is my first dishwasher, and it's so pretty! ^^ I had to pay extra to make room for it, but I'm satisfied because it's where I wanted it. I did a small test run, and it's quiet and squeaky clean! It's truly a kitchen essential! ^-^. #LGDishwasher. #DUE5BGL1E. #KitchenEssentials",[ 최고예요 ] || ---------------- || 식세기 처음 들였는데 일단 넘 이뻐요^^자리 만드느라 추가 비용 들었지만 원하는 자리라 만족 하고 테스트 하느라 소량 돌려봤는데 소음도 별로 없고 뽀득뽀득 하네용!!! 정말 주방필수템 이네요^-^#LG식기세척기#DUE5BGL1E#주방필수템,Not verified,,5.0
25-11-14,76306545,dw,builtin,LG,Objet_collection,DUE5BGL1E,ASIA,kr,retail,naver_shop,,Neutral,replace,,I just got a new one when I moved!,"[ It's the best ] || ---------------- || I just got a new one when I moved! I've been using the dishwasher for so long that I couldn't live without it. It's even more convenient than the one I had four years ago, with a solid detergent dispenser. I've been using silver, but the beige one looks warmer and prettier! I was even happier because I got it at a great price! Thank you. #LGDishwasher #DUE5GL1E #KitchenEssentials",[ 최고예요 ] || ---------------- || 이사하면서 새로 설치했어요!! 식기세척기를 계속 사용하다보니 없이는 못살거 같더라구요... 4년전 제품보다 고체세제 통도 생기고 사용하기가 더 편리해졌네요. 실버 쓰다가 베이지 보니까 더 따뜻하고 예뻐보이네요! 좋은 가격에 살 수 있어서 더 좋았어요!! 감사합니다 ㅎㅎ#LG식기세척기 #DUE5GL1E #주방필수템,Not verified,,5.0
25-11-14,76306545,dw,builtin,LG,Objet_collection,DUE5BGL1E,ASIA,kr,retail,naver_shop,,Positive,use,,I've been using the dishwasher for so long that I couldn't live without it.,"[ It's the best ] || ---------------- || I just got a new one when I moved! I've been using the dishwasher for so long that I couldn't live without it. It's even more convenient than the one I had four years ago, with a solid detergent dispenser. I've been using silver, but the beige one looks warmer and prettier! I was even happier because I got it at a great price! Thank you. #LGDishwasher #DUE5GL1E #KitchenEssentials",[ 최고예요 ] || ---------------- || 이사하면서 새로 설치했어요!! 식기세척기를 계속 사용하다보니 없이는 못살거 같더라구요... 4년전 제품보다 고체세제 통도 생기고 사용하기가 더 편리해졌네요. 실버 쓰다가 베이지 보니까 더 따뜻하고 예뻐보이네요! 좋은 가격에 살 수 있어서 더 좋았어요!! 감사합니다 ㅎㅎ#LG식기세척기 #DUE5GL1E #주방필수템,Not verified,,5.0
25-11-14,76306545,dw,builtin,LG,Objet_collection,DUE5BGL1E,ASIA,kr,retail,naver_shop,,Positive,use,Easy_Use,"It's even more convenient than the one I had four years ago, with a solid detergent dispenser.","[ It's the best ] || ---------------- || I just got a new one when I moved! I've been using the dishwasher for so long that I couldn't live without it. It's even more convenient than the one I had four years ago, with a solid detergent dispenser. I've been using silver, but the beige one looks warmer and prettier! I was even happier because I got it at a great price! Thank you. #LGDishwasher #DUE5GL1E #KitchenEssentials",[ 최고예요 ] || ---------------- || 이사하면서 새로 설치했어요!! 식기세척기를 계속 사용하다보니 없이는 못살거 같더라구요... 4년전 제품보다 고체세제 통도 생기고 사용하기가 더 편리해졌네요. 실버 쓰다가 베이지 보니까 더 따뜻하고 예뻐보이네요! 좋은 가격에 살 수 있어서 더 좋았어요!! 감사합니다 ㅎㅎ#LG식기세척기 #DUE5GL1E #주방필수템,Not verified,,5.0
25-11-14,76306545,dw,builtin,LG,Objet_collection,DUE5BGL1E,ASIA,kr,retail,naver_shop,,Positive,use,Design,"I've been using silver, but the beige one looks warmer and prettier!","[ It's the best ] || ---------------- || I just got a new one when I moved! I've been using the dishwasher for so long that I couldn't live without it. It's even more convenient than the one I had four years ago, with a solid detergent dispenser. I've been using silver, but the beige one looks warmer and prettier! I was even happier because I got it at a great price! Thank you. #LGDishwasher #DUE5GL1E #KitchenEssentials",[ 최고예요 ] || ---------------- || 이사하면서 새로 설치했어요!! 식기세척기를 계속 사용하다보니 없이는 못살거 같더라구요... 4년전 제품보다 고체세제 통도 생기고 사용하기가 더 편리해졌네요. 실버 쓰다가 베이지 보니까 더 따뜻하고 예뻐보이네요! 좋은 가격에 살 수 있어서 더 좋았어요!! 감사합니다 ㅎㅎ#LG식기세척기 #DUE5GL1E #주방필수템,Not verified,,5.0
25-11-14,76306545,dw,builtin,LG,Objet_collection,DUE5BGL1E,ASIA,kr,retail,naver_shop,,Positive,purchase,Price,I was even happier because I got it at a great price!,"[ It's the best ] || ---------------- || I just got a new one when I moved! I've been using the dishwasher for so long that I couldn't live without it. It's even more convenient than the one I had four years ago, with a solid detergent dispenser. I've been using silver, but the beige one looks warmer and prettier! I was even happier because I got it at a great price! Thank you. #LGDishwasher #DUE5GL1E #KitchenEssentials",[ 최고예요 ] || ---------------- || 이사하면서 새로 설치했어요!! 식기세척기를 계속 사용하다보니 없이는 못살거 같더라구요... 4년전 제품보다 고체세제 통도 생기고 사용하기가 더 편리해졌네요. 실버 쓰다가 베이지 보니까 더 따뜻하고 예뻐보이네요! 좋은 가격에 살 수 있어서 더 좋았어요!! 감사합니다 ㅎㅎ#LG식기세척기 #DUE5GL1E #주방필수템,Not verified,,5.0
25-11-14,76306545,dw,builtin,LG,Objet_collection,DUE5BGL1E,ASIA,kr,retail,naver_shop,,Positive,,,Thank you. #,"[ It's the best ] || ---------------- || I just got a new one when I moved! I've been using the dishwasher for so long that I couldn't live without it. It's even more convenient than the one I had four years ago, with a solid detergent dispenser. I've been using silver, but the beige one looks warmer and prettier! I was even happier because I got it at a great price! Thank you. #LGDishwasher #DUE5GL1E #KitchenEssentials",[ 최고예요 ] || ---------------- || 이사하면서 새로 설치했어요!! 식기세척기를 계속 사용하다보니 없이는 못살거 같더라구요... 4년전 제품보다 고체세제 통도 생기고 사용하기가 더 편리해졌네요. 실버 쓰다가 베이지 보니까 더 따뜻하고 예뻐보이네요! 좋은 가격에 살 수 있어서 더 좋았어요!! 감사합니다 ㅎㅎ#LG식기세척기 #DUE5GL1E #주방필수템,Not verified,,5.0
25-11-14,76306545,dw,builtin,LG,Objet_collection,DUE5BGL1E,ASIA,kr,retail,naver_shop,,Neutral,,,LGDishwasher #DUE5GL1E #KitchenEssentials,"[ It's the best ] || ---------------- || I just got a new one when I moved! I've been using the dishwasher for so long that I couldn't live without it. It's even more convenient than the one I had four years ago, with a solid detergent dispenser. I've been using silver, but the beige one looks warmer and prettier! I was even happier because I got it at a great price! Thank you. #LGDishwasher #DUE5GL1E #KitchenEssentials",[ 최고예요 ] || ---------------- || 이사하면서 새로 설치했어요!! 식기세척기를 계속 사용하다보니 없이는 못살거 같더라구요... 4년전 제품보다 고체세제 통도 생기고 사용하기가 더 편리해졌네요. 실버 쓰다가 베이지 보니까 더 따뜻하고 예뻐보이네요! 좋은 가격에 살 수 있어서 더 좋았어요!! 감사합니다 ㅎㅎ#LG식기세척기 #DUE5GL1E #주방필수템,Not verified,,5.0
