Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
26-02-25,82497408,dw,top_control,KITCHENAID,KDTS324SPS,KDTS324SPS,,us,retail,costco,,Neutral,onboard,Delivery_Installation,He did a quick installation.,[ Installed ] || ---------------- || The dishwasher was delivered and installed by Christian today. He did a quick installation. He was friendly and knowledgeable. I am very pkeased.,[ Installed ] || ---------------- || The dishwasher was delivered and installed by Christian today. He did a quick installation. He was friendly and knowledgeable. I am very pkeased.,Not verified,,5.0
26-02-25,82497408,dw,top_control,KITCHENAID,KDTS324SPS,KDTS324SPS,,us,retail,costco,,Positive,,Easy_Use,He was friendly and knowledgeable.,[ Installed ] || ---------------- || The dishwasher was delivered and installed by Christian today. He did a quick installation. He was friendly and knowledgeable. I am very pkeased.,[ Installed ] || ---------------- || The dishwasher was delivered and installed by Christian today. He did a quick installation. He was friendly and knowledgeable. I am very pkeased.,Not verified,,5.0
26-02-25,82497408,dw,top_control,KITCHENAID,KDTS324SPS,KDTS324SPS,,us,retail,costco,,Negative,use,,I am very pkeased.,[ Installed ] || ---------------- || The dishwasher was delivered and installed by Christian today. He did a quick installation. He was friendly and knowledgeable. I am very pkeased.,[ Installed ] || ---------------- || The dishwasher was delivered and installed by Christian today. He did a quick installation. He was friendly and knowledgeable. I am very pkeased.,Not verified,,5.0
26-02-25,82503520,dw,top_control,GE,PDP755SBVTS_PDP755SYVFS,PDP755SBVTS_PDP755SYVFS,,us,retail,lowes,,Negative,,Durability,The first unit we received had a big dent in the door.,"[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.","[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.",Verified,,4.0
26-02-25,82503520,dw,top_control,GE,PDP755SBVTS_PDP755SYVFS,PDP755SBVTS_PDP755SYVFS,,us,retail,lowes,,Negative,"deliver,replace",Service,We had to wait another week to receive the replacement.,"[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.","[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.",Verified,,4.0
26-02-25,82503520,dw,top_control,GE,PDP755SBVTS_PDP755SYVFS,PDP755SBVTS_PDP755SYVFS,,us,retail,lowes,,Negative,use,,The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher.,"[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.","[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.",Verified,,4.0
26-02-25,82503520,dw,top_control,GE,PDP755SBVTS_PDP755SYVFS,PDP755SBVTS_PDP755SYVFS,,us,retail,lowes,,Neutral,,Service,I had to visit two different stores to find the correct parts.,"[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.","[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.",Verified,,4.0
26-02-25,82503520,dw,top_control,GE,PDP755SBVTS_PDP755SYVFS,PDP755SBVTS_PDP755SYVFS,,us,retail,lowes,,Positive,"onboard,use",Delivery_Installation,"After we installed the dishwasher, it has been working great and is super quiet.","[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.","[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.",Verified,,4.0
26-02-25,82503520,dw,top_control,GE,PDP755SBVTS_PDP755SYVFS,PDP755SBVTS_PDP755SYVFS,,us,retail,lowes,,Positive,"onboard,use",Noise_Vibration,"After we installed the dishwasher, it has been working great and is super quiet.","[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.","[ Beware of door dings ] || ---------------- || The first unit we received had a big dent in the door. We had to wait another week to receive the replacement. The unit does not come with a power cord or the 90 degree elbow for the water supply connection on the dishwasher. I had to visit two different stores to find the correct parts. After we installed the dishwasher, it has been working great and is super quiet.",Verified,,4.0
26-02-25,82505110,dw,front_control,BOSCH,300_series,SHE53B75UC,,ci,retail,thebrick,,Neutral,,,My first Bosch dishwasher.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,Not verified,,5.0
26-02-25,82505110,dw,front_control,BOSCH,300_series,SHE53B75UC,,ci,retail,thebrick,,Very Positive,,,Recommended to me by my son and sister.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,Not verified,,5.0
26-02-25,82505110,dw,front_control,BOSCH,300_series,SHE53B75UC,,ci,retail,thebrick,,Positive,purchase,Price,It was on sale and I got it for an excellent price.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,Not verified,,5.0
26-02-25,82505110,dw,front_control,BOSCH,300_series,SHE53B75UC,,ci,retail,thebrick,,Positive,use,Noise_Vibration,It's quiet and very efficient.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,Not verified,,5.0
26-02-25,82505110,dw,front_control,BOSCH,300_series,SHE53B75UC,,ci,retail,thebrick,,Positive,use,Product_Satisfaction,It's quiet and very efficient.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,Not verified,,5.0
26-02-25,82505110,dw,front_control,BOSCH,300_series,SHE53B75UC,,ci,retail,thebrick,,Positive,use,,I love that the filter is at my fingertips to clean.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,[ Dishwasher ] || ---------------- || My first Bosch dishwasher. Recommended to me by my son and sister. It was on sale and I got it for an excellent price. It's quiet and very efficient. I love that the filter is at my fingertips to clean.,Not verified,,5.0
26-02-25,82507675,dw,top_control,SAMSUNG,StormWash,DW80B6060US_AC,,ci,retail,thebrick,,Positive,use,Noise_Vibration,This dishwasher is so quiet that I thought it wasn't working.,[ I would recommend this unit strongly ] || ---------------- || This dishwasher is so quiet that I thought it wasn't working. I really like the little song it does when the dishwasher is done and then I was shocked when the door opened by itself.,[ I would recommend this unit strongly ] || ---------------- || This dishwasher is so quiet that I thought it wasn't working. I really like the little song it does when the dishwasher is done and then I was shocked when the door opened by itself.,Not verified,,5.0
