Date,Last Idx,Product Group Name,Product Name,Brand,Model Name,Model Code,Region,Country Code,Site Type,Site,Remarks,Sentiment,CEJ,Category,Sentence (English),Comments (English),Comments (Original),Verified Purchase,Syndication,Rating
26-02-18,82713339,dw,top_control,BOSCH,800_series,SHX78CM5N,,us,retail,homedepot,,Positive,use,Noise_Vibration,It gets our dishes much cleaner than our previous dishwasher & is much quieter.,"[ Great Quality, Minimal Dish Space ] || ---------------- || We've had our Bosch dishwasher for several months now & are happy overall with its perfoprmance. It gets our dishes much cleaner than our previous dishwasher & is much quieter. The drawback is that it does not seem to hold many dishes so we end up running the machine much more often than we're accustomed to.","[ Great Quality, Minimal Dish Space ] || ---------------- || [This review was collected as part of a promotion.] We've had our Bosch dishwasher for several months now & are happy overall with its perfoprmance. It gets our dishes much cleaner than our previous dishwasher & is much quieter. The drawback is that it does not seem to hold many dishes so we end up running the machine much more often than we're accustomed to.",Not verified,Originally posted on bosch-home.com,4.0
26-02-18,82713339,dw,top_control,BOSCH,800_series,SHX78CM5N,,us,retail,homedepot,,Positive,use,Performance_Washing,It gets our dishes much cleaner than our previous dishwasher & is much quieter.,"[ Great Quality, Minimal Dish Space ] || ---------------- || We've had our Bosch dishwasher for several months now & are happy overall with its perfoprmance. It gets our dishes much cleaner than our previous dishwasher & is much quieter. The drawback is that it does not seem to hold many dishes so we end up running the machine much more often than we're accustomed to.","[ Great Quality, Minimal Dish Space ] || ---------------- || [This review was collected as part of a promotion.] We've had our Bosch dishwasher for several months now & are happy overall with its perfoprmance. It gets our dishes much cleaner than our previous dishwasher & is much quieter. The drawback is that it does not seem to hold many dishes so we end up running the machine much more often than we're accustomed to.",Not verified,Originally posted on bosch-home.com,4.0
26-02-18,82713339,dw,top_control,BOSCH,800_series,SHX78CM5N,,us,retail,homedepot,,Negative,use,Design,The drawback is that it does not seem to hold many dishes so we end up running the machine much more often than we're accustomed to.,"[ Great Quality, Minimal Dish Space ] || ---------------- || We've had our Bosch dishwasher for several months now & are happy overall with its perfoprmance. It gets our dishes much cleaner than our previous dishwasher & is much quieter. The drawback is that it does not seem to hold many dishes so we end up running the machine much more often than we're accustomed to.","[ Great Quality, Minimal Dish Space ] || ---------------- || [This review was collected as part of a promotion.] We've had our Bosch dishwasher for several months now & are happy overall with its perfoprmance. It gets our dishes much cleaner than our previous dishwasher & is much quieter. The drawback is that it does not seem to hold many dishes so we end up running the machine much more often than we're accustomed to.",Not verified,Originally posted on bosch-home.com,4.0
26-02-18,82713340,dw,top_control,BOSCH,800_series,SHX78CM5N,,us,retail,homedepot,,Positive,use,Performance_Washing,"Does a great job at cleaning, but I haven't tested it with any baked on food.","[ Terrific cleaning ] || ---------------- || Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.","[ Terrific cleaning ] || ---------------- || [This review was collected as part of a promotion.] Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.",Not verified,Originally posted on bosch-home.com,5.0
26-02-18,82713340,dw,top_control,BOSCH,800_series,SHX78CM5N,,us,retail,homedepot,,Positive,use,Easy_Use,Very quiet and easy to load.,"[ Terrific cleaning ] || ---------------- || Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.","[ Terrific cleaning ] || ---------------- || [This review was collected as part of a promotion.] Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.",Not verified,Originally posted on bosch-home.com,5.0
26-02-18,82713340,dw,top_control,BOSCH,800_series,SHX78CM5N,,us,retail,homedepot,,Positive,use,Noise_Vibration,Very quiet and easy to load.,"[ Terrific cleaning ] || ---------------- || Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.","[ Terrific cleaning ] || ---------------- || [This review was collected as part of a promotion.] Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.",Not verified,Originally posted on bosch-home.com,5.0
26-02-18,82713340,dw,top_control,BOSCH,800_series,SHX78CM5N,,us,retail,homedepot,,Positive,use,Performance_Drying,Glasses come out spotless and plastics are dry.,"[ Terrific cleaning ] || ---------------- || Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.","[ Terrific cleaning ] || ---------------- || [This review was collected as part of a promotion.] Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.",Not verified,Originally posted on bosch-home.com,5.0
26-02-18,82713340,dw,top_control,BOSCH,800_series,SHX78CM5N,,us,retail,homedepot,,Positive,use,Performance_Washing,Glasses come out spotless and plastics are dry.,"[ Terrific cleaning ] || ---------------- || Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.","[ Terrific cleaning ] || ---------------- || [This review was collected as part of a promotion.] Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.",Not verified,Originally posted on bosch-home.com,5.0
26-02-18,82713340,dw,top_control,BOSCH,800_series,SHX78CM5N,,us,retail,homedepot,,Negative,use,Easy_Use,My only complaint is there is no indicator that dishes are clean.,"[ Terrific cleaning ] || ---------------- || Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.","[ Terrific cleaning ] || ---------------- || [This review was collected as part of a promotion.] Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.",Not verified,Originally posted on bosch-home.com,5.0
26-02-18,82713340,dw,top_control,BOSCH,800_series,SHX78CM5N,,us,retail,homedepot,,Neutral,use,Performance_Washing,My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.,"[ Terrific cleaning ] || ---------------- || Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.","[ Terrific cleaning ] || ---------------- || [This review was collected as part of a promotion.] Does a great job at cleaning, but I haven't tested it with any baked on food. Very quiet and easy to load. Glasses come out spotless and plastics are dry. My only complaint is there is no indicator that dishes are clean. My husband has added dirty dishes to a clean load in the morning when he did not know I had started a load the night before.",Not verified,Originally posted on bosch-home.com,5.0
26-02-18,82939990,dw,top_control,BOSCH,500_series,SHP65CM5N,,ci,retail,bestbuy_ca,,Positive,use,Easy_Use,I love the top silverware tray!,[ Bosch Dishwasher ] || ---------------- || I love the top silverware tray! It is amazing and leaves room in the dishwasher for other items. It is very quiet and has the capability to start from off site by your phone. We currently are using this dishwasher in our rehab clinic and it is nice to be able to start from home if a staff forgets to start it.,[ Bosch Dishwasher ] || ---------------- || [This review was collected as part of a promotion.] I love the top silverware tray!! It is amazing and leaves room in the dishwasher for other items. It is very quiet and has the capability to start from off site by your phone. We currently are using this dishwasher in our rehab clinic and it is nice to be able to start from home if a staff forgets to start it.,Not verified,Originally posted on bosch-home.com,5.0
